'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NEWDEGATE RESEARCH STATION Western Australia for July 2019,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 August 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NEWDEGATE RESEARCH STATION,01/07/2019,1.3,0.0, ,14.6,8.2,94,58,2.61,7.91
NEWDEGATE RESEARCH STATION,02/07/2019,1.1,0.0, ,17.1,7.7,87,45,0.84,9.48
NEWDEGATE RESEARCH STATION,03/07/2019,1.8,0.0, ,18.4,2.3,92,34,2.14,11.60
NEWDEGATE RESEARCH STATION,04/07/2019,3.7,0.0, ,19.9,5.9,92,28,6.97,7.12
NEWDEGATE RESEARCH STATION,05/07/2019,1.5,18.0, ,11.8,8.5,92,60,4.40,9.45
NEWDEGATE RESEARCH STATION,06/07/2019,1.3,0.4, ,13.5,3.9,90,70,4.40,8.97
NEWDEGATE RESEARCH STATION,07/07/2019,1.4,0.2, ,15.8,6.2,94,60,2.47,9.89
NEWDEGATE RESEARCH STATION,08/07/2019,1.2,0.2, ,17.3,0.9,93,51,1.24,11.82
NEWDEGATE RESEARCH STATION,09/07/2019,1.8,0.0, ,15.6,8.0,93,56,4.02,11.36
NEWDEGATE RESEARCH STATION,10/07/2019,1.8,0.0, ,15.9,9.3,87,58,4.04,10.46
NEWDEGATE RESEARCH STATION,11/07/2019,1.4,0.2, ,15.4,6.3,92,61,2.66,9.58
NEWDEGATE RESEARCH STATION,12/07/2019,1.1,0.0, ,14.7,3.7,93,72,2.59,8.49
NEWDEGATE RESEARCH STATION,13/07/2019,1.2,1.6, ,12.7,3.6,94,64,2.39,9.54
NEWDEGATE RESEARCH STATION,14/07/2019,1.6,0.2, ,15.7,2.5,93,53,2.63,12.18
NEWDEGATE RESEARCH STATION,15/07/2019,1.4,0.2, ,16.7,0.6,92,49,1.68,12.24
NEWDEGATE RESEARCH STATION,16/07/2019,1.7,0.0, ,17.7,1.4,91,42,1.90,12.31
NEWDEGATE RESEARCH STATION,17/07/2019,2.4,0.0, ,19.5,-0.2,93,31,2.89,12.38
NEWDEGATE RESEARCH STATION,18/07/2019,1.3,0.0, ,17.1,7.9,89,65,1.59,9.39
NEWDEGATE RESEARCH STATION,19/07/2019,2.0,0.2, ,16.9,5.3,91,62,6.04,10.60
NEWDEGATE RESEARCH STATION,20/07/2019,1.8,11.0, ,13.7,5.4,88,60,5.35,11.35
NEWDEGATE RESEARCH STATION,21/07/2019,2.0,0.2, ,16.6,8.1,92,62,6.24,9.38
NEWDEGATE RESEARCH STATION,22/07/2019,1.8,0.2, ,13.7,6.7,90,57,4.53,10.44
NEWDEGATE RESEARCH STATION,23/07/2019,1.1,0.0, ,14.0,5.9,92,70,1.86,6.94
NEWDEGATE RESEARCH STATION,24/07/2019,2.0,0.2, ,17.5,5.5,90,54,3.40,12.86
NEWDEGATE RESEARCH STATION,25/07/2019,1.4,0.2, ,13.3,7.9,91,62,3.09,8.07
NEWDEGATE RESEARCH STATION,26/07/2019,1.1,0.0, ,11.3,3.6,91,67,1.76,7.81
NEWDEGATE RESEARCH STATION,27/07/2019,1.3,0.0, ,15.5,4.8,92,55,1.18,9.66
NEWDEGATE RESEARCH STATION,28/07/2019,1.8,0.2, ,15.9,6.8,90,55,3.20,10.10
NEWDEGATE RESEARCH STATION,29/07/2019,1.5,0.2, ,15.5,2.0,93,58,2.23,12.05
NEWDEGATE RESEARCH STATION,30/07/2019,1.7,0.2, ,18.6,1.2,94,45,1.48,13.41
NEWDEGATE RESEARCH STATION,31/07/2019,1.7,0.0, ,19.0,2.7,90,36,1.21,13.28
Totals:,,50.2,33.6, ,,,,,, 
