'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORSEMAN AERO Western Australia for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORSEMAN AERO,01/04/2016,4.0,0.0, ,26.0,15.3,99,46,3.43,19.49
NORSEMAN AERO,02/04/2016,3.9,0.0, ,27.5,9.2,98,40,2.48,19.65
NORSEMAN AERO,03/04/2016,5.1,0.0, ,31.0,13.6,86,31,3.30,20.05
NORSEMAN AERO,04/04/2016,8.0,0.0, ,35.5,18.4,84,20,6.25,18.84
NORSEMAN AERO,05/04/2016,3.3,0.6, ,20.3,13.5,99,39,5.43,11.06
NORSEMAN AERO,06/04/2016,3.4,0.0, ,20.1,11.1,74,38,3.51,13.74
NORSEMAN AERO,07/04/2016,3.7,0.0, ,23.3,6.1,90,30,2.78,18.97
NORSEMAN AERO,08/04/2016,3.6,0.0, ,23.9,6.9,83,32,2.82,16.54
NORSEMAN AERO,09/04/2016,3.9,0.0, ,26.5,13.9,74,37,2.72,17.20
NORSEMAN AERO,10/04/2016,4.2,0.0, ,27.0,9.6,82,30,3.20,15.56
NORSEMAN AERO,11/04/2016,4.7,0.0, ,28.0,14.4,75,31,3.71,17.70
NORSEMAN AERO,12/04/2016,3.4,0.0, ,23.8,15.9,73,38,4.04,5.63
NORSEMAN AERO,13/04/2016,2.3,1.0, ,22.2,15.7,91,55,3.62,5.78
NORSEMAN AERO,14/04/2016,4.0,0.0, ,29.6,13.6,88,37,2.86,15.67
NORSEMAN AERO,15/04/2016,3.1,0.0, ,25.1,15.3,96,52,3.61,13.25
NORSEMAN AERO,16/04/2016,3.8,0.0, ,25.2,16.0,80,47,5.04,11.44
NORSEMAN AERO,17/04/2016,4.7,0.0, ,29.3,16.7,77,33,4.54,11.00
NORSEMAN AERO,18/04/2016,2.8,0.0, ,24.6,12.7,86,55,2.95,11.75
NORSEMAN AERO,19/04/2016,2.4,0.0, ,22.9,12.6,89,50,2.34,9.82
NORSEMAN AERO,20/04/2016,2.9,0.0, ,23.6,10.0,99,45,3.02,13.58
NORSEMAN AERO,21/04/2016,2.7,0.0, ,22.3,7.6,96,43,2.85,11.52
NORSEMAN AERO,22/04/2016,3.1,0.0, ,23.1,10.9,99,40,3.19,15.15
NORSEMAN AERO,23/04/2016,4.2,0.0, ,24.8,8.9,94,35,4.96,17.00
NORSEMAN AERO,24/04/2016,6.2,0.0, ,32.7,13.6,71,22,4.84,15.93
NORSEMAN AERO,25/04/2016,5.0,0.0, ,29.8,14.3,85,29,4.93,11.28
NORSEMAN AERO,26/04/2016,3.0,2.6, ,20.7,17.0,99,42,6.72,5.34
NORSEMAN AERO,27/04/2016,2.4,6.4, ,17.4,4.1,99,45,3.11,15.57
NORSEMAN AERO,28/04/2016,3.4,0.0, ,20.8,4.7,99,38,4.93,16.52
NORSEMAN AERO,29/04/2016,2.4,1.6, ,18.5,7.5,100,54,5.03,11.05
NORSEMAN AERO,30/04/2016,2.6,1.0, ,18.2,8.6,99,46,4.30,13.76
Totals:,,112.2,13.2, ,,,,,, 
