'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/01/2010, ,0.0, ,26.0,19.8,80,61,11.40, 
NORTH ISLAND,02/01/2010, ,0.0, ,28.9,21.0,85,53,9.80, 
NORTH ISLAND,03/01/2010, ,0.0, ,28.8,22.0,88,68,7.30, 
NORTH ISLAND,04/01/2010, ,0.0, ,27.5,21.3,87,65,8.74, 
NORTH ISLAND,05/01/2010, ,0.0, ,27.7,19.4,90,66,5.44, 
NORTH ISLAND,06/01/2010, ,0.0, ,26.6,20.9,90,63,5.34, 
NORTH ISLAND,07/01/2010, ,0.0, ,27.0,19.9,79,58,8.57, 
NORTH ISLAND,08/01/2010, ,0.0, ,26.4,20.5,85,64,9.10, 
NORTH ISLAND,09/01/2010, ,0.0, ,26.1,20.9,87,67,9.30, 
NORTH ISLAND,10/01/2010, ,0.0, ,27.1,20.8,75,66,10.65, 
NORTH ISLAND,11/01/2010, ,0.0, ,25.8,19.6,72,59,11.86, 
NORTH ISLAND,12/01/2010, ,0.0, ,26.4,19.3,80,55,10.80, 
NORTH ISLAND,13/01/2010, ,0.0, ,27.6,20.9,84,64,10.28, 
NORTH ISLAND,14/01/2010, ,0.0, ,27.9,21.9,85,67,9.95, 
NORTH ISLAND,15/01/2010, ,0.0, ,26.5,20.8,85,68,11.71, 
NORTH ISLAND,16/01/2010, ,0.0, ,28.5,22.2,80,57,8.46, 
NORTH ISLAND,17/01/2010, ,0.0, ,31.5,22.3,87,57,4.34, 
NORTH ISLAND,18/01/2010, ,0.0, ,33.3,22.0,95,56,4.33, 
NORTH ISLAND,19/01/2010, ,0.0, ,31.0,23.4,89,58,7.07, 
NORTH ISLAND,20/01/2010, ,0.0, ,27.0,21.7,85,60,10.29, 
NORTH ISLAND,21/01/2010, ,0.0, ,26.9,21.2,84,58,11.10, 
NORTH ISLAND,22/01/2010, ,0.0, ,28.6,21.1,85,55,10.55, 
NORTH ISLAND,23/01/2010, ,0.0, ,27.0,21.6,87,67,10.31, 
NORTH ISLAND,24/01/2010, ,0.0, ,27.3,20.6,84,60,7.82, 
NORTH ISLAND,25/01/2010, ,0.0, ,27.9,20.3,84,54,6.70, 
NORTH ISLAND,26/01/2010, ,0.0, ,27.9,20.6,86,56,5.40, 
NORTH ISLAND,27/01/2010, ,0.0, ,29.0,21.7,87,66,5.81, 
NORTH ISLAND,28/01/2010, ,0.0, ,29.0,22.4,90,66,8.38, 
NORTH ISLAND,29/01/2010, ,0.0, ,28.6,22.5,88,70,8.60, 
NORTH ISLAND,30/01/2010, ,0.0, ,26.7,21.5,88,65,10.77, 
NORTH ISLAND,31/01/2010, ,0.0, ,26.3,21.4,83,60,10.80, 
Totals:,, ,0, ,,,,,, 
