'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/05/2012, ,0.2, ,26.3,20.7,72,54,8.40, 
NORTH ISLAND,02/05/2012, ,0.0, ,29.4,22.6,79,50,6.31, 
NORTH ISLAND,03/05/2012, ,0.0, ,25.2,19.9,85,66,3.69, 
NORTH ISLAND,04/05/2012, ,1.8, ,26.5,20.3,83,64,6.10, 
NORTH ISLAND,05/05/2012, ,0.0, ,27.2,22.1,91,63,8.45, 
NORTH ISLAND,06/05/2012, ,10.4, ,24.7,20.0,73,53,6.08, 
NORTH ISLAND,07/05/2012, ,0.0, ,24.6,18.3,77,51,6.85, 
NORTH ISLAND,08/05/2012, ,2.2, ,24.0,18.3,89,50,6.55, 
NORTH ISLAND,09/05/2012, ,0.0, ,23.7,17.2,67,56,5.01, 
NORTH ISLAND,10/05/2012, ,0.0, ,24.0,19.1,70,48,7.01, 
NORTH ISLAND,11/05/2012, ,0.0, ,25.7,20.3,71,52,8.42, 
NORTH ISLAND,12/05/2012, ,0.0, ,27.2,21.5,78,46,5.09, 
NORTH ISLAND,13/05/2012, ,0.0, ,25.5,21.4,81,58,7.22, 
NORTH ISLAND,14/05/2012, ,0.0, ,24.2,18.5,66,49,5.73, 
NORTH ISLAND,15/05/2012, ,0.0, ,24.3,18.7,70,58,6.16, 
NORTH ISLAND,16/05/2012, ,0.0, ,24.3,19.9,73,54,6.87, 
NORTH ISLAND,17/05/2012, ,0.0, ,24.7,19.8,68,46,6.36, 
NORTH ISLAND,18/05/2012, ,0.0, ,24.7,19.9,76,46,7.46, 
NORTH ISLAND,19/05/2012, ,0.0, ,25.4,20.0,80,51,6.58, 
NORTH ISLAND,20/05/2012, ,0.0, ,26.6,11.3,88,61,3.77, 
NORTH ISLAND,21/05/2012, ,0.0, ,25.6,20.6, , , , 
NORTH ISLAND,22/05/2012, ,0.0, ,25.1,19.6,77,58,8.11, 
NORTH ISLAND,23/05/2012, ,0.0, ,25.3,18.7,72,35,9.06, 
NORTH ISLAND,24/05/2012, ,0.0, ,23.8,17.9,56,32,7.29, 
NORTH ISLAND,25/05/2012, ,0.0, ,23.3,18.9,61,33,6.71, 
NORTH ISLAND,26/05/2012, ,0.0, ,23.4,19.2,63,37,6.11, 
NORTH ISLAND,27/05/2012, ,0.0, ,24.5,19.8,62,31,6.37, 
NORTH ISLAND,28/05/2012, ,0.0, ,25.2,20.2,60,34,6.96, 
NORTH ISLAND,29/05/2012, ,0.0, ,26.4,20.2,71,35,6.16, 
NORTH ISLAND,30/05/2012, ,0.0, ,26.0,12.5,70,41,6.73, 
NORTH ISLAND,31/05/2012, ,0.0, ,25.5,18.9,75,52,4.36, 
Totals:,, ,14.6, ,,,,,, 
