'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/09/2013, ,0.0, ,24.3,19.2,61,47,4.46, 
NORTH ISLAND,02/09/2013, ,0.0, ,24.3,14.8,59,16,3.38, 
NORTH ISLAND,03/09/2013, ,0.0, ,22.5,19.2,56,6,7.81, 
NORTH ISLAND,04/09/2013, ,2.6, ,21.4,15.3,100,7,7.31, 
NORTH ISLAND,05/09/2013, ,0.0, ,21.0,16.1,73,51,8.90, 
NORTH ISLAND,06/09/2013, ,0.0, ,23.2,17.2,72,45,10.01, 
NORTH ISLAND,07/09/2013, ,0.0, ,23.4,18.3,66,40,9.43, 
NORTH ISLAND,08/09/2013, ,0.0, ,22.7,16.1,70,50,6.03, 
NORTH ISLAND,09/09/2013, ,0.0, ,22.6,16.6,72,46,5.13, 
NORTH ISLAND,10/09/2013, ,0.0, ,24.8,16.2,60,24,7.33, 
NORTH ISLAND,11/09/2013, ,1.2, ,23.0,16.2,74,23,10.49, 
NORTH ISLAND,12/09/2013, ,0.8, ,24.2,15.6,67,50,5.87, 
NORTH ISLAND,13/09/2013, ,0.8, ,23.1,16.5,75,12,6.62, 
NORTH ISLAND,14/09/2013, ,6.8, ,20.9,14.1,67,35,12.12, 
NORTH ISLAND,15/09/2013, ,0.0, ,21.3,15.4,66,44,7.40, 
NORTH ISLAND,16/09/2013, ,0.0, ,22.6,8.8,100,1,7.37, 
NORTH ISLAND,17/09/2013, ,0.6, ,21.2,14.8,68,40,7.49, 
NORTH ISLAND,18/09/2013, ,0.0, ,22.7,14.9,68,50,5.11, 
NORTH ISLAND,19/09/2013, ,0.0, ,23.2,16.0,67,44,4.35, 
NORTH ISLAND,20/09/2013, ,0.0, ,24.4,16.3,70,50,6.14, 
NORTH ISLAND,21/09/2013, ,0.0, ,24.6,17.2,76,48,6.28, 
NORTH ISLAND,22/09/2013, ,3.2, ,22.5,15.2,83,41,12.15, 
NORTH ISLAND,23/09/2013, ,0.8, ,24.0,15.8,50,41,10.34, 
NORTH ISLAND,24/09/2013, ,0.0, ,24.7,18.9,73,39,8.18, 
NORTH ISLAND,25/09/2013, ,0.0, ,23.0,16.8,67,41,6.03, 
NORTH ISLAND,26/09/2013, ,0.0, ,24.3,16.1,73,47,5.50, 
NORTH ISLAND,27/09/2013, ,0.0, ,23.2,16.8,72,48,6.06, 
NORTH ISLAND,28/09/2013, ,0.0, ,22.8,16.3,71,47,6.52, 
NORTH ISLAND,29/09/2013, ,0.0, ,23.8,16.8,73,47,4.89, 
NORTH ISLAND,30/09/2013, ,0.2, ,22.2,15.7,72,40,8.81, 
Totals:,, ,17, ,,,,,, 
