'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/08/2014, ,0.0, ,21.9,15.6,72,52,5.05, 
NORTH ISLAND,02/08/2014, ,0.0, ,23.3,17.2,75,57,7.63, 
NORTH ISLAND,03/08/2014, ,0.0, ,22.0,17.5,72,50,7.97, 
NORTH ISLAND,04/08/2014, ,0.0, ,24.1,17.7,64,34,6.98, 
NORTH ISLAND,05/08/2014, ,0.0, ,25.4,18.7,93,36,5.84, 
NORTH ISLAND,06/08/2014, ,0.0, ,25.0,10.7,74,40,5.15, 
NORTH ISLAND,07/08/2014, ,0.0, ,23.3,19.5,80,59,6.39, 
NORTH ISLAND,08/08/2014, ,0.0, ,23.9,19.5,84,49,6.28, 
NORTH ISLAND,09/08/2014, ,0.0, ,24.0,19.1,86,57,7.93, 
NORTH ISLAND,10/08/2014, ,0.0, ,26.1,19.8, , , , 
NORTH ISLAND,11/08/2014, ,0.0, ,25.1,18.0,98,76,3.67, 
NORTH ISLAND,12/08/2014, ,0.0, ,27.2,17.4,98,41,3.73, 
NORTH ISLAND,13/08/2014, ,0.2, ,27.2,20.8,83,37,6.10, 
NORTH ISLAND,14/08/2014, ,0.0, ,25.1,17.8,78,39,5.21, 
NORTH ISLAND,15/08/2014, ,0.0, ,24.6,14.3,90,46,3.60, 
NORTH ISLAND,16/08/2014, ,0.0, ,24.8,17.6,87,45,4.26, 
NORTH ISLAND,17/08/2014, ,0.0, ,25.4,14.1,89,61,8.11, 
NORTH ISLAND,18/08/2014, ,4.0, ,22.6,17.0,93,50,7.31, 
NORTH ISLAND,19/08/2014, ,2.2, ,23.0,16.1,82,51,5.22, 
NORTH ISLAND,20/08/2014, ,0.0, ,23.8,13.6,90,48,5.55, 
NORTH ISLAND,21/08/2014, ,1.4, ,24.2,18.5,93,56,6.99, 
NORTH ISLAND,22/08/2014, ,0.6, ,22.7,17.0,82,46,6.05, 
NORTH ISLAND,23/08/2014, ,0.0, ,23.7,15.5,77,52,4.33, 
NORTH ISLAND,24/08/2014, ,0.0, ,23.7,15.8,86,53,3.02, 
NORTH ISLAND,25/08/2014, ,0.0, ,26.0,9.6,98,45,3.41, 
NORTH ISLAND,26/08/2014, ,0.0, ,24.8,14.6,90,60,5.03, 
NORTH ISLAND,27/08/2014, ,0.0, ,23.9,18.4,91,61,5.17, 
NORTH ISLAND,28/08/2014, , , ,26.3,17.0,94,55,4.51, 
NORTH ISLAND,29/08/2014, ,0.0, ,25.9,19.6,86,64,6.50, 
NORTH ISLAND,30/08/2014, ,0.0, ,24.5,20.4,83,67,6.27, 
NORTH ISLAND,31/08/2014, ,0.0, ,23.1,17.3,72,50,5.42, 
Totals:,, ,8.4, ,,,,,, 
