'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH ISLAND Western Australia for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH ISLAND,01/01/2019, ,0.0, ,26.1,19.8,86,61,7.35, 
NORTH ISLAND,02/01/2019, ,0.0, ,26.5,20.1,84,52,6.19, 
NORTH ISLAND,03/01/2019, ,0.0, ,24.7,20.3,85,57,9.14, 
NORTH ISLAND,04/01/2019, ,0.0, ,24.2,18.2,74,50,12.76, 
NORTH ISLAND,05/01/2019, ,0.0, ,26.4,19.2,83,53,11.06, 
NORTH ISLAND,06/01/2019, ,0.2, ,27.0,20.9,85,66,8.32, 
NORTH ISLAND,07/01/2019, ,0.0, ,25.4,20.9,89,72,8.96, 
NORTH ISLAND,08/01/2019, ,0.0, ,26.4,20.3,89,68,7.48, 
NORTH ISLAND,09/01/2019, ,0.0, ,26.8,20.5,88,70,8.11, 
NORTH ISLAND,10/01/2019, ,0.0, ,26.1,19.8,90,64,7.83, 
NORTH ISLAND,11/01/2019, ,0.0, ,26.3,19.8,79,54,9.81, 
NORTH ISLAND,12/01/2019, ,0.0, ,26.1,19.9,85,68,9.43, 
NORTH ISLAND,13/01/2019, ,0.0, ,26.8,20.1,84,60,9.90, 
NORTH ISLAND,14/01/2019, ,0.0, ,26.0,20.3,79,66,11.67, 
NORTH ISLAND,15/01/2019, , , ,25.6,19.4,77,58,11.34, 
NORTH ISLAND,16/01/2019, ,0.0, ,25.7,19.3,71,55,10.28, 
NORTH ISLAND,17/01/2019, ,0.0, ,25.7,19.3,78,56,10.11, 
NORTH ISLAND,18/01/2019, ,0.0, ,26.7,19.7,80,61,10.50, 
NORTH ISLAND,19/01/2019, ,0.0, ,28.1,21.2,83,58,7.54, 
NORTH ISLAND,20/01/2019, ,0.0, ,27.9,22.0,85,69,7.60, 
NORTH ISLAND,21/01/2019, ,0.0, ,26.7,21.5,85,67,9.89, 
NORTH ISLAND,22/01/2019, ,0.0, ,26.3,20.4,85,60,9.89, 
NORTH ISLAND,23/01/2019, ,0.0, ,24.8,18.6,70,45,9.20, 
NORTH ISLAND,24/01/2019, ,0.0, ,24.4,18.9,69,50,9.61, 
NORTH ISLAND,25/01/2019, ,0.0, ,24.4,18.4,77,57,12.50, 
NORTH ISLAND,26/01/2019, ,0.0, ,25.8,19.7,83,55,13.27, 
NORTH ISLAND,27/01/2019, ,0.0, ,29.1,21.5,77,51,10.22, 
NORTH ISLAND,28/01/2019, ,0.0, ,34.0,22.8,81,31,7.00, 
NORTH ISLAND,29/01/2019, ,0.0, ,26.1,21.4,84,67,9.73, 
NORTH ISLAND,30/01/2019, ,0.0, ,26.4,19.8,84,66,9.49, 
NORTH ISLAND,31/01/2019, ,0.0, ,28.8,21.0,87,56,7.50, 
Totals:,, ,0.2, ,,,,,, 
