'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for NORTH WALPOLE Western Australia for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
NORTH WALPOLE,01/04/2017,3.2,0.0, ,23.4,13.2,100,57,3.92,16.57
NORTH WALPOLE,02/04/2017,4.5,0.2, ,28.6,14.2,99,26,3.18,17.91
NORTH WALPOLE,03/04/2017,2.3,0.0, ,20.5,14.5,100,70,2.91,13.95
NORTH WALPOLE,04/04/2017,2.6,0.0, ,21.1,12.8,99,58,2.48,15.83
NORTH WALPOLE,05/04/2017,1.6,0.2, ,20.1,11.5,100,74,3.43,7.28
NORTH WALPOLE,06/04/2017,1.6,0.0, ,17.9,14.7,100,67,3.45,5.63
NORTH WALPOLE,07/04/2017,2.4,4.2, ,17.5,11.6,82,52,2.76,11.14
NORTH WALPOLE,08/04/2017,1.8,0.0, ,19.0,9.1,98,58,2.32,7.15
NORTH WALPOLE,09/04/2017,2.4,0.4, ,20.0,9.7,100,60,2.01,17.01
NORTH WALPOLE,10/04/2017,2.9,0.0, ,22.5,9.7,99,55,3.30,16.72
NORTH WALPOLE,11/04/2017,4.1,0.0, ,26.5,12.6,90,38,3.94,16.80
NORTH WALPOLE,12/04/2017,1.4,0.2, ,17.4,14.2,100,68,2.09,6.11
NORTH WALPOLE,13/04/2017,2.3,1.8, ,20.5,10.6,92,53,1.91,13.23
NORTH WALPOLE,14/04/2017,2.4,0.0, ,22.6,9.7,99,65,2.65,15.03
NORTH WALPOLE,15/04/2017,1.4,2.4, ,18.7,13.7,100,71,3.00,5.71
NORTH WALPOLE,16/04/2017,1.9,1.4, ,19.9,10.9,100,70,2.18,12.09
NORTH WALPOLE,17/04/2017,1.3,6.0, ,17.9,13.2,100,73,1.29,7.60
NORTH WALPOLE,18/04/2017,1.6,0.0, ,21.6,13.3,100,70,1.13,9.04
NORTH WALPOLE,19/04/2017,1.6,0.2, ,20.5,12.1,100,78,1.70,10.22
NORTH WALPOLE,20/04/2017,2.8,0.2, ,25.6,12.1,100,47,2.07,15.28
NORTH WALPOLE,21/04/2017,1.8,0.2, ,23.1,11.5,100,70,1.67,10.92
NORTH WALPOLE,22/04/2017,1.0,0.4, ,17.7,15.7,100,81,4.37,1.58
NORTH WALPOLE,23/04/2017,1.2,6.4, ,17.7,14.6,100,78,3.94,4.31
NORTH WALPOLE,24/04/2017,1.2,1.2, ,17.3,12.7,100,68,1.78,5.38
NORTH WALPOLE,25/04/2017,1.5,1.0, ,19.2,9.4,99,70,1.64,10.13
NORTH WALPOLE,26/04/2017,1.7,0.2, ,20.8,9.6,100,59,0.89,13.38
NORTH WALPOLE,27/04/2017,2.0,0.0, ,22.8,10.1,100,48,1.06,14.25
NORTH WALPOLE,28/04/2017,1.8,0.2, ,21.3,10.4,100,71,1.65,13.62
NORTH WALPOLE,29/04/2017,2.5,0.2, ,24.8,9.8,100,41,1.98,13.91
NORTH WALPOLE,30/04/2017,1.7,1.0, ,18.3,13.4,100,62,3.26,7.63
Totals:,,62.5,28, ,,,,,, 
