'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ONSLOW AIRPORT Western Australia for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ONSLOW AIRPORT,01/05/2011,5.9,0.0, ,31.2,21.9,82,43,5.51,20.68
ONSLOW AIRPORT,02/05/2011,5.9,0.0, ,29.5,20.6,72,36,5.09,20.36
ONSLOW AIRPORT,03/05/2011,7.0,0.0, ,30.2,21.9,58,28,6.23,16.56
ONSLOW AIRPORT,04/05/2011,3.4,0.0, ,24.7,19.8,90,51,6.44,6.40
ONSLOW AIRPORT,05/05/2011,5.2,1.4, ,30.2,18.7,85,46,5.42,18.96
ONSLOW AIRPORT,06/05/2011,4.4,0.0, ,25.9,22.3,76,57,7.63,10.51
ONSLOW AIRPORT,07/05/2011,5.1,0.0, ,28.4,19.2,73,50,5.75,18.29
ONSLOW AIRPORT,08/05/2011,4.7,0.0, ,29.7,18.0,90,41,3.65,20.16
ONSLOW AIRPORT,09/05/2011,5.3,0.0, ,31.7,20.1,93,30,3.92,19.73
ONSLOW AIRPORT,10/05/2011,5.7,0.0, ,31.0,19.0,89,26,4.41,19.89
ONSLOW AIRPORT,11/05/2011,6.6,0.0, ,30.9,18.0,83,22,5.82,19.35
ONSLOW AIRPORT,12/05/2011,5.1,0.0, ,25.2,19.8,65,29,5.76,8.45
ONSLOW AIRPORT,13/05/2011,4.4,2.6, ,24.7,15.3,89,41,7.45,10.86
ONSLOW AIRPORT,14/05/2011,4.7,12.6, ,24.6,15.3,92,51,11.57,15.93
ONSLOW AIRPORT,15/05/2011,4.3,0.0, ,25.3,18.0,86,62,8.62,19.17
ONSLOW AIRPORT,16/05/2011,3.7,0.2, ,25.4,17.7,89,66,6.04,18.31
ONSLOW AIRPORT,17/05/2011,4.0,0.0, ,27.2,17.6,94,48,3.75,19.20
ONSLOW AIRPORT,18/05/2011,4.9,0.0, ,31.2,18.7,91,38,3.92,18.98
ONSLOW AIRPORT,19/05/2011,4.6,0.0, ,32.2,18.4,93,35,2.97,19.05
ONSLOW AIRPORT,20/05/2011,4.9,0.0, ,31.8,18.6,92,32,3.52,19.04
ONSLOW AIRPORT,21/05/2011,5.2,0.0, ,29.7,18.9,86,40,5.15,18.88
ONSLOW AIRPORT,22/05/2011,4.5,0.0, ,28.1,16.3,84,44,4.50,18.62
ONSLOW AIRPORT,23/05/2011,5.2,0.0, ,27.7,17.8,67,26,4.38,16.50
ONSLOW AIRPORT,24/05/2011,5.2,0.0, ,26.1,17.6,65,30,5.12,16.15
ONSLOW AIRPORT,25/05/2011,4.1,0.0, ,26.6,17.5,83,31,3.52,15.36
ONSLOW AIRPORT,26/05/2011,4.5,0.0, ,27.2,13.7,84,26,3.56,18.77
ONSLOW AIRPORT,27/05/2011,4.3,0.0, ,28.2,16.0,87,35,3.43,18.70
ONSLOW AIRPORT,28/05/2011,3.9,0.0, ,28.5,14.8,89,30,2.52,18.52
ONSLOW AIRPORT,29/05/2011,4.8,0.0, ,27.9,14.3,91,25,4.12,18.36
ONSLOW AIRPORT,30/05/2011,3.6,0.0, ,28.3,14.0,94,47,2.91,18.12
ONSLOW AIRPORT,31/05/2011,4.2,0.0, ,30.4,18.2,95,26,2.73,18.11
Totals:,,149.3,16.8, ,,,,,, 
