'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ONSLOW AIRPORT Western Australia for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ONSLOW AIRPORT,01/03/2014, ,0.0, , ,25.6,85,53,4.54,25.52
ONSLOW AIRPORT,02/03/2014, , , ,38.4, ,91,36,4.10,26.13
ONSLOW AIRPORT,03/03/2014,8.9,0.0, ,38.2,25.8,81,28,5.10,26.67
ONSLOW AIRPORT,04/03/2014,9.2,0.0, ,37.9,27.3,74,27,5.38,26.17
ONSLOW AIRPORT,05/03/2014,6.8,0.0, ,34.2,25.5,87,56,5.33,25.84
ONSLOW AIRPORT,06/03/2014,6.2,0.0, ,33.8,24.8,91,63,4.67,26.01
ONSLOW AIRPORT,07/03/2014,7.0,0.0, ,35.7,24.3,87,48,4.41,26.07
ONSLOW AIRPORT,08/03/2014,9.0,0.0, ,37.7,26.6,71,22,5.21,24.26
ONSLOW AIRPORT,09/03/2014,8.3,0.0, ,38.6,26.8,79,26,4.61,22.83
ONSLOW AIRPORT,10/03/2014,8.0,0.0, ,37.7,24.7,75,28,4.19,24.20
ONSLOW AIRPORT,11/03/2014,8.7,0.0, ,39.4,27.7,80,28,4.57,25.69
ONSLOW AIRPORT,12/03/2014,8.0,0.0, ,38.6,27.6,81,35,4.67,23.71
ONSLOW AIRPORT,13/03/2014,10.6,0.4, ,43.0,29.5,75,16,5.85,22.23
ONSLOW AIRPORT,14/03/2014,9.0,0.0, ,38.5,27.7,72,29,5.52,24.28
ONSLOW AIRPORT,15/03/2014,9.5,0.0, ,39.9,28.0,69,25,5.24,24.91
ONSLOW AIRPORT,16/03/2014,8.2,0.0, ,38.5,27.8,77,26,4.78,21.92
ONSLOW AIRPORT,17/03/2014,6.9,0.0, ,35.3,28.4,83,55,5.01,24.58
ONSLOW AIRPORT,18/03/2014,7.7,0.0, ,39.1,25.7,88,38,4.52,23.99
ONSLOW AIRPORT,19/03/2014,9.7,0.0, ,42.7,26.7,63,20,4.65,23.75
ONSLOW AIRPORT,20/03/2014,10.3,0.0, ,44.2,30.5,64,15,5.38,19.12
ONSLOW AIRPORT,21/03/2014,8.0,0.0, ,37.8,27.1,79,30,4.77,23.43
ONSLOW AIRPORT,22/03/2014,6.8,0.0, ,35.8,26.9,74,51,4.08,24.19
ONSLOW AIRPORT,23/03/2014,9.9,0.0, ,42.6,26.2,71,16,4.92,23.85
ONSLOW AIRPORT,24/03/2014,7.5,0.0, ,39.3,26.8,83,28,4.08,21.14
ONSLOW AIRPORT,25/03/2014,7.5,0.0, ,38.6,27.1,84,27,4.19,21.63
ONSLOW AIRPORT,26/03/2014,7.7,0.0, ,37.6,26.4,71,37,4.68,22.66
ONSLOW AIRPORT,27/03/2014,7.5,0.0, ,36.6,26.3,66,31,4.46,20.49
ONSLOW AIRPORT,28/03/2014,5.1,0.0, ,33.8,27.7,72,47,5.47,6.82
ONSLOW AIRPORT,29/03/2014,6.6,0.0, ,34.0,24.5,76,47,4.55,23.42
ONSLOW AIRPORT,30/03/2014,7.1,0.0, ,33.2,23.2,82,40,6.15,22.61
ONSLOW AIRPORT,31/03/2014,7.1,0.0, ,32.8,22.2,71,36,5.18,22.73
Totals:,,232.8,0.4, ,,,,,, 
