'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ONSLOW AIRPORT Western Australia for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ONSLOW AIRPORT,01/10/2021,8.4,0.0, ,31.2,19.2,78,24,7.18,25.23
ONSLOW AIRPORT,02/10/2021,8.6,0.0, ,29.3,17.2,76,17,7.67,25.35
ONSLOW AIRPORT,03/10/2021,8.9,0.0, ,31.1,16.5,72,17,7.16,25.51
ONSLOW AIRPORT,04/10/2021,8.3,0.0, ,30.2,16.5,68,20,6.39,25.65
ONSLOW AIRPORT,05/10/2021,10.1,0.0, ,32.4,17.1,61,16,8.09,25.73
ONSLOW AIRPORT,06/10/2021,10.4,0.0, ,34.6,16.7,63,10,6.94,25.85
ONSLOW AIRPORT,07/10/2021,9.1,0.0, ,34.8,17.2,79,11,5.39,25.97
ONSLOW AIRPORT,08/10/2021,9.5,0.0, ,32.8,18.1,66,16,6.81,26.09
ONSLOW AIRPORT,09/10/2021,10.7,0.0, ,34.8,18.4,66,9,7.15,26.24
ONSLOW AIRPORT,10/10/2021,9.9,0.0, ,34.1,17.2,55,11,6.14,26.38
ONSLOW AIRPORT,11/10/2021,7.8,0.0, ,30.3,16.9,74,19,5.25,26.54
ONSLOW AIRPORT,12/10/2021,10.8,0.0, ,36.7,18.2,61,8,6.25,26.62
ONSLOW AIRPORT,13/10/2021,9.9,0.0, ,34.7,19.8,74,8,6.12,26.42
ONSLOW AIRPORT,14/10/2021,8.4,0.0, ,34.2,17.9,90,14,4.91,26.86
ONSLOW AIRPORT,15/10/2021,5.7,0.0, ,28.5,20.1,90,50,4.42,25.38
ONSLOW AIRPORT,16/10/2021,7.3,0.0, ,29.6,20.3,76,38,6.10,27.01
ONSLOW AIRPORT,17/10/2021,7.8,0.0, ,28.9,18.2,75,32,7.26,27.12
ONSLOW AIRPORT,18/10/2021,6.3,0.0, ,27.8,17.3,77,40,4.87,25.50
ONSLOW AIRPORT,19/10/2021,5.9,0.0, ,29.0,22.7,88,46,7.62,17.32
ONSLOW AIRPORT,20/10/2021,8.4,0.6, ,30.4,16.4,73,23,6.51,27.59
ONSLOW AIRPORT,21/10/2021,10.2,0.0, ,34.8,17.9,69,17,6.96,27.68
ONSLOW AIRPORT,22/10/2021,11.4,0.0, ,38.2,20.7,62,12,6.62,27.46
ONSLOW AIRPORT,23/10/2021,10.5,0.0, ,39.3,22.2,70,11,5.25,27.84
ONSLOW AIRPORT,24/10/2021,7.7,0.0, ,32.3,20.0,85,25,4.71,27.95
ONSLOW AIRPORT,25/10/2021,9.6,0.0, ,34.8,19.1,85,19,7.17,25.40
ONSLOW AIRPORT,26/10/2021,10.3,0.0, ,30.8,18.8,59,19,9.18,27.78
ONSLOW AIRPORT,27/10/2021,10.4,0.0, ,31.4,16.3,57,17,8.56,28.13
ONSLOW AIRPORT,28/10/2021,9.8,0.0, ,32.0,18.0,66,23,8.20,28.03
ONSLOW AIRPORT,29/10/2021,11.9,0.0, ,34.4,17.6,60,9,8.70,28.18
ONSLOW AIRPORT,30/10/2021,9.7,0.0, ,32.7,16.6,81,16,7.45,28.24
ONSLOW AIRPORT,31/10/2021,6.3,0.0, ,28.6,19.0,84,55,6.15,27.88
Totals:,,280,0.6, ,,,,,, 
