'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/01/2012,10.5,0.0, ,40.4,20.4,32,10,4.08,30.95
PARABURDOO AERO,02/01/2012,11.4,0.0, ,42.5,22.8,23,8,4.51,28.95
PARABURDOO AERO,03/01/2012,9.9,0.0, ,42.6,23.9,37,9,3.35,30.15
PARABURDOO AERO,04/01/2012,11.3,0.0, ,42.9,27.2,34,12,4.82,26.01
PARABURDOO AERO,05/01/2012,11.0,0.2, ,42.1,28.5,52,17,5.25,25.90
PARABURDOO AERO,06/01/2012,10.8,0.0, ,41.1,28.5,37,19,4.98,26.08
PARABURDOO AERO,07/01/2012,9.8,0.0, ,40.9,26.9,51,16,4.24,25.65
PARABURDOO AERO,08/01/2012,9.2,0.2, ,39.9,25.2,98,22,5.66,23.72
PARABURDOO AERO,09/01/2012,3.5,38.6, ,28.0,19.8,99,68,6.00,12.42
PARABURDOO AERO,10/01/2012,4.8,8.2, ,30.0,20.9,98,55,5.13,17.55
PARABURDOO AERO,11/01/2012,5.5,0.0, ,31.4,23.3,81,49,5.67,14.19
PARABURDOO AERO,12/01/2012,4.9,0.0, ,30.2,22.3,85,55,7.41,10.80
PARABURDOO AERO,13/01/2012,4.8,2.4, ,31.4,22.5,100,59,5.41,17.17
PARABURDOO AERO,14/01/2012,3.4,12.8, ,32.9,23.0,98,58,2.89,10.47
PARABURDOO AERO,15/01/2012,7.1,0.0, ,36.0,23.8,99,41,5.02,23.18
PARABURDOO AERO,16/01/2012,7.7,32.6, ,38.6,21.2,98,27,3.58,25.33
PARABURDOO AERO,17/01/2012,7.8,31.8, ,37.3,22.3,98,31,5.60,20.83
PARABURDOO AERO,18/01/2012,6.5,17.4, ,35.4,21.8,100,43,4.92,21.13
PARABURDOO AERO,19/01/2012,8.1,26.2, ,38.0,22.8,99,28,3.97,27.11
PARABURDOO AERO,20/01/2012,6.6,15.2, ,35.8,22.6,99,37,4.28,21.25
PARABURDOO AERO,21/01/2012,7.8,3.6, ,37.5,23.9,98,34,4.90,24.14
PARABURDOO AERO,22/01/2012,7.5,0.4, ,38.7,25.1,94,29,4.46,20.61
PARABURDOO AERO,23/01/2012,8.4,0.0, ,39.4,26.0,88,27,3.90,26.56
PARABURDOO AERO,24/01/2012,8.2,0.0, ,39.9,25.9,99,28,5.09,21.53
PARABURDOO AERO,25/01/2012,8.4,15.4, ,37.7,23.3,98,29,5.40,25.07
PARABURDOO AERO,26/01/2012,10.1,0.2, ,37.8,23.4,76,22,6.64,25.52
PARABURDOO AERO,27/01/2012,6.0,0.0, ,34.6,24.5,72,38,4.75,12.55
PARABURDOO AERO,28/01/2012,10.2,0.0, ,37.4,23.4,85,24,7.12,28.02
PARABURDOO AERO,29/01/2012,8.3,0.0, ,37.2,24.8,78,37,5.67,23.38
PARABURDOO AERO,30/01/2012,7.8,0.0, ,36.2,25.8,81,38,5.70,22.04
PARABURDOO AERO,31/01/2012,7.3,0.0, ,36.2,25.2,86,33,3.79,24.05
Totals:,,244.6,205.2, ,,,,,, 
