'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for December 2012,,,,,,,,,,
Issued at 22:37 GMT on Tuesday 01 January 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/12/2012,10.7,0.0, ,41.4,22.4,21,7,3.88,32.27
PARABURDOO AERO,02/12/2012,11.0,0.0, ,42.5,23.9,32,10,4.54,26.78
PARABURDOO AERO,03/12/2012,8.2,0.2, ,38.7,25.4,99,17,4.51,22.01
PARABURDOO AERO,04/12/2012,8.1,2.8, ,36.3,21.9,99,27,4.05,28.69
PARABURDOO AERO,05/12/2012,7.3,8.6, ,35.6,21.6,99,29,3.76,25.41
PARABURDOO AERO,06/12/2012,9.3,3.2, ,38.3,20.4,98,20,4.70,29.84
PARABURDOO AERO,07/12/2012,6.6,1.4, ,35.7,23.9,99,31,2.44,25.63
PARABURDOO AERO,08/12/2012,7.9,3.6, ,36.4,21.2,98,28,3.99,27.44
PARABURDOO AERO,09/12/2012,8.7,0.0, ,36.6,24.2,98,25,5.11,28.34
PARABURDOO AERO,10/12/2012,9.2,8.6, ,38.6,21.1,98,19,4.11,31.39
PARABURDOO AERO,11/12/2012,8.3,2.6, ,35.0,22.1,98,30,4.29,31.77
PARABURDOO AERO,12/12/2012,6.5,0.0, ,33.2,23.6,77,36,3.51,22.34
PARABURDOO AERO,13/12/2012,8.4,0.0, ,37.0,21.5,99,28,4.66,28.42
PARABURDOO AERO,14/12/2012,7.5,2.0, ,34.6,20.4,99,32,2.93,31.38
PARABURDOO AERO,15/12/2012,7.3,0.2, ,35.9,24.3,99,31,3.88,24.95
PARABURDOO AERO,16/12/2012,8.0,0.4, ,36.3,20.4,98,30,3.82,29.34
PARABURDOO AERO,17/12/2012,8.4,0.0, ,36.9,20.9,99,21,3.41,31.75
PARABURDOO AERO,18/12/2012,8.3,0.0, ,39.0,23.2,88,23,2.51,31.84
PARABURDOO AERO,19/12/2012,10.2,0.0, ,41.0,26.7,52,12,3.55,33.04
PARABURDOO AERO,20/12/2012,11.3,0.0, ,42.8,29.4,43,14,4.45,31.25
PARABURDOO AERO,21/12/2012,9.4,0.0, ,41.7,27.6,52,16,3.08,30.11
PARABURDOO AERO,22/12/2012,9.8,0.0, ,44.2,28.1,51,14,2.85,32.09
PARABURDOO AERO,23/12/2012,10.2,0.0, ,44.6,27.4,55,10,3.27,30.74
PARABURDOO AERO,24/12/2012,11.0,0.0, ,44.4,30.5,39,10,3.79,31.50
PARABURDOO AERO,25/12/2012,9.5,0.0, ,41.5,29.0,51,19,3.84,26.06
PARABURDOO AERO,26/12/2012,10.6,0.0, ,39.5,28.1,49,22,5.86,24.60
PARABURDOO AERO,27/12/2012,9.5,0.0, ,38.7,24.8,99,23,5.54,28.78
PARABURDOO AERO,28/12/2012,7.6,0.0, ,36.5,20.9,98,23,3.76,25.14
PARABURDOO AERO,29/12/2012,9.1,0.0, ,37.7,26.7,45,13,4.24,22.44
PARABURDOO AERO,30/12/2012,6.9,0.0, ,35.4,26.4,59,22,3.01,20.53
PARABURDOO AERO,31/12/2012,10.5,0.0, ,39.5,28.5,43,16,4.77,27.14
Totals:,,275.3,33.6, ,,,,,, 
