'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/09/2015,5.0,0.0, ,24.2,9.8,56,21,3.26,22.13
PARABURDOO AERO,02/09/2015,5.9,0.0, ,28.1,11.6,41,15,3.45,22.18
PARABURDOO AERO,03/09/2015,6.1,0.0, ,30.0,11.0,50,13,3.31,22.42
PARABURDOO AERO,04/09/2015,5.8,0.0, ,30.5,9.3,54,12,2.85,22.24
PARABURDOO AERO,05/09/2015,5.5,0.0, ,30.0,8.7,49,13,2.60,22.54
PARABURDOO AERO,06/09/2015,6.2,0.0, ,29.6,17.9,37,21,3.63,19.62
PARABURDOO AERO,07/09/2015, ,0.0, , ,17.0,44,19,4.41,22.27
PARABURDOO AERO,08/09/2015, , , ,32.5, ,31,11,4.15,23.14
PARABURDOO AERO,09/09/2015,8.1,0.0, ,34.7,16.8,32,9,4.25,23.04
PARABURDOO AERO,10/09/2015,7.4,0.0, ,35.5,13.6,43,10,3.53,22.73
PARABURDOO AERO,11/09/2015,5.8,0.0, ,33.1,13.6,47,14,2.38,22.32
PARABURDOO AERO,12/09/2015,6.5,0.0, ,32.3,15.8,44,15,3.24,22.51
PARABURDOO AERO,13/09/2015,6.1,0.0, ,26.3,15.5,70,16,4.22,23.35
PARABURDOO AERO,14/09/2015,7.0,0.0, ,28.8,14.4,27,11,4.00,23.72
PARABURDOO AERO,15/09/2015,6.9,0.0, ,31.3,14.6,26,11,3.48,23.03
PARABURDOO AERO,16/09/2015,7.4,0.0, ,33.5,15.0,29,9,3.65,22.62
PARABURDOO AERO,17/09/2015,7.8,0.0, ,34.3,14.7,26,9,3.98,20.17
PARABURDOO AERO,18/09/2015,8.3,0.0, ,35.2,17.0,26,7,4.01,24.34
PARABURDOO AERO,19/09/2015,8.2,0.0, ,35.7,16.6,27,8,4.03,20.89
PARABURDOO AERO,20/09/2015,7.3,0.0, ,34.7,23.7,20,9,3.29,20.64
PARABURDOO AERO,21/09/2015,9.1,0.0, ,33.7,19.9,34,11,5.32,24.16
PARABURDOO AERO,22/09/2015,9.5,0.0, ,34.4,20.9,24,10,5.30,23.87
PARABURDOO AERO,23/09/2015,8.0,0.0, ,32.9,17.7,23,6,3.82,25.78
PARABURDOO AERO,24/09/2015,7.4,0.0, ,32.9,15.7,24,4,3.27,26.13
PARABURDOO AERO,25/09/2015,7.8,0.0, ,33.6,11.7,26,5,3.53,26.00
PARABURDOO AERO,26/09/2015,8.3,0.0, ,34.6,13.7,25,5,3.83,26.18
PARABURDOO AERO,27/09/2015,8.3,0.0, ,34.7,15.4,20,5,3.72,26.15
PARABURDOO AERO,28/09/2015,8.4,0.0, ,35.5,14.6,17,4,3.65,26.56
PARABURDOO AERO,29/09/2015,7.3,0.0, ,35.0,12.9,28,6,2.83,26.54
PARABURDOO AERO,30/09/2015,9.0,0.0, ,37.3,19.1,18,4,3.86,26.80
Totals:,,204.4,0, ,,,,,, 
