'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PARABURDOO AERO Western Australia for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PARABURDOO AERO,01/12/2021,9.9,0.0, ,41.2,22.7,27,8,3.46,30.49
PARABURDOO AERO,02/12/2021,10.1,0.0, ,41.3,21.7,31,8,3.60,30.57
PARABURDOO AERO,03/12/2021,9.9,0.0, ,41.9,21.7,26,8,3.35,30.59
PARABURDOO AERO,04/12/2021,9.6,0.0, ,43.2,24.1,25,9,2.98,30.62
PARABURDOO AERO,05/12/2021,10.1,0.0, ,43.5,26.4,23,10,3.32,30.55
PARABURDOO AERO,06/12/2021,10.1,0.0, ,44.3,27.2,21,8,3.26,29.76
PARABURDOO AERO,07/12/2021,12.7,0.0, ,43.3,30.3,32,11,6.17,24.03
PARABURDOO AERO,08/12/2021,10.5,0.0, ,43.8,29.3,32,10,3.77,28.09
PARABURDOO AERO,09/12/2021,10.5,0.0, ,43.7,28.5,34,9,3.78,28.09
PARABURDOO AERO,10/12/2021,10.7,0.0, ,42.7,26.4,32,9,3.83,30.75
PARABURDOO AERO,11/12/2021,11.7,0.0, ,41.8,28.8,28,11,4.78,30.79
PARABURDOO AERO,12/12/2021,10.4,0.0, ,40.6,27.9,24,9,4.29,25.16
PARABURDOO AERO,13/12/2021,10.4,0.0, ,42.0,23.1,24,6,3.68,30.82
PARABURDOO AERO,14/12/2021,9.7,0.0, ,39.7,24.3,42,8,3.48,30.81
PARABURDOO AERO,15/12/2021,12.5,0.0, ,43.8,21.3,22,7,5.00,30.81
PARABURDOO AERO,16/12/2021,13.8,0.0, ,41.8,24.6,30,9,6.83,30.81
PARABURDOO AERO,17/12/2021,11.1,0.0, ,40.2,24.7,37,12,4.72,30.82
PARABURDOO AERO,18/12/2021,10.5,0.0, ,41.7,21.9,27,9,3.78,30.83
PARABURDOO AERO,19/12/2021,11.1,0.0, ,43.5,26.6,17,8,3.94,30.83
PARABURDOO AERO,20/12/2021,11.8,0.0, ,46.6,31.3,23,6,4.35,27.47
PARABURDOO AERO,21/12/2021,11.6,0.0, ,45.9,26.0,33,6,4.19,29.21
PARABURDOO AERO,22/12/2021,14.0,0.0, ,44.0,28.9,18,8,6.18,30.79
PARABURDOO AERO,23/12/2021,9.0,0.0, ,41.8,21.8,16,5,2.69,30.82
PARABURDOO AERO,24/12/2021,12.7,0.0, ,45.0,24.8,27,4,4.98,30.47
PARABURDOO AERO,25/12/2021,9.8,0.0, ,43.0,29.8,57,14,4.10,23.72
PARABURDOO AERO,26/12/2021,10.0,1.0, ,43.0,25.9,67,10,3.73,28.33
PARABURDOO AERO,27/12/2021,9.3,0.0, ,43.0,28.5,44,10,3.78,20.58
PARABURDOO AERO,28/12/2021,7.4,0.0, ,40.7,28.5,31,10,2.87,15.45
PARABURDOO AERO,29/12/2021,11.9,0.0, ,42.0,26.9,18,7,4.75,30.80
PARABURDOO AERO,30/12/2021,11.3,0.0, ,41.9,27.6,21,6,4.43,29.53
PARABURDOO AERO,31/12/2021,11.3,0.0, ,41.7,25.9,40,8,5.08,25.75
Totals:,,335.4,1, ,,,,,, 
