'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PEARCE RAAF Western Australia for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PEARCE RAAF,01/03/2015,5.5,0.0, ,31.9,17.3,87,36,4.66,13.66
PEARCE RAAF,02/03/2015,6.0,0.8, ,28.5,18.5,69,44,6.28,17.07
PEARCE RAAF,03/03/2015,7.1,0.0, ,31.7,18.0,73,31,5.12,22.90
PEARCE RAAF,04/03/2015,7.9,0.0, ,33.5,17.4,76,25,5.26,24.35
PEARCE RAAF,05/03/2015,8.0,0.0, ,33.3,17.9,65,23,5.10,24.76
PEARCE RAAF,06/03/2015,7.3,0.0, ,33.8,18.4,71,22,4.04,24.02
PEARCE RAAF,07/03/2015,7.1,0.0, ,34.0,15.0,84,23,3.99,23.88
PEARCE RAAF,08/03/2015,8.2,0.0, ,34.4,16.9,73,22,5.43,23.72
PEARCE RAAF,09/03/2015,7.6,0.0, ,35.0,17.5,79,24,4.63,23.63
PEARCE RAAF,10/03/2015,6.6,0.0, ,35.5,11.3,82,14,2.74,24.00
PEARCE RAAF,11/03/2015,6.9,0.0, ,36.3,13.5,91,18,3.11,23.53
PEARCE RAAF,12/03/2015,8.7,0.0, ,41.5,17.6,69,13,3.76,23.26
PEARCE RAAF,13/03/2015,5.2,0.0, ,36.4,18.1,80,18,3.47,4.41
PEARCE RAAF,14/03/2015,4.9,9.0, ,33.1,20.8,95,39,5.06,9.47
PEARCE RAAF,15/03/2015,4.7,5.4, ,28.2,20.0,96,50,5.15,18.20
PEARCE RAAF,16/03/2015,4.3,4.4, ,28.2,17.0,96,49,3.93,17.40
PEARCE RAAF,17/03/2015,4.9,0.2, ,29.4,15.9,96,48,5.00,18.53
PEARCE RAAF,18/03/2015,3.8,2.4, ,25.9,18.7,96,53,5.07,13.98
PEARCE RAAF,19/03/2015,3.3,0.2, ,26.1,16.1,96,48,2.58,14.05
PEARCE RAAF,20/03/2015,6.6,0.0, ,32.0,13.6,87,29,4.98,21.93
PEARCE RAAF,21/03/2015,4.0,0.0, ,26.1,15.4,92,54,5.28,15.66
PEARCE RAAF,22/03/2015,4.7,0.0, ,25.4,13.6,90,30,4.86,14.24
PEARCE RAAF,23/03/2015,6.2,0.0, ,24.9,11.6,59,25,5.67,22.03
PEARCE RAAF,24/03/2015,6.3,0.0, ,28.0,13.7,66,25,5.05,21.37
PEARCE RAAF,25/03/2015,7.9,0.0, ,29.5,12.8,58,21,7.13,20.83
PEARCE RAAF,26/03/2015,6.2,0.0, ,29.4,16.5,90,26,6.66,13.85
PEARCE RAAF,27/03/2015,5.0,4.4, ,28.4,17.6,85,39,4.10,19.72
PEARCE RAAF,28/03/2015,4.4,0.0, ,29.2,10.7,94,28,2.45,19.02
PEARCE RAAF,29/03/2015,5.3,0.0, ,33.2,8.9,95,24,2.61,20.35
PEARCE RAAF,30/03/2015,3.2,0.0, ,28.6,11.2,90,32,1.94,9.93
PEARCE RAAF,31/03/2015,3.6,0.0, ,26.6,16.0,94,49,3.15,15.78
Totals:,,181.4,26.8, ,,,,,, 
