'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PEARCE RAAF Western Australia for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PEARCE RAAF,01/08/2017,1.6,26.4, ,14.8,2.7,97,56,2.11,13.99
PEARCE RAAF,02/08/2017,1.5,0.0, ,15.7,2.0,94,53,1.29,14.00
PEARCE RAAF,03/08/2017,1.7,0.0, ,18.3,3.6,94,68,3.96,9.59
PEARCE RAAF,04/08/2017,1.5,1.8, ,15.0,7.8,91,63,2.52,7.69
PEARCE RAAF,05/08/2017,2.2,0.0, ,19.3,9.9,95,51,2.58,13.37
PEARCE RAAF,06/08/2017,1.9,0.0, ,19.3,5.6,96,59,2.93,9.74
PEARCE RAAF,07/08/2017,1.8,0.0, ,18.9,8.6,93,65,3.13,9.97
PEARCE RAAF,08/08/2017,1.6,0.0, ,19.3,11.9,97,75,5.12,6.71
PEARCE RAAF,09/08/2017,1.9,40.0, ,14.3,8.6,96,64,6.32,10.46
PEARCE RAAF,10/08/2017,1.9,4.0, ,16.2,5.8,93,49,2.12,12.12
PEARCE RAAF,11/08/2017,3.1,0.2, ,19.2,6.3,90,48,6.33,11.67
PEARCE RAAF,12/08/2017,2.0,13.4, ,19.0,13.2,96,67,6.06,8.23
PEARCE RAAF,13/08/2017,2.4,4.2, ,20.3,13.1,95,67,6.59,11.64
PEARCE RAAF,14/08/2017,2.6,12.0, ,17.8,13.7,95,57,7.59,11.24
PEARCE RAAF,15/08/2017,2.5,9.2, ,16.8,10.0,93,58,6.28,14.12
PEARCE RAAF,16/08/2017,2.6,6.4, ,16.1,9.9,93,46,5.17,13.13
PEARCE RAAF,17/08/2017,2.6,0.2, ,17.9,5.6,94,47,3.73,14.92
PEARCE RAAF,18/08/2017,3.0,0.0, ,20.3,7.5,94,37,3.32,15.67
PEARCE RAAF,19/08/2017,2.4,7.8, ,17.6,9.9,96,56,3.83,14.81
PEARCE RAAF,20/08/2017,2.4,0.0, ,16.7,9.0,94,52,2.97,16.79
PEARCE RAAF,21/08/2017,2.0,0.0, ,18.0,5.5,94,58,2.46,11.63
PEARCE RAAF,22/08/2017,2.1,0.2, ,19.1,7.8,96,52,1.57,14.61
PEARCE RAAF,23/08/2017,2.7,0.0, ,19.2,6.3,96,44,3.01,15.98
PEARCE RAAF,24/08/2017,3.6,0.0, ,21.3,9.7,80,49,4.96,17.37
PEARCE RAAF,25/08/2017,3.0,0.0, ,21.8,10.7,93,49,2.89,17.52
PEARCE RAAF,26/08/2017,2.3,0.0, ,19.6,8.6,94,64,3.59,13.30
PEARCE RAAF,27/08/2017,5.0,0.0, ,23.8,12.5,76,37,6.73,17.82
PEARCE RAAF,28/08/2017,3.7,0.0, ,23.9,13.2,79,45,3.52,16.80
PEARCE RAAF,29/08/2017,2.3,0.0, ,21.5,13.2,94,62,2.27,12.84
PEARCE RAAF,30/08/2017,2.5,0.0, ,20.1,11.2,97,52,3.14,12.77
PEARCE RAAF,31/08/2017,2.6,0.2, ,19.2,10.3,96,60,3.97,15.20
Totals:,,75,126, ,,,,,, 
