'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PEARCE RAAF Western Australia for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PEARCE RAAF,01/01/2019,8.5,0.0, ,36.1,12.7,89,22,3.71,31.05
PEARCE RAAF,02/01/2019,5.4,0.0, ,27.7,19.7,85,44,5.03,18.78
PEARCE RAAF,03/01/2019,6.2,0.6, ,25.5,15.8,94,36,5.96,26.85
PEARCE RAAF,04/01/2019,7.2,0.0, ,26.6,10.2,75,25,4.88,31.32
PEARCE RAAF,05/01/2019,9.4,0.0, ,34.5,11.0,85,14,5.05,30.55
PEARCE RAAF,06/01/2019,9.9,0.0, ,37.7,19.5,62,16,4.57,29.87
PEARCE RAAF,07/01/2019,8.1,0.0, ,35.8,14.9,86,25,3.43,30.83
PEARCE RAAF,08/01/2019,9.0,0.0, ,34.8,18.7,68,22,5.39,26.10
PEARCE RAAF,09/01/2019,9.0,0.0, ,34.8,19.2,75,25,4.90,30.64
PEARCE RAAF,10/01/2019,6.8,0.0, ,28.4,13.2,90,39,5.09,30.46
PEARCE RAAF,11/01/2019,7.0,0.0, ,31.1,11.6,91,29,3.36,30.49
PEARCE RAAF,12/01/2019,9.1,0.0, ,37.2,10.0,91,16,3.90,30.33
PEARCE RAAF,13/01/2019,7.6,0.0, ,30.9,16.9,91,30,4.88,30.02
PEARCE RAAF,14/01/2019,7.9,0.0, ,33.1,16.9,82,33,4.43,30.31
PEARCE RAAF,15/01/2019,7.7,0.0, ,32.3,12.9,90,28,4.36,30.19
PEARCE RAAF,16/01/2019,7.6,0.0, ,30.3,13.2,84,27,4.64,30.16
PEARCE RAAF,17/01/2019,7.0,0.0, ,29.0,13.5,89,35,4.95,30.12
PEARCE RAAF,18/01/2019,8.3,0.0, ,35.0,13.7,88,15,3.62,30.00
PEARCE RAAF,19/01/2019,10.8,0.0, ,41.9,15.9,80,7,4.24,29.80
PEARCE RAAF,20/01/2019,10.7,0.0, ,44.4,17.9,74,10,3.77,29.82
PEARCE RAAF,21/01/2019,7.6,0.0, ,33.6,16.7,94,28,3.86,29.53
PEARCE RAAF,22/01/2019,6.6,0.0, ,30.6,17.3,84,34,5.22,21.27
PEARCE RAAF,23/01/2019,5.4,0.0, ,23.8,14.0,89,44,7.29,21.88
PEARCE RAAF,24/01/2019,2.6,3.2, ,21.1,14.1,93,57,4.62,6.99
PEARCE RAAF,25/01/2019,7.2,0.0, ,29.0,10.0,85,27,4.82,29.77
PEARCE RAAF,26/01/2019,9.0,0.0, ,33.7,13.6,82,13,4.96,29.57
PEARCE RAAF,27/01/2019,9.7,0.0, ,37.7,17.5,59,10,4.17,29.38
PEARCE RAAF,28/01/2019,10.1,0.0, ,42.8,11.4,71,8,3.45,29.28
PEARCE RAAF,29/01/2019,7.9,0.0, ,34.1,10.8,89,15,3.56,29.17
PEARCE RAAF,30/01/2019,8.1,0.0, ,33.7,16.6,85,13,3.80,28.95
PEARCE RAAF,31/01/2019,10.9,0.0, ,37.5,17.4,52,14,5.83,28.73
Totals:,,248.3,3.8, ,,,,,, 
