'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PEARCE RAAF Western Australia for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PEARCE RAAF,01/10/2021,2.5,1.0, ,19.2,13.4,92,61,5.17,8.62
PEARCE RAAF,02/10/2021,3.3,22.6, ,20.0,9.1,95,52,4.98,15.79
PEARCE RAAF,03/10/2021,3.5,4.0, ,19.0,9.9,92,47,3.70,18.94
PEARCE RAAF,04/10/2021,3.6,0.2, ,20.1,6.4,94,42,3.92,17.84
PEARCE RAAF,05/10/2021,3.4,4.4, ,18.7,11.3,95,47,3.31,18.97
PEARCE RAAF,06/10/2021,3.9,0.4, ,18.4,6.4,86,32,2.47,24.34
PEARCE RAAF,07/10/2021,3.9,0.0, ,20.9,3.5,94,40,2.74,24.43
PEARCE RAAF,08/10/2021,4.0,2.0, ,20.3,12.7,95,43,4.24,20.88
PEARCE RAAF,09/10/2021,4.0,0.2, ,20.1,6.1,90,35,3.40,21.20
PEARCE RAAF,10/10/2021,5.0,0.0, ,23.2,7.2,87,31,4.43,22.65
PEARCE RAAF,11/10/2021,3.5,0.0, ,21.0,11.0,89,54,6.22,12.64
PEARCE RAAF,12/10/2021,3.6,4.2, ,18.1,8.1,92,41,3.74,18.89
PEARCE RAAF,13/10/2021,4.4,0.0, ,22.4,3.9,93,34,2.69,25.33
PEARCE RAAF,14/10/2021,5.6,0.0, ,24.2,10.1,87,32,5.36,23.88
PEARCE RAAF,15/10/2021,8.7,0.0, ,33.1,14.3,42,14,5.18,22.78
PEARCE RAAF,16/10/2021,4.0,0.0, ,22.6,13.6,93,47,4.85,17.16
PEARCE RAAF,17/10/2021,3.4,0.0, ,22.6,14.1,90,48,3.16,14.36
PEARCE RAAF,18/10/2021,5.3,0.0, ,26.9,7.3,93,36,3.26,26.13
PEARCE RAAF,19/10/2021,4.1,12.0, ,21.7,15.2,94,50,9.04,13.82
PEARCE RAAF,20/10/2021,3.6,29.2, ,21.1,13.2,94,52,6.77,12.27
PEARCE RAAF,21/10/2021,3.9,8.4, ,21.3,12.6,94,51,4.24,20.14
PEARCE RAAF,22/10/2021,3.7,0.0, ,22.2,11.1,93,47,2.08,19.93
PEARCE RAAF,23/10/2021,5.4,0.0, ,26.3,8.8,92,31,3.10,26.30
PEARCE RAAF,24/10/2021,6.9,0.0, ,32.0,9.6,93,23,3.79,25.81
PEARCE RAAF,25/10/2021,2.6,2.4, ,17.9,13.1,93,56,3.85,10.91
PEARCE RAAF,26/10/2021,3.4,4.6, ,17.5,8.5,94,47,4.05,17.88
PEARCE RAAF,27/10/2021,3.8,32.4, ,18.7,7.5,93,51,6.03,20.35
PEARCE RAAF,28/10/2021,3.9,5.2, ,19.9,6.1,94,35,2.49,22.74
PEARCE RAAF,29/10/2021,4.9,0.0, ,21.8,7.6,91,31,4.20,24.25
PEARCE RAAF,30/10/2021,6.3,0.0, ,25.5,11.1,70,28,4.22,27.97
PEARCE RAAF,31/10/2021,5.2,0.0, ,25.8,8.0,92,37,2.92,27.14
Totals:,,133.3,133.2, ,,,,,, 
