'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH METRO Western Australia for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH METRO,01/06/2009,2.2,0.0, ,26.2,13.2,93,36,1.73,13.27
PERTH METRO,02/06/2009,1.8,4.0, ,23.6,10.5,99,53,1.59,12.80
PERTH METRO,03/06/2009,1.8,3.8, ,20.4,10.1,100,53,2.36,12.13
PERTH METRO,04/06/2009,1.8,3.0, ,17.6,8.0,95,53,2.86,12.07
PERTH METRO,05/06/2009,1.7,0.6, ,19.1,7.3,99,55,2.58,12.51
PERTH METRO,06/06/2009,1.6,0.0, ,20.0,6.0,100,46,1.51,13.44
PERTH METRO,07/06/2009,1.3,0.0, ,17.5,5.8,100,50,1.29,13.25
PERTH METRO,08/06/2009,1.4,0.0, ,21.0,5.0,100,41,0.87,13.64
PERTH METRO,09/06/2009,2.2,0.0, ,23.1,4.3,100,24,1.98,13.17
PERTH METRO,10/06/2009,2.1,1.2, ,22.0,11.9,97,52,2.85,12.84
PERTH METRO,11/06/2009,1.0,22.2, ,17.0,12.2,98,73,1.69,6.11
PERTH METRO,12/06/2009,0.9,8.6, ,15.4,5.2,100,58,0.55,10.29
PERTH METRO,13/06/2009,1.2,0.2, ,16.7,5.1,99,49,1.04,12.60
PERTH METRO,14/06/2009,1.2,0.0, ,19.4,3.4,100,49,0.83,13.29
PERTH METRO,15/06/2009,1.6,0.0, ,21.1,8.2,97,42,1.44,13.24
PERTH METRO,16/06/2009,1.8,0.0, ,21.4,6.1,97,33,1.61,13.38
PERTH METRO,17/06/2009,2.4,0.0, ,20.8,4.7,97,29,2.74,13.34
PERTH METRO,18/06/2009,1.3,0.0, ,19.7,10.5,97,68,2.10,8.72
PERTH METRO,19/06/2009,2.7,14.2, ,16.6,13.1,93,34,5.44,9.52
PERTH METRO,20/06/2009,2.2,8.0, ,18.3,11.2,91,53,4.75,11.83
PERTH METRO,21/06/2009,1.7,17.4, ,14.8,10.4,92,49,2.99,12.08
PERTH METRO,22/06/2009,1.3,0.0, ,15.7,7.6,88,52,1.69,11.22
PERTH METRO,23/06/2009,1.0,1.6, ,12.8,8.8,99,66,2.55,4.61
PERTH METRO,24/06/2009,1.3,11.8, ,17.5,9.2,97,73,3.28,7.93
PERTH METRO,25/06/2009,2.0,12.8, ,20.0,12.0,92,58,3.44,12.31
PERTH METRO,26/06/2009,1.3,0.6, ,16.6,9.5,98,66,2.95,5.69
PERTH METRO,27/06/2009,2.5,4.8, ,18.0,12.8,85,48,5.41,9.57
PERTH METRO,28/06/2009,2.3,9.8, ,19.3,13.0,94,54,5.16,11.28
PERTH METRO,29/06/2009,2.4,23.2, ,16.0,13.7,91,52,7.10,8.64
PERTH METRO,30/06/2009,1.7,8.4, ,15.9,9.1,98,56,3.90,10.34
Totals:,,51.7,156.2, ,,,,,, 
