'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH METRO Western Australia for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH METRO,01/03/2011,8.1,0.0, ,34.8,21.3,68,27,4.45,27.30
PERTH METRO,02/03/2011,7.2,0.0, ,33.0,20.7,59,22,3.14,27.96
PERTH METRO,03/03/2011,7.1,0.0, ,34.3,19.5,69,25,2.92,27.92
PERTH METRO,04/03/2011,7.1,0.0, ,35.1,20.8,79,28,3.18,27.09
PERTH METRO,05/03/2011,6.0,0.0, ,29.0,22.3,81,42,3.98,25.33
PERTH METRO,06/03/2011,6.2,0.0, ,26.6,17.8,76,35,4.21,27.60
PERTH METRO,07/03/2011,5.9,0.0, ,28.0,17.1,72,36,3.56,25.88
PERTH METRO,08/03/2011,6.1,0.0, ,29.7,15.3,82,33,3.28,27.14
PERTH METRO,09/03/2011,6.9,0.0, ,32.2,17.7,71,28,3.47,27.24
PERTH METRO,10/03/2011,6.0,0.0, ,32.0,17.3,87,33,2.96,26.11
PERTH METRO,11/03/2011,6.1,0.0, ,27.6,16.7,82,33,4.25,26.47
PERTH METRO,12/03/2011,5.9,0.0, ,27.0,16.9,68,33,4.01,25.14
PERTH METRO,13/03/2011,6.5,0.0, ,30.8,16.2,65,24,3.32,26.13
PERTH METRO,14/03/2011,7.1,0.0, ,34.9,19.1,56,19,3.23,24.68
PERTH METRO,15/03/2011,8.3,0.0, ,35.4,22.8,44,17,4.14,25.51
PERTH METRO,16/03/2011,6.9,0.0, ,33.4,19.4,64,28,3.80,24.68
PERTH METRO,17/03/2011,6.2,0.0, ,32.0,20.7,76,39,3.37,25.42
PERTH METRO,18/03/2011, ,0.0, , ,17.6,95,46,2.49,25.21
PERTH METRO,19/03/2011,5.4,0.0, ,28.1,18.1,88,40,3.74,25.00
PERTH METRO,20/03/2011,5.8,0.0, ,27.8,16.9,70,36,3.88,24.73
PERTH METRO,21/03/2011,6.0,0.0, ,31.5,16.7,70,32,3.50,23.34
PERTH METRO,22/03/2011,5.1,0.0, ,32.1,19.4,92,34,2.41,22.55
PERTH METRO,23/03/2011,5.1,0.0, ,31.2,19.7,96,40,2.30,24.12
PERTH METRO,24/03/2011,6.4,0.0, ,35.2,20.6,75,26,2.90,24.21
PERTH METRO,25/03/2011,6.8,0.0, ,36.4,20.9,76,18,3.03,24.03
PERTH METRO,26/03/2011,6.4,0.0, ,35.1,20.6,65,16,2.69,23.88
PERTH METRO,27/03/2011,5.2,0.0, ,34.2,14.1,84,18,1.76,23.76
PERTH METRO,28/03/2011,5.4,0.0, ,33.7,14.4,94,19,2.19,23.33
PERTH METRO,29/03/2011,5.7,0.0, ,32.9,18.7,74,25,2.83,22.40
PERTH METRO,30/03/2011,6.2,0.0, ,32.5,18.5,70,20,3.33,23.00
PERTH METRO,31/03/2011,5.8,0.0, ,31.7,18.4,69,23,3.03,22.62
Totals:,,188.9,0, ,,,,,, 
