'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH METRO Western Australia for December 2012,,,,,,,,,,
Issued at 22:37 GMT on Tuesday 01 January 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH METRO,01/12/2012,6.0,0.0, ,24.4,10.0,82,33,3.21,32.08
PERTH METRO,02/12/2012,7.4,0.0, ,29.8,15.1,76,25,3.57,31.90
PERTH METRO,03/12/2012,9.1,0.0, ,33.7,16.6,57,17,4.09,33.05
PERTH METRO,04/12/2012,9.1,0.0, ,38.2,18.6,63,20,3.40,32.33
PERTH METRO,05/12/2012,3.9,2.6, ,24.7,20.0,88,56,2.26,17.61
PERTH METRO,06/12/2012,5.1,2.0, ,24.1,19.0,96,58,2.55,28.00
PERTH METRO,07/12/2012,5.5,1.0, ,23.6,17.8,91,51,4.05,29.35
PERTH METRO,08/12/2012,6.5,0.0, ,28.1,9.4,94,25,2.65,33.27
PERTH METRO,09/12/2012,8.1,0.0, ,35.1,15.2,77,24,3.06,32.51
PERTH METRO,10/12/2012,7.2,0.0, ,34.1,19.4,88,33,2.29,31.76
PERTH METRO,11/12/2012,5.9,0.8, ,30.1,18.3,93,49,2.76,27.31
PERTH METRO,12/12/2012,4.8,8.6, ,24.7,16.6,94,51,2.78,24.76
PERTH METRO,13/12/2012,5.5,5.2, ,25.5,17.8,82,52,3.50,26.51
PERTH METRO,14/12/2012,6.4,0.0, ,26.0,17.1,80,49,3.94,32.19
PERTH METRO,15/12/2012,6.7,0.0, ,28.3,15.0,83,42,3.36,33.16
PERTH METRO,16/12/2012,7.1,0.0, ,31.4,15.7,91,33,2.99,32.53
PERTH METRO,17/12/2012,5.6,0.0, ,24.7,15.6,95,52,3.23,31.52
PERTH METRO,18/12/2012,5.5,0.0, ,25.1,18.6,92,55,3.58,28.75
PERTH METRO,19/12/2012,7.1,0.0, ,28.4,13.8,78,33,3.54,33.53
PERTH METRO,20/12/2012,8.8,0.0, ,35.3,17.1,75,19,3.45,33.89
PERTH METRO,21/12/2012,7.0,0.0, ,29.8,19.2,82,40,3.34,32.09
PERTH METRO,22/12/2012,6.7,0.0, ,26.7,15.9,85,40,3.50,33.65
PERTH METRO,23/12/2012,6.4,0.0, ,26.7,17.0,87,49,3.48,33.20
PERTH METRO,24/12/2012,8.0,0.0, ,32.7,17.3,78,32,3.40,33.96
PERTH METRO,25/12/2012,9.5,0.0, ,39.6,19.0,80,20,3.37,33.97
PERTH METRO,26/12/2012,9.8,0.0, ,37.5,23.0,56,28,4.21,33.62
PERTH METRO,27/12/2012,9.1,0.0, ,38.3,20.2,65,24,3.10,33.75
PERTH METRO,28/12/2012,8.0,0.0, ,39.3,24.3,67,19,2.66,26.66
PERTH METRO,29/12/2012,9.2,0.0, ,40.5,27.3,65,22,3.24,29.82
PERTH METRO,30/12/2012,8.7,0.0, ,37.5,21.5,77,19,2.75,33.56
PERTH METRO,31/12/2012,8.2,0.0, ,42.1,20.9,79,14,1.70,33.21
Totals:,,221.9,20.2, ,,,,,, 
