'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH METRO Western Australia for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH METRO,01/01/2016,8.7,0.0, ,35.0,17.1,63,22,4.11,29.17
PERTH METRO,02/01/2016,8.4,0.0, ,36.0,21.9,65,28,3.53,30.22
PERTH METRO,03/01/2016,8.5,0.0, ,36.7,23.1,67,29,3.23,31.22
PERTH METRO,04/01/2016,4.4,0.0, ,31.5,23.4,86,39,2.09,15.31
PERTH METRO,05/01/2016,5.3,0.0, ,27.9,20.4,90,59,2.52,25.83
PERTH METRO,06/01/2016,6.9,0.0, ,33.5,19.9,90,42,2.19,31.18
PERTH METRO,07/01/2016,9.8,0.0, ,41.9,21.7,85,14,3.66,30.57
PERTH METRO,08/01/2016, ,0.0, , ,25.6,57,22,3.11,18.66
PERTH METRO,09/01/2016,6.3, , ,34.7,18.9,81,34,2.07,25.84
PERTH METRO,10/01/2016,4.4,0.0, ,26.4,18.9,84,53,2.55,19.03
PERTH METRO,11/01/2016,5.3,0.0, ,27.4,16.5,93,45,2.47,25.65
PERTH METRO,12/01/2016,5.4,0.0, ,26.0,18.6,87,52,3.69,25.53
PERTH METRO,13/01/2016,8.2,0.6, ,31.0,15.3,68,14,3.81,32.28
PERTH METRO,14/01/2016,8.5,0.0, ,34.2,15.9,59,14,3.48,30.92
PERTH METRO,15/01/2016,8.6,0.0, ,36.7,19.1,54,14,3.12,30.57
PERTH METRO,16/01/2016,6.9,0.0, ,38.7,21.2,62,17,2.09,23.80
PERTH METRO,17/01/2016,5.6,0.0, ,31.4,19.9,84,45,2.33,24.09
PERTH METRO,18/01/2016,3.2,1.2, ,23.6,18.2,88,55,2.46,12.48
PERTH METRO,19/01/2016,4.2,0.4, ,26.3,13.9,91,39,2.47,17.15
PERTH METRO,20/01/2016,4.8,0.4, ,26.7,14.6,94,52,2.20,24.61
PERTH METRO,21/01/2016,5.4,0.0, ,27.5,16.8,84,49,3.58,23.88
PERTH METRO,22/01/2016,6.8,0.0, ,28.9,16.7,75,33,3.31,30.43
PERTH METRO,23/01/2016,6.6,0.0, ,34.9,17.3,84,27,2.87,23.65
PERTH METRO,24/01/2016,7.1,1.0, ,35.6,19.2,85,34,2.45,29.63
PERTH METRO,25/01/2016,5.7,4.4, ,33.6,20.8,88,48,2.97,21.90
PERTH METRO,26/01/2016,6.5,0.8, ,33.1,21.1,83,48,3.41,26.28
PERTH METRO,27/01/2016,7.2,0.0, ,33.1,21.5,62,28,3.38,25.52
PERTH METRO,28/01/2016,8.1,0.0, ,34.4,17.6,70,22,3.77,29.10
PERTH METRO,29/01/2016,8.4,0.0, ,37.1,19.5,66,20,3.92,25.02
PERTH METRO,30/01/2016,3.1,0.0, ,27.0,24.5,91,24,3.02,3.45
PERTH METRO,31/01/2016,3.2,6.4, ,24.5,19.4,89,50,3.67,8.43
Totals:,,191.5,15.2, ,,,,,, 
