'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PERTH METRO Western Australia for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PERTH METRO,01/05/2016,2.0,0.0, ,19.4,12.8,82,47,1.58,11.42
PERTH METRO,02/05/2016,1.5,0.0, ,20.6,9.9,95,66,1.39,8.49
PERTH METRO,03/05/2016,1.6,0.2, ,21.5,9.7,98,59,1.29,8.60
PERTH METRO,04/05/2016,1.9,0.0, ,22.3,11.2,97,56,1.43,11.45
PERTH METRO,05/05/2016,1.5,0.0, ,21.0,11.6,99,62,1.36,8.06
PERTH METRO,06/05/2016,1.6,1.6, ,20.3,13.2,97,64,1.39,9.67
PERTH METRO,07/05/2016,2.0,18.0, ,18.6,12.4,97,57,3.17,11.06
PERTH METRO,08/05/2016,1.9,1.2, ,17.0,4.6,97,46,2.05,14.15
PERTH METRO,09/05/2016,1.9,0.0, ,20.9,5.0,97,49,1.40,13.58
PERTH METRO,10/05/2016,1.9,0.0, ,22.8,7.0,99,42,1.01,15.27
PERTH METRO,11/05/2016,2.2,0.0, ,25.5,7.3,98,31,1.17,15.11
PERTH METRO,12/05/2016,2.2,0.0, ,25.5,6.0,97,31,1.23,14.99
PERTH METRO,13/05/2016,2.0,0.0, ,22.7,10.5,99,59,1.93,13.19
PERTH METRO,14/05/2016,2.0,4.6, ,22.3,13.9,99,51,1.92,11.10
PERTH METRO,15/05/2016,2.2,0.0, ,22.4,10.2,96,49,2.37,11.82
PERTH METRO,16/05/2016,1.6,2.2, ,21.2,9.4,98,44,0.79,12.59
PERTH METRO,17/05/2016,1.6,0.0, ,21.5,8.9,96,57,1.40,9.77
PERTH METRO,18/05/2016,1.5,3.6, ,22.0,12.5,99,66,1.20,10.63
PERTH METRO,19/05/2016,1.0,0.0, ,19.8,13.1,99,62,0.46,5.97
PERTH METRO,20/05/2016,1.8,0.0, ,22.0,9.1,99,57,1.83,12.23
PERTH METRO,21/05/2016,2.4,36.4, ,17.5,15.1,98,44,5.71,5.98
PERTH METRO,22/05/2016,1.7,8.6, ,19.6,10.5,96,56,2.21,11.21
PERTH METRO,23/05/2016,2.2,2.8, ,20.6,10.6,98,44,2.80,12.10
PERTH METRO,24/05/2016,2.3,23.8, ,19.5,13.2,99,44,3.83,10.61
PERTH METRO,25/05/2016,1.5,2.6, ,19.2,10.1,99,57,1.74,10.38
PERTH METRO,26/05/2016,1.6,2.2, ,19.8,12.8,98,57,1.89,9.75
PERTH METRO,27/05/2016,1.7,0.4, ,20.7,7.0,98,40,1.55,11.94
PERTH METRO,28/05/2016,2.0,3.4, ,20.0,12.5,97,49,2.82,10.48
PERTH METRO,29/05/2016,1.3,0.4, ,19.3,11.0,98,50,1.03,9.62
PERTH METRO,30/05/2016,1.6,0.0, ,20.0,7.3,92,42,1.39,12.27
PERTH METRO,31/05/2016,1.5,0.0, ,20.6,5.0,97,41,1.14,11.50
Totals:,,55.7,112, ,,,,,, 
