'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for PORT HEDLAND AIRPORT Western Australia for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
PORT HEDLAND AIRPORT,01/09/2009,5.2,0.0,32.0,28.7,13.6,92,46,4.50,23.14
PORT HEDLAND AIRPORT,02/09/2009,7.2,0.0,6.8,32.9,16.3,100,11,4.61,23.60
PORT HEDLAND AIRPORT,03/09/2009,7.8,0.0, ,34.1,12.3,88,10,4.48,24.17
PORT HEDLAND AIRPORT,04/09/2009,7.4,0.0, ,32.2,13.6,94,11,4.84,23.94
PORT HEDLAND AIRPORT,05/09/2009,5.6,0.0,23.0,29.1,15.5,98,40,5.17,23.40
PORT HEDLAND AIRPORT,06/09/2009,7.2,0.0,7.2,33.6,15.7,98,16,4.53,23.90
PORT HEDLAND AIRPORT,07/09/2009,7.4,0.0,10.2,31.8,15.1,81,12,4.64,24.31
PORT HEDLAND AIRPORT,08/09/2009,8.2,0.0, ,33.7,15.3,84,9,4.95,24.48
PORT HEDLAND AIRPORT,09/09/2009,6.9,0.0, ,32.5,19.9,82,12,3.89,23.47
PORT HEDLAND AIRPORT,10/09/2009,7.1,0.0,22.6,33.2,14.4,92,16,4.06,24.38
PORT HEDLAND AIRPORT,11/09/2009,6.2,0.0,8.8,30.8,16.2,99,30,4.54,24.38
PORT HEDLAND AIRPORT,12/09/2009,6.2,0.0, ,30.6,18.2,90,41,5.35,24.51
PORT HEDLAND AIRPORT,13/09/2009,5.4,0.0, ,29.7,16.7,95,50,4.39,24.82
PORT HEDLAND AIRPORT,14/09/2009,6.4,0.0, ,31.4,16.3,95,29,4.22,24.98
PORT HEDLAND AIRPORT,15/09/2009,6.5,0.0, ,30.4,17.2,94,39,6.24,24.75
PORT HEDLAND AIRPORT,16/09/2009,8.2,0.0, ,31.4,16.1,87,14,6.25,25.60
PORT HEDLAND AIRPORT,17/09/2009,7.2,0.0, ,32.6,13.0,92,17,4.26,25.71
PORT HEDLAND AIRPORT,18/09/2009,7.6,0.0, ,32.2,13.2,93,21,5.28,25.94
PORT HEDLAND AIRPORT,19/09/2009,5.9,0.0,62.0,30.8,13.4,99,30,3.45,25.75
PORT HEDLAND AIRPORT,20/09/2009,7.0,0.0,7.6,30.1,15.3,99,27,5.78,26.10
PORT HEDLAND AIRPORT,21/09/2009,7.5,0.0, ,32.8,14.0,99,19,4.85,26.06
PORT HEDLAND AIRPORT,22/09/2009,9.2,0.0, ,35.8,14.3,93,5,5.01,26.94
PORT HEDLAND AIRPORT,23/09/2009,9.2,0.0,30.6,35.4,13.3,95,5,5.11,27.41
PORT HEDLAND AIRPORT,24/09/2009,9.6,0.0,11.6,34.4,14.3,65,6,5.33,27.70
PORT HEDLAND AIRPORT,25/09/2009,8.7,0.0,10.8,37.6,11.5,71,5,3.59,27.33
PORT HEDLAND AIRPORT,26/09/2009,11.3,0.0, ,36.1,17.1,67,7,7.32,27.01
PORT HEDLAND AIRPORT,27/09/2009,10.6,0.0, ,36.3,16.4,19,6,5.43,27.30
PORT HEDLAND AIRPORT,28/09/2009,10.0,0.0, ,36.0,17.1,69,6,5.56,27.48
PORT HEDLAND AIRPORT,29/09/2009,9.2,0.0,53.4,34.7,15.0,76,14,5.65,26.98
PORT HEDLAND AIRPORT,30/09/2009,8.5,0.0,13.4,28.6,14.3,60,13,6.46,27.64
Totals:,,230.4,0,300,,,,,, 
