'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/12/2009,4.9,0.0, ,23.0,10.7,90,45,4.34,24.26
ROCKY GULLY,02/12/2009,5.2,0.0, ,21.4,7.5,88,33,3.83,28.12
ROCKY GULLY,03/12/2009,6.1,0.0, ,24.6,7.5,91,30,3.03,33.93
ROCKY GULLY,04/12/2009,7.4,0.0, ,28.9,8.4,89,26,3.86,34.14
ROCKY GULLY,05/12/2009,6.5,0.0, ,27.8,7.7,96,41,4.17,33.42
ROCKY GULLY,06/12/2009,3.6,0.0, ,20.6,10.8,94,63,4.38,19.41
ROCKY GULLY,07/12/2009,4.8,1.4, ,21.7,10.8,94,49,5.13,25.81
ROCKY GULLY,08/12/2009,5.4,0.0, ,22.0,5.1,91,36,3.28,31.75
ROCKY GULLY,09/12/2009,5.4,0.6, ,21.5,8.3,94,45,4.51,32.78
ROCKY GULLY,10/12/2009,5.8,0.0, ,22.2,9.2,83,34,3.48,32.29
ROCKY GULLY,11/12/2009,7.4,0.0, ,28.2,6.2,91,16,3.46,34.81
ROCKY GULLY,12/12/2009,9.1,0.0, ,34.3,9.5,93,11,3.86,34.72
ROCKY GULLY,13/12/2009,10.5,0.0, ,38.1,13.0,78,9,4.47,33.76
ROCKY GULLY,14/12/2009,6.6,0.0, ,28.4,11.5,92,41,3.72,32.81
ROCKY GULLY,15/12/2009,3.9,0.0, ,20.1,8.9,95,52,3.50,21.36
ROCKY GULLY,16/12/2009,3.5,0.0, ,19.0,8.3,91,48,3.63,16.40
ROCKY GULLY,17/12/2009,5.3,0.0, ,21.8,6.8,90,41,3.47,31.84
ROCKY GULLY,18/12/2009,7.3,0.0, ,28.3,7.7,92,24,3.88,34.02
ROCKY GULLY,19/12/2009,7.9,0.0, ,31.7,10.6,93,27,4.29,32.89
ROCKY GULLY,20/12/2009,4.3,0.0, ,22.3,14.7,88,62,4.58,22.57
ROCKY GULLY,21/12/2009,6.4,0.0, ,23.8,13.6,86,42,4.75,34.18
ROCKY GULLY,22/12/2009,6.9,0.0, ,27.6,7.4,93,32,3.93,34.20
ROCKY GULLY,23/12/2009,6.2,0.0, ,23.1,11.8,86,36,4.70,32.32
ROCKY GULLY,24/12/2009,6.7,0.0, ,26.7,5.9,91,22,2.85,35.12
ROCKY GULLY,25/12/2009,7.5,0.0, ,31.1,7.8,95,16,3.38,31.85
ROCKY GULLY,26/12/2009,6.7,0.0, ,28.0,10.8,96,37,3.97,33.13
ROCKY GULLY,27/12/2009,6.4,0.0, ,28.0,15.2,86,39,3.06,31.11
ROCKY GULLY,28/12/2009,9.3,0.0, ,35.1,11.7,93,13,4.12,34.13
ROCKY GULLY,29/12/2009,4.3,0.2, ,29.8,17.5,85,48,3.67,12.82
ROCKY GULLY,30/12/2009,4.5,1.4, ,20.9,12.3,92,50,5.79,22.35
ROCKY GULLY,31/12/2009,6.6,0.4, ,25.3,10.5,84,25,3.30,34.03
Totals:,,192.4,4, ,,,,,, 
