'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/07/2014,1.6,1.2, ,18.9,11.5,88,68,3.73,8.85
ROCKY GULLY,02/07/2014,1.5,9.0, ,14.3,13.4,91,63,4.49,4.59
ROCKY GULLY,03/07/2014,1.1,12.6, ,13.5,2.1,95,48,1.68,8.39
ROCKY GULLY,04/07/2014,1.3,0.0, ,15.5,2.8,93,61,2.92,9.14
ROCKY GULLY,05/07/2014,1.5,6.0, ,18.1,6.7,95,64,3.38,8.66
ROCKY GULLY,06/07/2014,1.2,16.4, ,13.9,11.3,92,74,4.22,3.70
ROCKY GULLY,07/07/2014,0.9,15.0, ,10.9,6.9,92,79,4.78,3.18
ROCKY GULLY,08/07/2014,1.1,30.6, ,11.8,5.0,93,69,3.50,9.53
ROCKY GULLY,09/07/2014,1.0,1.2, ,15.0,6.1,95,62,1.44,7.06
ROCKY GULLY,10/07/2014,1.2,0.0, ,15.0,7.6,92,66,2.56,9.21
ROCKY GULLY,11/07/2014,0.9,8.0, ,11.9,7.7,94,75,2.74,5.97
ROCKY GULLY,12/07/2014,1.0,1.4, ,12.7,5.0,94,73,2.87,8.74
ROCKY GULLY,13/07/2014,1.6,0.2, ,15.6,4.8,94,51,3.03,10.80
ROCKY GULLY,14/07/2014,1.6,12.8, ,13.5,7.9,91,56,4.29,8.10
ROCKY GULLY,15/07/2014,1.2,5.6, ,14.8,5.9,92,73,3.64,6.64
ROCKY GULLY,16/07/2014,1.2,7.4, ,13.5,7.4,92,66,2.44,8.33
ROCKY GULLY,17/07/2014,1.2,0.2, ,15.4,6.3,94,54,1.58,10.35
ROCKY GULLY,18/07/2014,1.5,0.2, ,15.7,3.2,93,55,2.68,11.38
ROCKY GULLY,19/07/2014,1.5,0.0, ,16.3,5.5,89,60,2.83,9.54
ROCKY GULLY,20/07/2014,1.4,0.0, ,17.5,6.9,94,57,1.68,10.89
ROCKY GULLY,21/07/2014,1.4,0.6, ,15.5,7.9,95,65,3.04,9.66
ROCKY GULLY,22/07/2014,1.0,8.8, ,11.1,7.5,94,78,2.88,7.25
ROCKY GULLY,23/07/2014,1.3,14.0, ,13.7,4.9,94,67,2.96,10.20
ROCKY GULLY,24/07/2014,1.5,2.4, ,16.1,7.1,93,55,2.26,10.83
ROCKY GULLY,25/07/2014,1.7,0.0, ,17.5,6.6,93,68,4.99,9.11
ROCKY GULLY,26/07/2014,1.4,18.2, ,13.3,12.7,92,66,4.23,5.02
ROCKY GULLY,27/07/2014,1.7,6.8, ,16.1,8.8,93,62,4.30,9.60
ROCKY GULLY,28/07/2014,1.8,0.6, ,16.9,10.1,90,64,4.15,9.25
ROCKY GULLY,29/07/2014,1.6,0.4, ,16.0,10.4,92,63,3.87,6.26
ROCKY GULLY,30/07/2014,2.1,0.0, ,17.4,11.2,89,55,4.59,9.41
ROCKY GULLY,31/07/2014,1.6,0.8, ,11.7,7.7,76,55,2.84,8.10
Totals:,,42.6,180.4, ,,,,,, 
