'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/05/2016,1.4,0.0, ,15.4,7.7,93,67,2.11,9.07
ROCKY GULLY,02/05/2016,1.6,0.0, ,19.0,10.9,93,66,3.08,6.98
ROCKY GULLY,03/05/2016,2.1,3.0, ,19.4,12.7,93,54,2.02,14.78
ROCKY GULLY,04/05/2016,1.9,0.2, ,19.3,11.7,92,60,3.26,8.42
ROCKY GULLY,05/05/2016,1.7,0.8, ,15.8,11.3,93,55,1.93,11.69
ROCKY GULLY,06/05/2016,1.7,0.2, ,16.8,7.7,91,55,2.44,10.15
ROCKY GULLY,07/05/2016,1.5,12.0, ,13.2,9.3,93,67,3.65,10.36
ROCKY GULLY,08/05/2016,1.2,4.6, ,12.7,7.6,90,64,2.48,5.57
ROCKY GULLY,09/05/2016,1.4,0.0, ,17.5,6.2,92,63,1.67,10.45
ROCKY GULLY,10/05/2016,1.5,0.8, ,18.1,5.6,94,62,1.88,11.17
ROCKY GULLY,11/05/2016,2.2,0.0, ,21.9,7.6,94,44,2.21,14.51
ROCKY GULLY,12/05/2016,2.1,0.0, ,21.5,7.4,92,46,2.12,14.45
ROCKY GULLY,13/05/2016,2.0,0.0, ,20.3,10.3,93,55,3.44,8.83
ROCKY GULLY,14/05/2016,1.9,11.0, ,19.2,14.3,93,55,2.67,10.95
ROCKY GULLY,15/05/2016,2.0,0.4, ,18.2,9.0,94,54,3.85,9.89
ROCKY GULLY,16/05/2016,1.8,0.4, ,18.0,6.9,92,49,2.40,10.88
ROCKY GULLY,17/05/2016,1.6,1.0, ,18.4,10.1,92,57,2.33,9.98
ROCKY GULLY,18/05/2016,1.1,0.2, ,17.1,7.7,95,68,1.60,7.02
ROCKY GULLY,19/05/2016,1.0,0.0, ,16.9,8.1,94,68,0.66,7.63
ROCKY GULLY,20/05/2016,1.9,0.0, ,20.0,7.6,94,52,2.93,10.52
ROCKY GULLY,21/05/2016,1.1,34.2, ,11.9,10.8,93,72,4.47,2.43
ROCKY GULLY,22/05/2016,1.1,13.8, ,14.6,5.0,93,76,2.95,6.17
ROCKY GULLY,23/05/2016,1.9,5.2, ,17.7,10.2,95,57,4.72,7.55
ROCKY GULLY,24/05/2016,1.6,10.0, ,15.1,11.0,91,61,4.02,8.16
ROCKY GULLY,25/05/2016,1.4,0.4, ,15.4,7.3,92,61,2.75,9.73
ROCKY GULLY,26/05/2016,1.5,7.0, ,15.7,8.9,93,53,2.66,10.07
ROCKY GULLY,27/05/2016,1.4,0.2, ,16.0,5.9,88,56,2.28,9.94
ROCKY GULLY,28/05/2016,1.3,5.2, ,15.7,9.2,92,66,2.81,9.31
ROCKY GULLY,29/05/2016,0.9,1.2, ,13.2,7.4,94,60,1.03,8.11
ROCKY GULLY,30/05/2016,1.2,0.2, ,15.0,2.9,93,54,1.61,10.72
ROCKY GULLY,31/05/2016,1.1,0.0, ,16.2,3.7,93,53,1.22,9.98
Totals:,,48.1,112, ,,,,,, 
