'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for May 2018,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 June 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/05/2018,1.8,0.4, ,16.9,8.8,92,47,2.32,8.99
ROCKY GULLY,02/05/2018,1.9,2.6, ,14.7,9.3,92,55,3.20,11.58
ROCKY GULLY,03/05/2018,1.7,1.4, ,16.8,6.8,92,48,1.77,11.36
ROCKY GULLY,04/05/2018,1.9,0.2, ,19.1,6.3,94,41,1.75,11.39
ROCKY GULLY,05/05/2018,2.8,0.0, ,23.9,5.4,94,16,2.04,11.99
ROCKY GULLY,06/05/2018,3.2,0.6, ,18.8,12.3,89,24,4.79,6.65
ROCKY GULLY,07/05/2018,1.5,0.8, ,19.2,4.6,94,45,0.81,13.14
ROCKY GULLY,08/05/2018,1.5,0.2, ,19.1,6.6,95,52,1.40,10.10
ROCKY GULLY,09/05/2018,1.3,0.0, ,18.9,6.2,94,60,1.23,6.85
ROCKY GULLY,10/05/2018,2.2,0.2, ,20.4,8.5,90,44,2.57,12.82
ROCKY GULLY,11/05/2018,2.7,0.0, ,23.8,10.0,81,36,2.66,12.70
ROCKY GULLY,12/05/2018,3.4,0.0, ,28.2,12.0,66,23,2.52,12.08
ROCKY GULLY,13/05/2018,1.9,0.0, ,21.9,15.0,91,54,2.08,10.09
ROCKY GULLY,14/05/2018,1.6,0.0, ,18.7,13.0,92,60,2.41,7.36
ROCKY GULLY,15/05/2018,1.9,0.0, ,21.1,7.0,90,48,2.08,11.12
ROCKY GULLY,16/05/2018,2.2,0.0, ,23.4,8.4,90,28,1.72,11.87
ROCKY GULLY,17/05/2018,2.1,0.0, ,23.6,6.5,93,27,1.57,12.16
ROCKY GULLY,18/05/2018,2.0,0.2, ,22.8,9.5,92,34,1.61,12.07
ROCKY GULLY,19/05/2018,2.1,0.0, ,21.9,7.6,92,30,1.86,11.98
ROCKY GULLY,20/05/2018,1.9,0.2, ,23.0,5.7,88,25,1.37,11.89
ROCKY GULLY,21/05/2018,2.3,0.0, ,23.3,7.7,83,29,2.07,11.80
ROCKY GULLY,22/05/2018,2.2,0.0, ,24.5,7.6,72,21,1.63,11.72
ROCKY GULLY,23/05/2018,2.6,0.0, ,25.0,8.4,58,15,1.90,11.00
ROCKY GULLY,24/05/2018,4.2,0.0, ,24.4,11.6,78,19,4.83,8.92
ROCKY GULLY,25/05/2018,1.5,7.2, ,14.5,11.6,91,70,5.29,6.02
ROCKY GULLY,26/05/2018,1.3,14.6, ,16.1,10.4,92,76,3.49,8.59
ROCKY GULLY,27/05/2018,1.5,2.8, ,16.0,11.2,91,64,4.09,5.70
ROCKY GULLY,28/05/2018,1.4,2.0, ,15.0,7.1,91,49,1.98,8.30
ROCKY GULLY,29/05/2018,1.2,0.2, ,17.0,3.3,93,64,2.17,8.35
ROCKY GULLY,30/05/2018,2.2,0.2, ,19.4,8.6,88,33,2.84,10.96
ROCKY GULLY,31/05/2018, ,0.0, , ,9.8, , , ,5.70
Totals:,,62,33.8, ,,,,,, 
