'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/01/2020,6.4,0.0, ,30.8,13.3,86,25,2.02,29.86
ROCKY GULLY,02/01/2020,2.7,0.0, ,20.4,10.8,91,62,1.87,13.42
ROCKY GULLY,03/01/2020,3.9,3.2, ,17.7,8.5,93,34,2.55,22.12
ROCKY GULLY,04/01/2020,5.0,2.4, ,23.1,3.2,91,25,1.97,28.77
ROCKY GULLY,05/01/2020,7.7,0.2, ,32.7,10.8,81,14,3.00,31.44
ROCKY GULLY,06/01/2020,6.1,0.0, ,30.9,11.7,84,25,2.00,28.31
ROCKY GULLY,07/01/2020,6.5,0.0, ,33.3,11.6,92,17,2.00,28.07
ROCKY GULLY,08/01/2020,5.9,0.0, ,26.9,11.3,91,34,2.27,30.83
ROCKY GULLY,09/01/2020,5.1,0.0, ,23.8,12.3,85,34,2.58,25.39
ROCKY GULLY,10/01/2020,6.2,0.0, ,26.2,10.6,76,27,2.85,30.34
ROCKY GULLY,11/01/2020,7.6,0.0, ,33.3,10.0,84,8,2.67,31.11
ROCKY GULLY,12/01/2020,6.2,0.0, ,28.2,11.9,86,36,2.80,30.65
ROCKY GULLY,13/01/2020,6.1,0.0, ,27.2,10.4,78,29,2.79,29.53
ROCKY GULLY,14/01/2020,4.2,0.0, ,23.7,10.0,91,49,2.95,20.70
ROCKY GULLY,15/01/2020,5.4,0.0, ,24.9,11.5,79,39,3.27,26.33
ROCKY GULLY,16/01/2020,4.8,0.0, ,29.3,15.0,82,34,2.54,17.82
ROCKY GULLY,17/01/2020,1.5,0.0, ,19.9,16.9,92,81,2.70,4.70
ROCKY GULLY,18/01/2020,4.1,1.6, ,23.0,10.5,91,37,2.40,19.38
ROCKY GULLY,19/01/2020,6.2,0.0, ,28.2,10.4,83,21,2.51,29.55
ROCKY GULLY,20/01/2020,6.3,0.0, ,29.5,11.1,92,23,2.44,29.55
ROCKY GULLY,21/01/2020,4.0,1.8, ,21.7,14.9,91,43,3.16,18.44
ROCKY GULLY,22/01/2020,3.8,0.6, ,23.0,11.3,93,47,3.24,16.49
ROCKY GULLY,23/01/2020,4.3,2.8, ,24.4,13.7,94,52,2.28,22.48
ROCKY GULLY,24/01/2020,4.9,0.2, ,27.8,12.1,87,44,1.90,24.32
ROCKY GULLY,25/01/2020,5.8,0.0, ,30.9,12.5,92,38,1.99,28.12
ROCKY GULLY,26/01/2020,5.8,0.2, ,32.1,12.3,94,24,1.77,26.16
ROCKY GULLY,27/01/2020,7.3,0.2, ,37.5,12.6,92,17,2.09,29.74
ROCKY GULLY,28/01/2020,7.0,0.0, ,37.8,12.2,91,15,1.81,29.43
ROCKY GULLY,29/01/2020,6.4,0.0, ,32.5,14.3,91,23,2.03,28.83
ROCKY GULLY,30/01/2020,2.5,8.4, ,18.7,12.5,94,67,2.57,13.02
ROCKY GULLY,31/01/2020,2.7,5.4, ,19.1,6.5,94,47,1.58,13.66
Totals:,,162.4,27, ,,,,,, 
