'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROCKY GULLY Western Australia for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROCKY GULLY,01/11/2020,1.7,7.8, ,15.8,12.5,93,82,1.09,8.75
ROCKY GULLY,02/11/2020,1.9,6.8, ,15.8,10.9,95,91,1.75,12.51
ROCKY GULLY,03/11/2020,3.0,9.0, ,17.8,10.8,94,52,2.05,16.41
ROCKY GULLY,04/11/2020,2.6,0.6, ,16.1,8.4,93,57,2.12,14.56
ROCKY GULLY,05/11/2020,4.6,0.0, ,22.4,6.4,90,38,2.44,26.14
ROCKY GULLY,06/11/2020,3.8,0.0, ,21.2,9.5,89,54,2.93,21.21
ROCKY GULLY,07/11/2020,5.0,0.0, ,25.5,10.1,89,32,1.91,26.84
ROCKY GULLY,08/11/2020,4.9,0.0, ,25.6,11.1,92,39,2.04,25.89
ROCKY GULLY,09/11/2020,1.5,2.0, ,16.6,11.0,93,87,2.59,7.28
ROCKY GULLY,10/11/2020,2.3,37.2, ,13.9,7.3,93,62,3.53,13.29
ROCKY GULLY,11/11/2020,2.3,0.0, ,15.0,8.2,91,63,1.33,13.31
ROCKY GULLY,12/11/2020,3.4,0.2, ,20.6,6.6,95,49,2.45,17.98
ROCKY GULLY,13/11/2020,3.5,3.8, ,19.7,9.7,93,46,1.83,19.72
ROCKY GULLY,14/11/2020,3.3,1.4, ,20.2,9.2,94,50,2.56,17.18
ROCKY GULLY,15/11/2020,3.9,5.6, ,18.5,7.1,93,41,2.99,22.59
ROCKY GULLY,16/11/2020,4.7,0.4, ,22.7,7.8,92,41,2.69,26.19
ROCKY GULLY,17/11/2020,4.0,0.0, ,23.3,11.9,88,45,2.81,18.15
ROCKY GULLY,18/11/2020,3.9,0.0, ,22.3,12.1,92,57,2.12,21.48
ROCKY GULLY,19/11/2020,4.8,0.0, ,25.3,8.2,94,33,1.45,27.18
ROCKY GULLY,20/11/2020,4.3,0.0, ,23.7,11.9,91,53,1.93,24.10
ROCKY GULLY,21/11/2020,3.8,0.0, ,21.2,7.9,94,52,1.64,22.53
ROCKY GULLY,22/11/2020,5.2,0.0, ,25.7,6.4,93,28,1.51,30.41
ROCKY GULLY,23/11/2020,6.8,0.0, ,31.9,10.3,85,13,2.18,30.67
ROCKY GULLY,24/11/2020,6.7,0.0, ,31.0,11.6,92,24,2.66,30.64
ROCKY GULLY,25/11/2020,4.0,0.2, ,21.2,8.3,92,40,2.17,21.59
ROCKY GULLY,26/11/2020,5.7,0.2, ,26.5,8.4,82,34,2.61,29.24
ROCKY GULLY,27/11/2020, ,0.0, , ,8.9,92,61,1.51,13.33
ROCKY GULLY,28/11/2020,4.2, , ,20.2,5.7,95,41,1.49,27.22
ROCKY GULLY,29/11/2020,2.9,0.2, ,19.3,6.4,91,50,1.92,14.54
ROCKY GULLY,30/11/2020, ,8.2, , ,7.8,91,52,2.90,20.85
Totals:,,108.7,83.6, ,,,,,, 
