'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/10/2009,8.5,0.0, ,30.0,10.6,53,11,5.29,28.29
ROEBOURNE AERO,02/10/2009,7.9,0.0, ,30.8,12.1,72,16,4.80,28.41
ROEBOURNE AERO,03/10/2009,8.5,0.0, ,33.9,11.9,69,11,4.32,28.48
ROEBOURNE AERO,04/10/2009,8.9,0.0, ,35.5,12.5,64,8,4.12,28.82
ROEBOURNE AERO,05/10/2009,8.5,0.0, ,36.0,12.1,58,8,3.62,28.45
ROEBOURNE AERO,06/10/2009,9.1,0.0, ,34.9,17.9,93,12,5.56,27.95
ROEBOURNE AERO,07/10/2009,9.1,0.0, ,35.9,17.6,81,16,5.18,27.99
ROEBOURNE AERO,08/10/2009,8.8,0.0, ,35.3,17.5,88,16,5.16,27.80
ROEBOURNE AERO,09/10/2009,9.0,0.0, ,36.3,20.4,68,25,5.14,27.86
ROEBOURNE AERO,10/10/2009,10.6,0.0, ,38.1,20.7,54,16,5.79,28.48
ROEBOURNE AERO,11/10/2009,9.2,0.0, ,36.0,19.5,64,21,5.08,28.76
ROEBOURNE AERO,12/10/2009,9.1,0.0, ,36.2,18.6,65,15,4.49,28.77
ROEBOURNE AERO,13/10/2009,10.1,0.0, ,36.6,15.7,53,9,5.03,29.21
ROEBOURNE AERO,14/10/2009,8.7,0.0, ,36.6,14.6,68,11,3.82,28.86
ROEBOURNE AERO,15/10/2009,9.8,0.0, ,39.4,19.7,52,8,4.03,29.05
ROEBOURNE AERO,16/10/2009,10.0,0.0, ,39.5,16.8,53,7,4.17,29.25
ROEBOURNE AERO,17/10/2009,12.2,0.0, ,40.0,21.3,42,8,6.17,29.30
ROEBOURNE AERO,18/10/2009,10.5,0.0, ,41.1,17.0,65,5,4.23,29.77
ROEBOURNE AERO,19/10/2009,7.5,0.0, ,35.5,20.3,80,30,3.89,26.07
ROEBOURNE AERO,20/10/2009,9.5,0.0, ,38.4,18.7,90,19,4.94,29.40
ROEBOURNE AERO,21/10/2009,9.5,0.0, ,39.0,21.8,93,21,4.94,29.40
ROEBOURNE AERO,22/10/2009, ,0.0, , ,20.4,94,15,5.29,29.50
ROEBOURNE AERO,23/10/2009, ,0.0, ,39.5, ,76,9,5.72,29.81
ROEBOURNE AERO,24/10/2009,8.3,0.0, ,38.1,22.8,69,13,3.73,23.36
ROEBOURNE AERO,25/10/2009,12.1,0.0, ,42.6,24.2,64,10,5.86,28.48
ROEBOURNE AERO,26/10/2009,11.7,0.0, ,44.3,27.7,48,11,5.13,26.44
ROEBOURNE AERO,27/10/2009,12.1,0.0, ,42.8,26.0,55,14,5.68,29.81
ROEBOURNE AERO,28/10/2009,12.7,0.0, ,43.6,27.3,46,11,5.75,29.70
ROEBOURNE AERO,29/10/2009,12.3,0.0, ,43.3,26.3,35,12,5.39,29.58
ROEBOURNE AERO,30/10/2009,11.3,0.0, ,44.0,29.8,70,9,4.63,29.88
ROEBOURNE AERO,31/10/2009,9.1,0.0, ,41.4,22.8,84,24,3.57,29.81
Totals:,,284.6,0, ,,,,,, 
