'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/08/2012,4.5,0.0, ,28.0,6.4,78,13,2.59,18.38
ROEBOURNE AERO,02/08/2012,5.3,0.0, ,31.3,8.6,68,13,2.96,18.60
ROEBOURNE AERO,03/08/2012,5.3,0.0, ,29.7,11.3,87,24,4.02,18.66
ROEBOURNE AERO,04/08/2012,5.8,0.0, ,32.9,11.2,76,13,3.27,18.75
ROEBOURNE AERO,05/08/2012,5.4,0.0, ,32.3,9.9,85,15,3.02,18.84
ROEBOURNE AERO,06/08/2012,5.4,0.0, ,32.3,9.9,75,12,2.80,18.90
ROEBOURNE AERO,07/08/2012,5.2,0.0, ,31.1,9.1,80,14,2.87,19.04
ROEBOURNE AERO,08/08/2012,5.5,0.0, ,31.2,11.4,86,20,3.52,19.21
ROEBOURNE AERO,09/08/2012,5.1,0.0, ,30.3,11.8,98,23,3.35,19.40
ROEBOURNE AERO,10/08/2012,5.9,0.0, ,34.2,10.2,77,13,2.98,19.44
ROEBOURNE AERO,11/08/2012,6.4,0.0, ,30.5,11.4,69,14,4.35,19.49
ROEBOURNE AERO,12/08/2012,5.6,0.0, ,29.3,10.5,86,16,3.80,19.66
ROEBOURNE AERO,13/08/2012,4.7,0.0, ,30.2,9.6,87,22,2.52,19.79
ROEBOURNE AERO,14/08/2012,4.7,0.0, ,30.8,9.7,96,16,2.30,20.02
ROEBOURNE AERO,15/08/2012,5.3,0.2, ,32.8,13.0,99,12,2.65,20.13
ROEBOURNE AERO,16/08/2012,5.2,0.2, ,32.8,10.6,97,19,2.64,20.33
ROEBOURNE AERO,17/08/2012,5.7,0.0, ,32.2,11.1,82,15,3.12,20.49
ROEBOURNE AERO,18/08/2012,6.1,0.0, ,32.7,10.7,60,14,3.22,20.43
ROEBOURNE AERO,19/08/2012,5.6,0.0, ,29.7,11.7,84,18,3.55,20.51
ROEBOURNE AERO,20/08/2012,7.0,0.0, ,35.9,11.1,86,12,3.63,20.80
ROEBOURNE AERO,21/08/2012,8.1,0.0, ,35.9,11.7,76,9,4.58,21.02
ROEBOURNE AERO,22/08/2012,7.0,0.0, ,31.6,18.4,69,24,5.31,20.97
ROEBOURNE AERO,23/08/2012,7.0,0.0, ,30.8,13.7,72,18,5.20,21.08
ROEBOURNE AERO,24/08/2012,5.5,0.0, ,29.1,11.0,83,19,3.50,21.29
ROEBOURNE AERO,25/08/2012,5.9,0.2, ,32.3,14.7,93,16,3.35,21.41
ROEBOURNE AERO,26/08/2012,5.6,0.0, ,33.3,10.8,85,16,2.55,21.72
ROEBOURNE AERO,27/08/2012,7.4,0.0, ,35.0,17.4,84,20,4.77,21.74
ROEBOURNE AERO,28/08/2012,6.7,0.0, ,33.4,17.2,89,28,4.87,21.89
ROEBOURNE AERO,29/08/2012,6.5,0.0, ,33.8,14.0,83,23,3.81,21.96
ROEBOURNE AERO,30/08/2012,6.7,0.0, ,31.8,12.9,93,19,4.66,22.05
ROEBOURNE AERO,31/08/2012,6.7,0.2, ,31.3,12.1,96,15,4.52,22.37
Totals:,,182.8,0.8, ,,,,,, 
