'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/05/2016,5.1,0.0, ,33.9,20.4,81,38,2.86,19.73
ROEBOURNE AERO,02/05/2016,4.8,0.0, ,34.1,21.9,86,45,3.16,17.55
ROEBOURNE AERO,03/05/2016,6.0,0.0, ,35.7,20.8,89,19,3.51,18.30
ROEBOURNE AERO,04/05/2016,5.6,0.0, ,35.8,21.9,74,30,3.41,15.74
ROEBOURNE AERO,05/05/2016,3.6,0.0, ,31.8,26.0,84,51,3.96,7.11
ROEBOURNE AERO,06/05/2016,1.7,0.0, ,26.7,23.6,97,69,2.43,5.01
ROEBOURNE AERO,07/05/2016,4.7,4.6, ,32.4,22.1,100,26,3.28,15.39
ROEBOURNE AERO,08/05/2016,5.4,0.2, ,30.7,16.9,74,26,3.64,19.47
ROEBOURNE AERO,09/05/2016,6.5,0.0, ,29.9,13.6,79,19,5.47,19.32
ROEBOURNE AERO,10/05/2016,8.0,0.0, ,29.8,17.3,52,19,7.25,19.24
ROEBOURNE AERO,11/05/2016,7.2,0.0, ,30.2,14.5,60,23,6.53,18.02
ROEBOURNE AERO,12/05/2016,6.6,0.0, ,30.8,16.7,71,21,5.38,18.55
ROEBOURNE AERO,13/05/2016,4.7,0.0, ,30.4,16.0,77,21,3.90,6.49
ROEBOURNE AERO,14/05/2016,6.2,0.0, ,34.7,20.2,54,13,3.40,18.80
ROEBOURNE AERO,15/05/2016,5.5,0.0, ,35.0,16.5,60,16,2.81,18.77
ROEBOURNE AERO,16/05/2016,5.7,0.0, ,35.3,16.2,67,18,3.04,18.18
ROEBOURNE AERO,17/05/2016,5.5,0.0, ,37.0,16.8,68,12,2.55,17.95
ROEBOURNE AERO,18/05/2016,5.5,0.0, ,37.2,19.5,70,13,2.63,17.59
ROEBOURNE AERO,19/05/2016, ,0.0, , ,18.9,72,14,2.91,13.76
ROEBOURNE AERO,20/05/2016, , , ,32.0, ,88,44,2.59,17.83
ROEBOURNE AERO,21/05/2016,5.4,0.0, ,32.3,15.6,94,31,4.44,17.78
ROEBOURNE AERO,22/05/2016,4.9,0.0, ,32.1,17.8,81,24,3.15,16.27
ROEBOURNE AERO,23/05/2016,5.5,0.0, ,31.4,16.3,78,26,4.18,17.62
ROEBOURNE AERO,24/05/2016,4.1,0.0, ,31.5,17.6,82,37,2.50,17.03
ROEBOURNE AERO,25/05/2016,4.9,0.0, ,32.1,16.5,91,33,3.65,17.54
ROEBOURNE AERO,26/05/2016,5.3,0.0, ,34.3,20.0,91,37,4.16,17.49
ROEBOURNE AERO,27/05/2016,5.3,0.0, ,33.2,20.6,90,34,4.33,17.42
ROEBOURNE AERO,28/05/2016,4.2,0.0, ,32.4,18.2,96,36,2.62,17.35
ROEBOURNE AERO,29/05/2016,5.4,0.0, ,33.2,15.9,75,20,3.40,17.31
ROEBOURNE AERO,30/05/2016,5.0,0.0, ,33.1,15.3,86,19,3.24,13.95
ROEBOURNE AERO,31/05/2016,5.4,0.0, ,31.5,15.0,70,16,3.54,17.14
Totals:,,153.7,4.8, ,,,,,, 
