'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for September 2018,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 October 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/09/2018,6.5,0.0, ,31.5,10.9,75,13,3.74,22.11
ROEBOURNE AERO,02/09/2018,6.2,0.0, ,32.7,11.2,83,12,3.15,22.22
ROEBOURNE AERO,03/09/2018,7.6,0.0, ,34.3,13.3,66,13,4.23,22.35
ROEBOURNE AERO,04/09/2018,8.7,0.0, ,35.6,13.3,69,9,5.08,22.43
ROEBOURNE AERO,05/09/2018,7.6,0.0, ,32.6,13.6,58,13,4.54,22.53
ROEBOURNE AERO,06/09/2018,7.3,0.0, ,31.5,11.6,44,13,4.18,22.68
ROEBOURNE AERO,07/09/2018,6.9,0.0, ,32.0,10.4,67,14,3.94,22.79
ROEBOURNE AERO,08/09/2018,6.4,0.0, ,32.4,12.5,77,17,3.42,22.96
ROEBOURNE AERO,09/09/2018,8.2,0.0, ,33.9,14.3,46,8,4.47,23.03
ROEBOURNE AERO,10/09/2018,9.0,0.0, ,37.6,16.7,54,18,4.98,23.14
ROEBOURNE AERO,11/09/2018,7.0,0.0, ,34.6,15.7,75,23,3.88,23.26
ROEBOURNE AERO,12/09/2018,8.6,0.0, ,34.9,16.1,76,15,5.58,23.34
ROEBOURNE AERO,13/09/2018,7.6,0.0, ,34.5,14.2,54,13,3.86,23.55
ROEBOURNE AERO,14/09/2018,8.2,0.0, ,36.9,15.4,55,10,3.92,23.66
ROEBOURNE AERO,15/09/2018,8.6,0.0, ,34.2,13.7,63,11,5.02,23.74
ROEBOURNE AERO,16/09/2018,7.8,0.0, ,33.9,14.8,46,11,3.94,23.89
ROEBOURNE AERO,17/09/2018,10.1,0.0, ,38.5,19.5,40,12,5.27,24.12
ROEBOURNE AERO,18/09/2018,8.1,0.0, ,34.5,17.5,46,11,4.14,24.29
ROEBOURNE AERO,19/09/2018,8.3,0.0, ,30.7,16.9,51,12,6.15,17.72
ROEBOURNE AERO,20/09/2018,8.5,0.0, ,34.1,15.6,62,10,4.80,24.37
ROEBOURNE AERO,21/09/2018,8.5,0.0, ,32.5,14.2,65,8,5.18,24.38
ROEBOURNE AERO,22/09/2018,7.3,0.0, ,35.1,11.5,67,10,3.24,24.59
ROEBOURNE AERO,23/09/2018,8.5,0.0, ,37.2,17.3,52,10,3.92,24.78
ROEBOURNE AERO,24/09/2018,8.8,0.0, ,39.3,16.1,51,9,3.70,24.91
ROEBOURNE AERO,25/09/2018, ,0.0, , ,16.9,52,8,3.83,25.03
ROEBOURNE AERO,26/09/2018, , , ,40.9, ,35,8,4.27,25.11
ROEBOURNE AERO,27/09/2018,10.0,0.0, ,38.4,22.0,76,10,5.62,25.25
ROEBOURNE AERO,28/09/2018,8.2,0.0, ,34.0,17.4,94,16,5.34,25.44
ROEBOURNE AERO,29/09/2018,7.5,0.0, ,32.5,16.6,88,28,5.56,25.43
ROEBOURNE AERO,30/09/2018,9.1,0.0, ,33.4,18.8,66,21,6.53,25.62
Totals:,,225.1,0, ,,,,,, 
