'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/10/2018,7.5,0.0, ,34.5,18.4,78,22,4.32,23.25
ROEBOURNE AERO,02/10/2018,8.2,0.0, ,35.0,18.9,66,26,4.79,26.15
ROEBOURNE AERO,03/10/2018,10.5,0.0, ,39.0,21.2,61,16,5.84,26.26
ROEBOURNE AERO,04/10/2018,9.9,0.0, ,38.8,23.1,60,16,5.27,25.05
ROEBOURNE AERO,05/10/2018,10.4,0.0, ,38.1,19.9,46,15,5.54,26.48
ROEBOURNE AERO,06/10/2018,10.4,0.0, ,37.4,19.3,49,15,5.78,26.56
ROEBOURNE AERO,07/10/2018,10.7,0.0, ,38.5,22.8,42,13,5.56,26.60
ROEBOURNE AERO,08/10/2018,9.7,0.0, ,38.5,19.7,62,14,4.84,26.70
ROEBOURNE AERO,09/10/2018,10.8,0.0, ,40.1,21.6,59,13,5.52,26.82
ROEBOURNE AERO,10/10/2018,11.6,0.0, ,39.9,20.8,65,13,6.69,26.18
ROEBOURNE AERO,11/10/2018,10.1,0.0, ,37.1,20.1,72,17,6.10,27.07
ROEBOURNE AERO,12/10/2018,10.0,0.0, ,38.0,19.2,83,18,5.96,27.17
ROEBOURNE AERO,13/10/2018,9.4,0.0, ,35.1,20.2,81,24,6.77,27.30
ROEBOURNE AERO,14/10/2018,10.3,0.0, ,35.5,21.6,78,17,7.32,27.34
ROEBOURNE AERO,15/10/2018,8.9,0.0, ,34.9,16.3,79,16,5.16,27.44
ROEBOURNE AERO,16/10/2018,9.4,0.0, ,36.2,15.8,73,15,5.10,27.54
ROEBOURNE AERO,17/10/2018,8.6,0.0, ,36.7,15.7,77,11,3.82,27.69
ROEBOURNE AERO,18/10/2018,10.1,0.0, ,35.6,20.8,82,18,7.15,27.70
ROEBOURNE AERO,19/10/2018,9.5,0.0, ,35.6,20.8,68,17,5.47,27.78
ROEBOURNE AERO,20/10/2018,8.5,0.0, ,34.1,16.8,80,20,5.08,27.88
ROEBOURNE AERO,21/10/2018,10.5,0.0, ,40.7,15.3,79,9,4.74,28.00
ROEBOURNE AERO,22/10/2018,10.8,0.0, ,40.8,19.1,73,8,5.04,28.10
ROEBOURNE AERO,23/10/2018,11.5,0.0, ,40.1,17.8,36,8,5.36,28.15
ROEBOURNE AERO,24/10/2018,11.8,0.0, ,37.3,20.2,66,12,7.58,28.26
ROEBOURNE AERO,25/10/2018,10.7,0.0, ,33.2,19.6,72,13,8.25,28.32
ROEBOURNE AERO,26/10/2018,9.7,0.0, ,34.3,17.9,78,20,6.86,28.39
ROEBOURNE AERO,27/10/2018,10.1,0.0, ,37.6,20.4,83,16,5.89,28.48
ROEBOURNE AERO,28/10/2018,9.0,0.0, ,38.3,22.3,83,22,4.47,28.55
ROEBOURNE AERO,29/10/2018,7.6,0.0, ,34.8,21.3,92,38,4.53,28.66
ROEBOURNE AERO,30/10/2018,9.1,0.0, ,37.9,19.3,87,25,4.87,28.67
ROEBOURNE AERO,31/10/2018,11.3,0.0, ,39.9,22.7,88,14,6.72,28.55
Totals:,,306.6,0, ,,,,,, 
