'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROEBOURNE AERO Western Australia for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROEBOURNE AERO,01/07/2021,5.1,0.0, ,29.6,16.7,83,23,4.22,16.95
ROEBOURNE AERO,02/07/2021,5.4,0.0, ,29.8,14.1,83,20,4.38,16.91
ROEBOURNE AERO,03/07/2021,5.6,0.0, ,27.3,16.9,83,22,5.77,16.97
ROEBOURNE AERO,04/07/2021,4.7,0.0, ,26.2,11.1,99,21,4.57,17.00
ROEBOURNE AERO,05/07/2021,4.1,0.0, ,26.8,9.7,100,18,3.02,17.05
ROEBOURNE AERO,06/07/2021,3.9,0.0, ,26.8,10.2,93,17,2.61,17.06
ROEBOURNE AERO,07/07/2021,4.5,0.0, ,29.4,9.6,85,23,3.11,16.94
ROEBOURNE AERO,08/07/2021,4.0,0.0, ,27.6,10.7,87,23,2.81,17.12
ROEBOURNE AERO,09/07/2021,4.3,0.0, ,26.9,9.4,97,23,3.48,17.16
ROEBOURNE AERO,10/07/2021,3.4,0.0, ,27.7,12.3,91,40,2.55,15.17
ROEBOURNE AERO,11/07/2021,3.9,0.0, ,28.8,12.5,96,32,2.76,17.15
ROEBOURNE AERO,12/07/2021,3.3,0.0, ,29.4,13.9,100,53,2.71,16.14
ROEBOURNE AERO,13/07/2021,3.8,0.0, ,31.2,17.4,100,53,3.71,15.93
ROEBOURNE AERO,14/07/2021,4.2,0.0, ,28.5,20.6,84,45,4.27,14.61
ROEBOURNE AERO,15/07/2021,5.2,0.0, ,27.7,15.1,80,21,4.48,17.52
ROEBOURNE AERO,16/07/2021,6.6,0.0, ,26.9,15.4,45,14,5.62,17.52
ROEBOURNE AERO,17/07/2021,5.8,0.0, ,27.4,10.1,64,10,4.46,17.55
ROEBOURNE AERO,18/07/2021,4.7,0.0, ,28.1,9.4,75,14,3.14,17.61
ROEBOURNE AERO,19/07/2021,5.0,0.0, ,29.8,10.5,74,15,3.26,17.68
ROEBOURNE AERO,20/07/2021,4.2,0.0, ,31.6,10.1,98,19,2.17,17.69
ROEBOURNE AERO,21/07/2021,5.1,0.0, ,32.5,15.9,100,31,4.01,17.86
ROEBOURNE AERO,22/07/2021,5.4,0.0, ,32.2,18.0,100,22,4.08,17.97
ROEBOURNE AERO,23/07/2021,6.1,0.0, ,32.7,14.1,74,7,3.66,18.01
ROEBOURNE AERO,24/07/2021,5.7,0.0, ,29.3,16.7,71,23,4.61,17.99
ROEBOURNE AERO,25/07/2021,4.4,0.0, ,28.2,12.5,83,23,2.93,18.00
ROEBOURNE AERO,26/07/2021,4.5,0.0, ,29.8,12.1,90,19,2.79,18.18
ROEBOURNE AERO,27/07/2021,5.2,0.0, ,30.9,15.4,95,38,4.95,18.25
ROEBOURNE AERO,28/07/2021,4.8,0.0, ,29.9,16.9,98,39,4.59,17.69
ROEBOURNE AERO,29/07/2021,4.7,0.0, ,29.1,14.5,92,41,4.63,18.36
ROEBOURNE AERO,30/07/2021,4.5,0.0, ,28.9,17.5,99,45,5.00,17.97
ROEBOURNE AERO,31/07/2021,5.0,0.0, ,28.3,17.8,89,33,4.65,17.95
Totals:,,147.1,0, ,,,,,, 
