'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/10/2009, ,0.0, ,17.3,10.4,75,51,5.25, 
ROTTNEST ISLAND,02/10/2009, ,0.0, ,19.2,12.6,84,56,4.83, 
ROTTNEST ISLAND,03/10/2009, ,1.8, ,17.1,13.2,90,55,6.98, 
ROTTNEST ISLAND,04/10/2009, ,0.0, ,17.3,11.9,73,60,8.40, 
ROTTNEST ISLAND,05/10/2009, ,0.0, ,19.0,12.2,78,56,8.49, 
ROTTNEST ISLAND,06/10/2009, ,0.0, ,18.5,12.3,84,68,7.54, 
ROTTNEST ISLAND,07/10/2009, ,0.0, ,20.2,14.1,80,64,8.53, 
ROTTNEST ISLAND,08/10/2009, ,0.0, ,18.7,14.4,81,66,6.51, 
ROTTNEST ISLAND,09/10/2009, ,0.0, ,20.1,14.2,91,65,6.26, 
ROTTNEST ISLAND,10/10/2009, ,0.0, ,19.3,14.7,88,53,7.83, 
ROTTNEST ISLAND,11/10/2009, ,2.6, ,16.4,10.7,88,45,9.70, 
ROTTNEST ISLAND,12/10/2009, ,7.2, ,17.5,11.9,73,58,7.77, 
ROTTNEST ISLAND,13/10/2009, ,0.0, ,17.4,13.0,85,59,7.84, 
ROTTNEST ISLAND,14/10/2009, ,0.0, ,17.7,12.8,81,62,9.46, 
ROTTNEST ISLAND,15/10/2009, ,0.0, ,21.8,13.5,81,51,8.22, 
ROTTNEST ISLAND,16/10/2009, ,0.0, ,27.3,14.4,68,34,6.40, 
ROTTNEST ISLAND,17/10/2009, ,0.0, ,35.2,19.2,75,17,5.90, 
ROTTNEST ISLAND,18/10/2009, ,0.0, ,22.3,18.4,91,66,6.22, 
ROTTNEST ISLAND,19/10/2009, ,0.0, ,19.8,15.8,82,53,9.01, 
ROTTNEST ISLAND,20/10/2009, ,0.0, ,18.7,13.3,75,51,10.52, 
ROTTNEST ISLAND,21/10/2009, ,0.0, ,20.0,12.8,79,47,8.58, 
ROTTNEST ISLAND,22/10/2009, ,0.0, ,19.8,14.6,80,68,8.70, 
ROTTNEST ISLAND,23/10/2009, ,0.0, ,21.0,14.7,78,60,8.50, 
ROTTNEST ISLAND,24/10/2009, ,0.0, ,20.6,14.3,68,53,8.93, 
ROTTNEST ISLAND,25/10/2009, ,0.0, ,29.7,16.3,77,34,7.60, 
ROTTNEST ISLAND,26/10/2009, ,0.0, ,21.5,18.6,91,71,5.26, 
ROTTNEST ISLAND,27/10/2009, ,1.0, ,23.9,17.0,92,70,4.88, 
ROTTNEST ISLAND,28/10/2009, ,0.4, ,20.5,16.5,88,51,11.28, 
ROTTNEST ISLAND,29/10/2009, ,0.6, ,18.9,14.0,76,53,7.78, 
ROTTNEST ISLAND,30/10/2009, ,0.0, ,19.3,12.8,80,66,10.20, 
ROTTNEST ISLAND,31/10/2009, ,0.0, ,19.5,15.0,74,58,13.84, 
Totals:,, ,13.6, ,,,,,, 
