'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/12/2009, ,0.0, ,22.9,16.6,79,54,7.49, 
ROTTNEST ISLAND,02/12/2009, ,0.0, ,20.8,15.7,72,48,10.96, 
ROTTNEST ISLAND,03/12/2009, ,0.0, ,22.8,15.3,78,49,9.96, 
ROTTNEST ISLAND,04/12/2009, ,0.0, ,25.4,16.6,85,45,8.46, 
ROTTNEST ISLAND,05/12/2009, ,0.0, ,28.2,20.0,86,43,6.75, 
ROTTNEST ISLAND,06/12/2009, ,0.0, ,23.2,19.7,88,62,10.65, 
ROTTNEST ISLAND,07/12/2009, ,0.0, ,24.2,17.8,75,45,9.50, 
ROTTNEST ISLAND,08/12/2009, ,0.0, ,21.0,14.0,70,49,9.98, 
ROTTNEST ISLAND,09/12/2009, ,0.0, ,21.7,15.8,75,56,11.96, 
ROTTNEST ISLAND,10/12/2009, ,0.0, ,22.1,14.2,84,45,8.34, 
ROTTNEST ISLAND,11/12/2009, ,0.0, ,27.4,17.0,83,31,7.69, 
ROTTNEST ISLAND,12/12/2009, ,0.0, ,33.4,18.9,85,15,6.49, 
ROTTNEST ISLAND,13/12/2009, ,0.0, ,34.3,20.0,82,20,6.49, 
ROTTNEST ISLAND,14/12/2009, ,0.0, ,23.8,19.4,89,67,8.25, 
ROTTNEST ISLAND,15/12/2009, ,0.0, ,22.8,17.8,79,57,12.46, 
ROTTNEST ISLAND,16/12/2009, ,0.0, ,20.9,16.3,69,46,13.42, 
ROTTNEST ISLAND,17/12/2009, ,0.0, ,22.8,14.2,81,40,8.72, 
ROTTNEST ISLAND,18/12/2009, ,0.0, ,28.4,17.1,80,33,7.69, 
ROTTNEST ISLAND,19/12/2009, ,0.0, ,33.9,20.3,82,29,5.09, 
ROTTNEST ISLAND,20/12/2009, ,0.0, ,25.8,21.2,84,62,6.86, 
ROTTNEST ISLAND,21/12/2009, ,0.0, ,24.7,21.0,83,62,9.78, 
ROTTNEST ISLAND,22/12/2009, ,0.0, ,23.8,19.7,83,54,9.43, 
ROTTNEST ISLAND,23/12/2009, ,0.0, ,22.4,16.7,80,52,14.37, 
ROTTNEST ISLAND,24/12/2009, ,0.0, ,22.7,16.0,80,45,8.41, 
ROTTNEST ISLAND,25/12/2009, ,0.0, ,24.6,18.7,82,58,7.61, 
ROTTNEST ISLAND,26/12/2009, ,0.0, ,24.7,20.1,88,67,9.63, 
ROTTNEST ISLAND,27/12/2009, ,0.0, ,27.6,19.7,86,56,8.43, 
ROTTNEST ISLAND,28/12/2009, ,0.0, ,35.3,20.4,89,26,6.62, 
ROTTNEST ISLAND,29/12/2009, ,0.0, ,31.8,21.7,86,31,6.76, 
ROTTNEST ISLAND,30/12/2009, ,0.0, ,22.4,16.9,81,57,12.41, 
ROTTNEST ISLAND,31/12/2009, ,0.0, ,22.0,15.5,75,48,9.34, 
Totals:,, ,0, ,,,,,, 
