'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/05/2014,3.8,0.0, ,19.5,14.9,77,50,8.06,14.99
ROTTNEST ISLAND,02/05/2014,3.8,0.0, ,17.9,11.8,65,48,7.24,14.29
ROTTNEST ISLAND,03/05/2014,2.9,0.0, ,19.6,13.9,81,58,5.56,13.40
ROTTNEST ISLAND,04/05/2014,2.5,0.0, ,20.5,15.1,77,56,4.29,4.89
ROTTNEST ISLAND,05/05/2014,2.5,1.0, ,20.8,15.0,83,64,5.46,8.09
ROTTNEST ISLAND,06/05/2014,1.9,0.0, ,21.9,16.4,99,67,3.61,8.27
ROTTNEST ISLAND,07/05/2014,2.1,1.6, ,21.6,18.1,99,70,9.70,4.70
ROTTNEST ISLAND,08/05/2014,3.6,21.4, ,20.2,11.2,98,48,12.39,9.99
ROTTNEST ISLAND,09/05/2014,3.6,0.0, ,22.1,13.9,85,57,9.15,12.47
ROTTNEST ISLAND,10/05/2014,2.9,0.8, ,22.8,16.6,85,57,4.45,13.44
ROTTNEST ISLAND,11/05/2014,2.8,3.4, ,22.1,16.8,90,61,5.64,12.82
ROTTNEST ISLAND,12/05/2014,3.2,0.0, ,22.8,18.8,96,57,8.20,11.42
ROTTNEST ISLAND,13/05/2014,3.0,0.0, ,22.2,16.1,77,45,3.83,10.70
ROTTNEST ISLAND,14/05/2014, ,0.0, , ,17.3,72,53,5.40,10.87
ROTTNEST ISLAND,15/05/2014, , , ,22.3, ,70,50,4.68,8.75
ROTTNEST ISLAND,16/05/2014,3.0,0.0, ,22.5,17.8,79,59,4.93,12.35
ROTTNEST ISLAND,17/05/2014,2.6,0.0, ,22.7,16.8,88,59,3.97,12.78
ROTTNEST ISLAND,18/05/2014,2.6,2.4, ,22.1,17.3,88,63,6.17,7.47
ROTTNEST ISLAND,19/05/2014,2.1,1.6, ,21.9,18.3,94,70,4.84,9.13
ROTTNEST ISLAND,20/05/2014,2.2,1.0, ,22.4,18.5,98,68,6.33,8.20
ROTTNEST ISLAND,21/05/2014,2.0,12.6, ,21.9,17.1,97,67,4.25,9.08
ROTTNEST ISLAND,22/05/2014,3.0,0.0, ,23.0,17.5,99,56,8.17,9.29
ROTTNEST ISLAND,23/05/2014,3.2,33.8, ,20.7,14.9,99,52,10.64,10.60
ROTTNEST ISLAND,24/05/2014,3.7,5.2, ,20.3,14.9,89,51,12.77,8.77
ROTTNEST ISLAND,25/05/2014,3.6,0.2, ,20.6,15.4,86,47,9.21,8.87
ROTTNEST ISLAND,26/05/2014,2.8,2.0, ,20.6,15.6,85,53,6.11,7.06
ROTTNEST ISLAND,27/05/2014,2.8,0.0, ,22.1,16.5,94,61,8.89,6.86
ROTTNEST ISLAND,28/05/2014,2.9,4.8, ,19.1,15.1,84,53,7.20,8.96
ROTTNEST ISLAND,29/05/2014,2.4,4.2, ,18.3,14.6,92,59,6.93,11.54
ROTTNEST ISLAND,30/05/2014,2.5,0.0, ,18.4,12.4,77,54,4.52,12.20
ROTTNEST ISLAND,31/05/2014,3.2,0.0, ,19.2,13.3,71,56,8.07,4.90
Totals:,,83.2,96, ,,,,,, 
