'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ROTTNEST ISLAND Western Australia for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ROTTNEST ISLAND,01/08/2018,3.1,11.0, ,15.8,12.5,94,51,15.37,6.36
ROTTNEST ISLAND,02/08/2018,3.2,5.0, ,17.0,8.1,91,50,12.48,8.01
ROTTNEST ISLAND,03/08/2018,2.7,3.2, ,17.6,11.1,93,59,11.82,6.11
ROTTNEST ISLAND,04/08/2018,3.0,12.4, ,14.9,10.0,92,51,14.26,10.03
ROTTNEST ISLAND,05/08/2018,1.8,5.2, ,13.8,9.1,91,71,8.39,10.59
ROTTNEST ISLAND,06/08/2018,2.1,0.6, ,16.5,9.9,80,64,5.21,6.69
ROTTNEST ISLAND,07/08/2018,3.1,0.0, ,18.9,12.9,79,54,6.31,13.35
ROTTNEST ISLAND,08/08/2018,2.6,1.2, ,18.2,14.0,91,65,10.82,9.24
ROTTNEST ISLAND,09/08/2018,2.9,10.4, ,15.5,11.7,93,53,12.62,8.66
ROTTNEST ISLAND,10/08/2018,2.2,8.2, ,13.8,6.8,95,59,7.30,15.07
ROTTNEST ISLAND,11/08/2018,2.5,0.0, ,15.9,9.4,81,50,3.70,15.24
ROTTNEST ISLAND,12/08/2018,4.1,0.0, ,19.8,11.4,73,40,7.06,15.42
ROTTNEST ISLAND,13/08/2018,3.4,0.0, ,20.0,13.8,93,58,10.73,15.55
ROTTNEST ISLAND,14/08/2018,2.9,8.2, ,17.8,13.5,94,50,7.48,12.19
ROTTNEST ISLAND,15/08/2018,2.4,2.6, ,17.0,12.2,86,55,3.31,15.03
ROTTNEST ISLAND,16/08/2018,2.9,0.6, ,18.0,13.1,84,55,5.77,12.77
ROTTNEST ISLAND,17/08/2018,2.7,2.4, ,15.9,11.8,90,52,6.22,14.34
ROTTNEST ISLAND,18/08/2018,3.3,0.0, ,17.5,10.0,69,43,4.63,16.17
ROTTNEST ISLAND,19/08/2018,3.3,0.0, ,20.4,11.9,83,46,4.57,16.14
ROTTNEST ISLAND,20/08/2018,3.8,0.0, ,22.3,15.9,83,47,6.59,11.44
ROTTNEST ISLAND,21/08/2018,3.4,0.4, ,19.7,15.0,87,53,9.64,7.36
ROTTNEST ISLAND,22/08/2018,3.4,2.2, ,15.5,11.2,81,48,8.51,15.59
ROTTNEST ISLAND,23/08/2018,2.7,0.0, ,15.8,10.4,80,62,5.10,16.58
ROTTNEST ISLAND,24/08/2018,3.2,0.0, ,19.2,10.9,81,51,4.50,17.06
ROTTNEST ISLAND,25/08/2018,3.0,0.0, ,18.5,11.3,86,51,4.36,17.25
ROTTNEST ISLAND,26/08/2018,3.3,0.0, ,19.3,12.7,81,49,4.27,17.39
ROTTNEST ISLAND,27/08/2018,3.3,0.0, ,19.5,14.0,77,57,5.71,14.32
ROTTNEST ISLAND,28/08/2018,3.1,0.6, ,17.6,14.8,91,55,11.50,8.61
ROTTNEST ISLAND,29/08/2018,2.5,20.0, ,14.7,9.0,99,58,12.46,10.82
ROTTNEST ISLAND,30/08/2018,2.9,14.2, ,16.5,10.4,87,64,10.22,16.33
ROTTNEST ISLAND,31/08/2018,2.1,0.0, ,15.7,11.9,94,67,3.58,14.13
Totals:,,90.9,108.4, ,,,,,, 
