'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SALMON GUMS RESSTN Western Australia for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SALMON GUMS RESSTN,01/07/2013,2.4,0.0, ,19.6,3.5,82,29,2.91,13.17
SALMON GUMS RESSTN,02/07/2013,2.6,0.0, ,20.3,-0.4,82,23,2.74,13.17
SALMON GUMS RESSTN,03/07/2013,1.3,0.0, ,14.3,3.6,90,59,2.68,6.40
SALMON GUMS RESSTN,04/07/2013,1.7,0.6, ,13.6,5.2,91,52,3.89,11.23
SALMON GUMS RESSTN,05/07/2013,1.3,0.4, ,13.7,0.8,95,51,2.23,10.96
SALMON GUMS RESSTN,06/07/2013,1.2,0.0, ,14.1,2.1,93,56,1.91,9.84
SALMON GUMS RESSTN,07/07/2013,1.1,0.2, ,14.3,-2.4,95,47,1.20,9.93
SALMON GUMS RESSTN,08/07/2013,1.6,0.0, ,15.0,-4.4,97,37,2.02,13.35
SALMON GUMS RESSTN,09/07/2013,2.7,0.0, ,19.7,0.8,70,34,3.47,8.77
SALMON GUMS RESSTN,10/07/2013,1.4,0.0, ,19.2,1.8,88,45,1.19,13.10
SALMON GUMS RESSTN,11/07/2013,1.0,0.4, ,17.5,3.0,93,62,0.91,6.86
SALMON GUMS RESSTN,12/07/2013,0.7,1.6, ,13.5,7.4,94,89,1.79,3.71
SALMON GUMS RESSTN,13/07/2013,1.3,19.4, ,16.3,10.5,95,70,3.20,7.76
SALMON GUMS RESSTN,14/07/2013,1.9,0.4, ,19.3,5.5,95,49,2.69,13.49
SALMON GUMS RESSTN,15/07/2013,2.7,0.0, ,21.4,8.3,73,38,3.34,12.52
SALMON GUMS RESSTN,16/07/2013,2.1,0.0, ,19.3,9.0,89,53,3.55,11.44
SALMON GUMS RESSTN,17/07/2013,1.5,4.4, ,12.9,8.2,93,70,7.29,7.25
SALMON GUMS RESSTN,18/07/2013,1.4,8.6, ,12.3,6.0,93,69,4.42,11.26
SALMON GUMS RESSTN,19/07/2013,1.5,2.2, ,13.4,5.1,94,56,3.19,11.13
SALMON GUMS RESSTN,20/07/2013,1.1,0.8, ,12.3,5.8,95,65,2.17,8.24
SALMON GUMS RESSTN,21/07/2013,1.0,1.0, ,13.1,1.3,96,64,0.87,10.86
SALMON GUMS RESSTN,22/07/2013,1.5,0.0, ,14.9,-1.8,96,54,2.00,14.80
SALMON GUMS RESSTN,23/07/2013,2.9,0.0, ,17.8,4.2,84,37,4.62,14.87
SALMON GUMS RESSTN,24/07/2013,2.4,0.2, ,18.0,10.5,90,40,3.48,12.65
SALMON GUMS RESSTN,25/07/2013,2.3,0.2, ,18.8,2.5,93,38,2.59,15.19
SALMON GUMS RESSTN,26/07/2013,2.4,2.0, ,18.3,10.2,91,53,5.67,7.97
SALMON GUMS RESSTN,27/07/2013,1.8,1.0, ,13.7,7.9,90,60,4.56,10.70
SALMON GUMS RESSTN,28/07/2013,2.1,0.8, ,17.1,8.0,92,50,3.24,13.96
SALMON GUMS RESSTN,29/07/2013,1.4,0.0, ,15.5,6.2,93,68,2.26,11.37
SALMON GUMS RESSTN,30/07/2013,2.5,0.2, ,18.6,5.0,93,38,2.99,15.60
SALMON GUMS RESSTN,31/07/2013,2.4,0.0, ,20.0,6.0,87,51,3.48,14.70
Totals:,,55.2,44.4, ,,,,,, 
