'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SALMON GUMS RESSTN Western Australia for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SALMON GUMS RESSTN,01/04/2022,5.5,0.0, ,28.1,15.9,76,31,4.75,19.44
SALMON GUMS RESSTN,02/04/2022,5.0,0.0, ,29.9,13.8,77,26,3.06,19.25
SALMON GUMS RESSTN,03/04/2022,4.8,0.0, ,32.5,17.7,83,26,3.50,10.76
SALMON GUMS RESSTN,04/04/2022,2.2,28.4, ,21.9,16.1,94,73,4.48,9.76
SALMON GUMS RESSTN,05/04/2022,2.5,1.4, ,19.9,12.2,93,57,3.31,11.69
SALMON GUMS RESSTN,06/04/2022,2.8,0.0, ,22.8,14.5,93,46,2.75,11.75
SALMON GUMS RESSTN,07/04/2022,4.0,0.2, ,26.2,10.7,95,35,3.23,18.24
SALMON GUMS RESSTN,08/04/2022,6.3,0.0, ,33.3,13.8,72,19,4.14,17.90
SALMON GUMS RESSTN,09/04/2022,2.9,0.0, ,20.7,14.7,86,51,3.88,11.48
SALMON GUMS RESSTN,10/04/2022,2.9,0.0, ,23.5,6.5,94,41,2.59,12.02
SALMON GUMS RESSTN,11/04/2022,3.1,6.0, ,24.6,11.4,93,47,3.71,10.80
SALMON GUMS RESSTN,12/04/2022,2.5,20.8, ,22.1,13.8,94,68,3.14,13.41
SALMON GUMS RESSTN,13/04/2022,2.9,7.8, ,22.9,14.5,94,58,3.48,14.09
SALMON GUMS RESSTN,14/04/2022,1.8,1.2, ,18.9,14.5,94,74,3.84,8.47
SALMON GUMS RESSTN,15/04/2022,2.2,0.0, ,20.5,13.9,93,59,1.66,12.36
SALMON GUMS RESSTN,16/04/2022,3.8,0.0, ,27.1,9.9,94,38,3.27,15.66
SALMON GUMS RESSTN,17/04/2022,2.3,0.2, ,18.7,13.8,93,63,3.20,12.99
SALMON GUMS RESSTN,18/04/2022,2.3,0.4, ,20.8,6.6,95,46,1.48,15.60
SALMON GUMS RESSTN,19/04/2022,2.3,0.0, ,21.3,6.4,95,51,2.25,11.99
SALMON GUMS RESSTN,20/04/2022,2.0,0.2, ,20.2,9.8,94,57,1.99,11.31
SALMON GUMS RESSTN,21/04/2022,2.6,0.0, ,21.1,10.5,94,48,3.01,12.45
SALMON GUMS RESSTN,22/04/2022,2.6,0.0, ,21.2,8.9,92,34,2.20,12.69
SALMON GUMS RESSTN,23/04/2022,2.6,0.0, ,22.4,4.9,96,37,1.86,15.05
SALMON GUMS RESSTN,24/04/2022,2.9,0.2, ,23.3,7.6,95,35,2.26,15.06
SALMON GUMS RESSTN,25/04/2022,3.6,0.0, ,25.7,5.8,95,28,3.04,14.77
SALMON GUMS RESSTN,26/04/2022,3.9,0.0, ,24.5,16.7,73,33,3.85,12.52
SALMON GUMS RESSTN,27/04/2022,1.6,0.8, ,19.4,12.1,94,69,2.80,6.15
SALMON GUMS RESSTN,28/04/2022,2.5,8.2, ,19.9,11.2,93,50,3.33,13.52
SALMON GUMS RESSTN,29/04/2022,2.2,0.0, ,18.9,6.6,94,45,2.10,14.22
SALMON GUMS RESSTN,30/04/2022,2.1,0.0, ,21.1,3.9,95,42,1.45,14.86
Totals:,,90.7,75.8, ,,,,,, 
