'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/02/2011,5.5,0.2, ,24.2,11.0,46,21,2.25,27.07
SHANNON,02/02/2011,6.3,0.0, ,24.0,14.0,37,21,3.31,27.36
SHANNON,03/02/2011,7.9,0.0, ,28.7,13.2,40,16,3.95,31.97
SHANNON,04/02/2011,5.1,0.0, ,18.6,16.5,37,29,4.51,12.85
SHANNON,05/02/2011,5.3,0.0, ,19.7,11.1,45,28,4.35,20.41
SHANNON,06/02/2011,6.3,0.0, ,21.9,13.0,40,24,4.87,23.20
SHANNON,07/02/2011, ,0.0, , ,13.1,40,19,5.41,30.87
SHANNON,08/02/2011, , , , , , , , ,14.95
SHANNON,13/02/2011, , , ,26.9, , , , ,30.97
SHANNON,14/02/2011, ,0.0, ,29.8,15.5, , , ,29.65
SHANNON,15/02/2011,7.7,0.0, ,30.5,14.8,35,15,3.46,30.41
SHANNON,16/02/2011,8.0,0.0, ,28.6,16.5,32,17,4.30,29.44
SHANNON,17/02/2011,5.7,0.0, ,23.3,15.8,33,21,4.18,15.04
SHANNON,18/02/2011,6.8,0.0, ,29.5,16.5,32,16,3.27,24.11
SHANNON,19/02/2011,6.6,0.0, ,24.0,15.6,33,23,4.56,22.71
SHANNON,20/02/2011,7.8,0.0, ,26.6,15.0,35,18,5.35,26.34
SHANNON,21/02/2011,9.5,0.0, ,32.6,16.4,33,13,5.47,28.86
SHANNON,22/02/2011,9.7,0.0, ,34.1,15.0,35,12,5.07,29.62
SHANNON,23/02/2011,8.7,0.0, ,31.6,15.8,33,14,4.67,28.82
SHANNON,24/02/2011,8.8,0.0, ,32.6,17.1,31,13,4.63,27.89
SHANNON,25/02/2011,8.7,0.0, ,35.3,17.5,30,11,4.01,27.16
SHANNON,26/02/2011,7.5,0.0, ,29.3,18.6,29,16,3.84,27.25
SHANNON,27/02/2011,7.7,0.0, ,32.5,18.8,28,13,3.90,22.09
SHANNON,28/02/2011,6.0,3.6, ,23.4,18.2,30,21,4.48,13.60
Totals:,,145.6,3.8, ,,,,,, 
