'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/03/2011,8.5,0.0, ,26.6,17.1,32,18,6.62,26.42
SHANNON,02/03/2011,8.4,0.0, ,28.4,14.7,36,17,5.78,27.83
SHANNON,03/03/2011,8.3,0.0, ,30.8,14.4,37,14,4.78,27.62
SHANNON,04/03/2011,8.6,0.0, ,34.3,15.5,34,12,4.53,24.14
SHANNON,05/03/2011, ,0.0, ,25.1,17.6, , , ,22.95
SHANNON,06/03/2011,4.8,1.8, ,21.5,11.3,45,25,3.39,18.80
SHANNON,07/03/2011, ,0.4, ,22.4,14.1, , , ,20.25
SHANNON,08/03/2011,5.0,0.0, ,24.7,8.6,51,20,2.50,25.05
SHANNON,09/03/2011,5.8,0.0, ,28.3,8.7,52,17,2.62,26.68
SHANNON,10/03/2011,6.4,0.0, ,30.5,11.9,43,15,2.94,26.06
SHANNON,11/03/2011,4.2,0.2, ,21.7,12.8,40,25,2.98,13.23
SHANNON,12/03/2011,4.3,0.8, ,21.1,9.1,52,25,2.50,22.19
SHANNON,13/03/2011,5.8,0.0, ,25.7,7.0,59,19,3.45,26.33
SHANNON,14/03/2011,7.2,0.0, ,29.5,12.8,41,15,4.26,25.18
SHANNON,15/03/2011,7.2,0.0, ,27.9,14.5,37,17,4.83,24.60
SHANNON,16/03/2011,7.5,0.0, ,27.5,14.7,36,17,5.34,24.88
SHANNON,17/03/2011,5.9,0.0, ,27.0,16.7,32,18,3.58,18.08
SHANNON,18/03/2011,5.7,0.0, ,28.8,16.4,33,17,2.68,24.05
SHANNON,19/03/2011,4.6,0.8, ,21.9,14.6,37,24,3.12,16.80
SHANNON,20/03/2011,4.1,0.8, ,20.2,13.5,39,27,3.00,13.83
SHANNON,21/03/2011,6.1,0.0, ,26.6,11.9,43,18,3.73,24.32
SHANNON,22/03/2011,6.4,1.4, ,28.9,14.6,36,17,4.01,19.33
SHANNON,23/03/2011,5.3,0.2, ,25.3,14.4,40,20,3.16,22.04
SHANNON,24/03/2011,5.7,0.0, ,29.2,11.5,43,16,2.79,23.87
SHANNON,25/03/2011,7.1,0.0, ,32.4,13.9,38,13,3.79,23.36
SHANNON,26/03/2011,6.9,0.0, ,33.4,14.7,36,12,3.41,23.27
SHANNON,27/03/2011,7.0,0.0, ,32.6,13.1,39,13,3.75,23.05
SHANNON,28/03/2011,5.4,0.0, ,25.1,15.5,33,20,3.62,17.75
SHANNON,29/03/2011,4.4,0.0, ,21.7,14.8,37,26,3.52,12.38
SHANNON,30/03/2011,5.6,0.0, ,26.8,11.0,45,18,3.56,22.35
SHANNON,31/03/2011,5.7,0.0, ,26.8,12.7,41,18,3.58,22.08
Totals:,,177.9,6.4, ,,,,,, 
