'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/05/2011,2.6,1.0, ,19.7,9.4,50,28,1.99,13.24
SHANNON,02/05/2011,2.1,1.4, ,19.1,9.2,51,29,1.31,13.93
SHANNON,03/05/2011,3.0,0.2, ,20.7,8.2,55,26,2.55,15.02
SHANNON,04/05/2011,3.6,0.0, ,23.2,11.5,44,22,2.98,14.99
SHANNON,05/05/2011,2.6,0.2, ,16.5,10.5,50,34,2.79,7.66
SHANNON,06/05/2011,2.2,19.6, ,16.9,7.8,56,34,2.02,13.35
SHANNON,07/05/2011,3.0,1.0, ,18.7,7.0,59,29,3.02,15.87
SHANNON,08/05/2011,3.8,0.0, ,22.6,8.7,54,22,3.71,13.75
SHANNON,09/05/2011,2.8,1.2, ,18.6,11.8,44,29,2.62,13.45
SHANNON,10/05/2011,2.3,0.2, ,19.0,8.2,55,31,1.92,12.38
SHANNON,11/05/2011,2.5,0.0, ,19.0,6.8,61,29,2.30,14.61
SHANNON,12/05/2011,2.7,0.0, ,18.1,7.5,57,32,2.83,14.65
SHANNON,13/05/2011,2.7,0.0, ,18.4,6.3,64,30,2.94,14.72
SHANNON,14/05/2011,3.0,0.2, ,18.8,8.5,53,29,3.29,13.17
SHANNON,15/05/2011,2.5,0.0, ,18.2,10.0,49,30,2.54,9.15
SHANNON,16/05/2011,2.6,0.0, ,21.5,11.9,40,25,2.02,11.03
SHANNON,17/05/2011,2.6,0.4, ,19.2,12.5,42,29,2.35,8.37
SHANNON,18/05/2011,2.0,9.8, ,17.5,7.9,57,32,1.89,12.78
SHANNON,19/05/2011,3.6,0.2, ,20.6,6.9,61,26,4.52,13.79
SHANNON,20/05/2011,3.1,14.0, ,14.0,12.1,54,32,4.69,4.06
SHANNON,21/05/2011,1.9,28.4, ,15.3,7.9,56,37,2.10,8.92
SHANNON,22/05/2011,1.9,1.2, ,16.8,10.1,49,34,1.85,9.39
SHANNON,23/05/2011,1.8,2.6, ,17.8,10.8,51,32,1.54,10.79
SHANNON,24/05/2011,1.9,0.0, ,17.5,7.0,59,32,1.93,11.61
SHANNON,25/05/2011,2.2,0.0, ,16.9,10.2,47,32,2.30,10.04
SHANNON,26/05/2011,2.3,0.2, ,17.7,7.5,57,31,2.54,11.67
SHANNON,27/05/2011,2.2,0.0, ,17.0,4.4,72,32,2.95,13.03
SHANNON,28/05/2011,2.4,0.0, ,20.7,4.1,74,25,2.48,12.67
SHANNON,29/05/2011,3.6,0.0, ,21.1,5.5,67,26,4.68,10.65
SHANNON,30/05/2011,3.5,10.2, ,17.9,10.9,40,31,4.64,9.69
SHANNON,31/05/2011,3.4,3.2, ,18.4,11.1,46,29,4.26,9.66
Totals:,,82.4,95.2, ,,,,,, 
