'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/07/2014,1.2,4.2, ,19.8,10.7,100,81,5.09,8.38
SHANNON,02/07/2014,1.0,23.2, ,14.1,13.9,100,79,5.43,5.69
SHANNON,03/07/2014,0.9,12.8, ,12.4,1.9,100,67,1.85,7.86
SHANNON,04/07/2014,1.0,0.0, ,14.0,3.3,100,74,4.00,6.17
SHANNON,05/07/2014,1.2,7.0, ,17.9,7.5,100,78,4.50,8.22
SHANNON,06/07/2014,0.4,22.2, ,13.3,10.5,100,99,5.44,3.38
SHANNON,07/07/2014,1.0,24.4, ,11.0,7.3,100,75,6.04,3.09
SHANNON,08/07/2014,1.0,27.6, ,11.6,5.8,100,76,5.39,7.97
SHANNON,09/07/2014,0.9,2.8, ,14.5,6.7,100,70,1.46,8.46
SHANNON,10/07/2014,1.1,1.6, ,14.7,6.9,100,73,2.95,8.48
SHANNON,11/07/2014,0.8,2.8, ,12.1,8.5,100,85,3.45,7.00
SHANNON,12/07/2014,1.0,1.2, ,13.4,5.7,100,79,4.05,8.81
SHANNON,13/07/2014,1.7,0.0, ,15.7,5.7,100,58,4.62,10.67
SHANNON,14/07/2014,1.3,17.0, ,12.9,8.5,100,68,6.17,7.49
SHANNON,15/07/2014,1.0,8.6, ,14.6,7.0,100,77,3.98,7.58
SHANNON,16/07/2014,1.1,7.6, ,13.1,9.0,100,69,3.10,7.53
SHANNON,17/07/2014,1.3,0.2, ,15.1,7.6,100,61,2.32,10.66
SHANNON,18/07/2014,1.6,0.2, ,15.9,3.2,100,56,3.25,11.36
SHANNON,19/07/2014,1.6,0.2, ,17.2,5.5,100,58,3.30,10.76
SHANNON,20/07/2014,1.0,0.8, ,15.8,7.4,100,80,1.74,9.65
SHANNON,21/07/2014,1.2,0.6, ,15.2,7.2,100,72,3.76,9.56
SHANNON,22/07/2014,0.6,14.0, ,12.9,7.4,100,93,4.55,3.89
SHANNON,23/07/2014,1.1,23.4, ,13.5,5.7,100,76,3.24,10.38
SHANNON,24/07/2014,1.5,4.2, ,15.3,7.7,100,60,2.95,11.55
SHANNON,25/07/2014,1.6,0.4, ,17.0,7.9,100,71,6.31,8.33
SHANNON,26/07/2014,1.3,17.6, ,14.1,11.8,100,70,5.17,8.08
SHANNON,27/07/2014,1.4,9.6, ,15.0,8.3,100,68,4.07,9.69
SHANNON,28/07/2014,1.3,1.6, ,16.4,9.5,100,74,3.65,8.40
SHANNON,29/07/2014,1.2,1.0, ,15.6,10.9,100,74,3.56,7.25
SHANNON,30/07/2014,1.5,0.0, ,16.0,12.1,100,69,4.61,9.18
SHANNON,31/07/2014,1.2,2.8, ,11.6,8.1,99,63,3.00,7.67
Totals:,,36,239.6, ,,,,,, 
