'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/03/2017,5.9,0.0, ,31.9,14.9,100,44,4.08,24.51
SHANNON,02/03/2017,5.0,0.0, ,33.1,16.2,100,38,3.39,15.93
SHANNON,03/03/2017,2.8,0.0, ,23.5,18.5,100,73,3.63,14.20
SHANNON,04/03/2017,2.4,0.0, ,22.5,16.0,100,80,4.04,13.14
SHANNON,05/03/2017,4.5,0.0, ,29.3,16.2,100,49,3.64,19.06
SHANNON,06/03/2017,4.8,0.0, ,29.8,16.0,100,50,3.27,21.61
SHANNON,07/03/2017,2.8,0.4, ,23.0,16.0,100,67,3.54,13.65
SHANNON,08/03/2017,2.1,0.0, ,20.4,15.9,100,69,4.03,9.10
SHANNON,09/03/2017,1.4,0.0, ,18.2,14.3,100,95,4.12,9.33
SHANNON,10/03/2017,3.5,4.0, ,21.3,13.1,100,54,3.86,19.40
SHANNON,11/03/2017,3.9,0.0, ,22.9,11.3,99,47,3.59,20.62
SHANNON,12/03/2017,4.2,0.0, ,26.1,10.1,100,42,4.24,16.32
SHANNON,13/03/2017,2.4,2.0, ,23.0,16.2,100,70,4.31,10.20
SHANNON,14/03/2017,3.0,7.0, ,21.3,12.8,100,53,5.55,10.66
SHANNON,15/03/2017,3.2,6.2, ,18.4,12.8,99,51,5.25,16.93
SHANNON,16/03/2017,3.6,0.0, ,22.4,4.5,100,47,2.79,21.03
SHANNON,17/03/2017,3.7,0.0, ,24.0,7.9,100,52,2.67,21.40
SHANNON,18/03/2017,2.1,2.6, ,18.0,13.0,100,54,3.21,7.34
SHANNON,19/03/2017,3.0,1.4, ,18.5,7.2,100,40,2.71,16.81
SHANNON,20/03/2017,4.1,0.0, ,22.1,5.3,100,35,3.97,20.57
SHANNON,21/03/2017,3.4,0.0, ,22.5,11.9,100,46,5.20,11.33
SHANNON,22/03/2017,1.7,18.6, ,21.0,13.8,100,81,3.45,8.98
SHANNON,23/03/2017,0.9,2.4, ,18.7,15.1,100,100,4.02,6.46
SHANNON,24/03/2017,1.5,10.6, ,19.1,14.7,100,94,3.20,10.70
SHANNON,25/03/2017,2.3,2.0, ,20.7,13.1,100,73,3.29,13.42
SHANNON,26/03/2017,2.5,7.4, ,16.4,11.7,100,59,5.64,13.09
SHANNON,27/03/2017,2.0,2.4, ,18.4,7.9,100,64,2.70,10.32
SHANNON,28/03/2017,2.1,1.4, ,19.0,12.7,100,67,4.00,10.90
SHANNON,29/03/2017,2.8,0.8, ,18.0,6.7,100,50,3.15,17.64
SHANNON,30/03/2017,3.6,0.0, ,21.8,7.0,100,39,3.42,18.94
SHANNON,31/03/2017,2.9,0.0, ,21.1,8.3,100,57,2.67,18.12
Totals:,,94.1,69.2, ,,,,,, 
