'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/10/2017,3.3,0.2, ,20.4,6.0,100,53,3.08,20.43
SHANNON,02/10/2017,3.0,0.0, ,19.3,6.1,100,64,3.48,20.77
SHANNON,03/10/2017,2.6,3.4, ,13.6,8.2,100,55,4.76,17.41
SHANNON,04/10/2017,2.0,0.0, ,13.2,6.5,99,62,3.26,12.46
SHANNON,05/10/2017,3.1,0.0, ,17.0,7.8,100,52,3.53,19.82
SHANNON,06/10/2017,2.7,0.0, ,17.0,6.3,100,61,4.47,17.47
SHANNON,07/10/2017,2.2,6.0, ,12.5,6.0,100,69,3.94,18.16
SHANNON,08/10/2017,2.4,10.0, ,14.3,7.0,100,58,2.74,15.83
SHANNON,09/10/2017,3.1,0.0, ,17.5,2.9,100,57,3.18,21.92
SHANNON,10/10/2017,2.2,1.0, ,15.1,6.4,100,64,4.86,12.53
SHANNON,11/10/2017,2.1,2.0, ,14.5,7.4,100,67,2.92,14.06
SHANNON,12/10/2017,2.8,0.2, ,19.6,10.3,100,67,2.94,17.46
SHANNON,13/10/2017,4.5,0.0, ,24.3,11.7,100,47,3.88,23.51
SHANNON,14/10/2017,4.7,0.0, ,26.8,10.4,100,46,4.03,21.90
SHANNON,15/10/2017,3.9,0.0, ,25.0,12.3,100,54,2.78,20.89
SHANNON,16/10/2017,2.5,2.4, ,16.6,12.2,100,65,5.88,14.24
SHANNON,17/10/2017,2.6,12.4, ,16.7,10.9,100,71,5.51,17.38
SHANNON,18/10/2017,3.1,10.6, ,14.5,6.6,100,55,4.46,22.86
SHANNON,19/10/2017,3.6,0.0, ,19.7,6.1,100,55,3.02,23.40
SHANNON,20/10/2017,5.0,0.0, ,23.9,9.3,100,42,4.87,26.09
SHANNON,21/10/2017,3.5,0.0, ,22.9,10.7,100,57,4.77,16.37
SHANNON,22/10/2017,4.5,0.0, ,25.5,13.4,100,52,3.61,22.79
SHANNON,23/10/2017,1.2,0.0, ,17.7,13.7,100,100,2.97,7.77
SHANNON,24/10/2017,3.4,0.6, ,18.7,10.9,100,61,2.70,21.99
SHANNON,25/10/2017,3.2,0.4, ,19.5,10.6,100,65,4.11,20.06
SHANNON,26/10/2017,2.5,0.0, ,17.4,12.1,100,66,5.54,13.14
SHANNON,27/10/2017,2.3,13.0, ,15.3,7.9,100,72,4.10,15.45
SHANNON,28/10/2017,2.1,1.6, ,17.2,10.4,100,70,6.55,9.82
SHANNON,29/10/2017,3.3,1.0, ,15.6,9.5,96,55,4.47,21.01
SHANNON,30/10/2017,4.3,0.0, ,21.5,4.8,100,48,2.64,27.69
SHANNON,31/10/2017,3.8,0.0, ,19.8,8.1,100,70,2.33,26.89
Totals:,,95.5,64.8, ,,,,,, 
