'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/02/2020,4.3,0.0, ,23.1,9.8,96,44,3.08,21.70
SHANNON,02/02/2020,5.0,0.0, ,25.9,11.0,97,44,3.51,24.70
SHANNON,03/02/2020,7.4,0.0, ,31.1,12.4,87,25,4.39,28.88
SHANNON,04/02/2020,5.7,0.0, ,31.1,14.3,85,37,4.75,15.83
SHANNON,05/02/2020,10.1,1.0, ,39.2,17.2,89,15,5.33,27.87
SHANNON,06/02/2020,8.9,0.0, ,38.9,18.5,92,20,4.15,28.38
SHANNON,07/02/2020,5.9,0.0, ,33.3,15.7,100,37,2.53,25.30
SHANNON,08/02/2020,5.4,0.0, ,30.2,17.1,99,45,3.81,22.25
SHANNON,09/02/2020,4.5,1.6, ,21.6,9.4,97,40,3.48,24.49
SHANNON,10/02/2020, ,0.0, , ,8.0,95,33,3.52,27.83
SHANNON,11/02/2020,7.5, , ,32.1,11.9,87,24,4.73,25.67
SHANNON,12/02/2020,6.2,0.0, ,33.0,17.5,97,33,4.51,18.73
SHANNON,13/02/2020,4.1,16.8, ,26.2,15.7,100,62,3.27,21.03
SHANNON,14/02/2020,5.3,1.6, ,30.4,16.4,99,46,4.03,21.36
SHANNON,15/02/2020,4.9,0.0, ,28.7,16.1,99,55,4.04,22.62
SHANNON,16/02/2020,2.7,0.6, ,21.4,13.2,98,62,2.76,12.86
SHANNON,17/02/2020,4.5,2.4, ,22.8,11.8,97,44,3.59,23.48
SHANNON,18/02/2020,6.5,0.0, ,28.1,11.5,81,27,4.62,25.77
SHANNON,19/02/2020,6.5,0.0, ,30.4,13.8,89,33,4.53,25.61
SHANNON,20/02/2020,6.9,0.0, ,31.0,15.7,87,30,4.80,25.52
SHANNON,21/02/2020,6.8,0.0, ,31.7,14.6,90,22,4.35,22.24
SHANNON,22/02/2020,4.0,0.0, ,27.0,19.4,88,46,3.85,12.63
SHANNON,23/02/2020,4.1,0.0, ,27.8,15.8,100,49,3.21,16.89
SHANNON,24/02/2020,2.1,0.0, ,22.0,16.6,98,68,4.50,6.42
SHANNON,25/02/2020,2.3,0.0, ,21.7,16.0,99,71,4.58,9.40
SHANNON,26/02/2020,5.0,0.0, ,27.1,14.9,84,44,4.46,18.95
SHANNON,27/02/2020,3.0,0.2, ,25.7,16.7,95,58,5.63,6.07
SHANNON,28/02/2020,5.9,2.6, ,30.7,16.7,93,44,6.42,19.37
SHANNON,29/02/2020,4.0,0.0, ,27.9,16.3,99,53,3.82,15.95
Totals:,,149.5,26.8, ,,,,,, 
