'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHANNON Western Australia for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHANNON,01/01/2022,3.8,0.2, ,21.9,10.7,95,46,2.65,18.18
SHANNON,02/01/2022,5.5,0.0, ,26.2,10.7,100,38,3.26,27.02
SHANNON,03/01/2022,4.7,0.0, ,24.7,11.9,93,53,4.24,22.71
SHANNON,04/01/2022,6.6,0.0, ,27.7,13.0,93,36,4.46,29.97
SHANNON,05/01/2022,7.4,0.0, ,30.8,13.6,87,32,4.66,29.68
SHANNON,06/01/2022,6.2,0.0, ,28.2,13.6,97,50,4.83,30.75
SHANNON,07/01/2022,6.7,0.0, ,28.8,15.6,81,40,4.70,27.71
SHANNON,08/01/2022,5.6,0.0, ,26.5,13.4,92,49,4.88,26.59
SHANNON,09/01/2022,4.8,0.0, ,21.8,12.7,87,37,4.16,21.82
SHANNON,10/01/2022,4.8,0.0, ,23.2,10.6,96,40,3.85,22.93
SHANNON,11/01/2022,7.6,0.0, ,30.5,11.9,89,26,4.35,31.21
SHANNON,12/01/2022,8.2,0.0, ,35.1,13.8,95,26,3.98,30.46
SHANNON,13/01/2022,5.7,0.0, ,28.2,15.0,100,49,3.70,27.43
SHANNON,14/01/2022,4.5,0.8, ,24.6,12.8,100,42,2.79,21.86
SHANNON,15/01/2022,4.0,0.0, ,24.6,10.8,100,46,3.61,16.52
SHANNON,16/01/2022,4.9,0.0, ,23.4,13.7,95,44,3.82,24.56
SHANNON,17/01/2022,6.9,0.0, ,28.8,10.8,84,31,4.18,30.15
SHANNON,18/01/2022,8.8,0.0, ,36.5,14.4,89,25,4.79,28.28
SHANNON,19/01/2022,10.2,0.0, ,40.0,18.4,68,12,4.57,28.04
SHANNON,20/01/2022,8.4,0.0, ,37.2,18.0,83,20,3.30,30.09
SHANNON,21/01/2022,9.6,0.0, ,39.0,17.5,71,13,3.94,30.30
SHANNON,22/01/2022,7.3,0.0, ,35.1,16.5,85,23,3.19,25.74
SHANNON,23/01/2022,7.3,0.0, ,31.0,17.6,92,33,4.41,30.02
SHANNON,24/01/2022,5.1,0.0, ,23.5,15.6,98,47,5.74,25.17
SHANNON,25/01/2022,2.5,1.0, ,20.9,13.8,100,67,4.02,10.91
SHANNON,26/01/2022,1.9,1.0, ,18.8,13.6,100,81,3.20,9.77
SHANNON,27/01/2022,4.1,0.4, ,23.2,13.6,98,48,3.26,20.00
SHANNON,28/01/2022,6.5,0.0, ,29.1,10.3,93,31,3.50,29.63
SHANNON,29/01/2022,7.8,0.0, ,34.5,12.1,98,30,4.28,29.26
SHANNON,30/01/2022,2.8,0.0, ,24.3,17.9,98,67,4.77,10.60
SHANNON,31/01/2022, ,0.0, , ,14.7,95,55,5.29,11.02
Totals:,,180.2,3.4, ,,,,,, 
