'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHARK BAY AIRPORT Western Australia for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHARK BAY AIRPORT,01/06/2017,4.0,0.0, ,27.8,9.7,88,26,3.29,15.05
SHARK BAY AIRPORT,02/06/2017,4.9,0.0, ,30.3,16.4,86,25,4.54,13.28
SHARK BAY AIRPORT,03/06/2017,4.5,0.0, ,26.5,16.2,81,33,5.55,11.60
SHARK BAY AIRPORT,04/06/2017,5.2,0.0, ,27.5,14.1,89,10,4.80,14.91
SHARK BAY AIRPORT,05/06/2017,5.7,0.0, ,26.6,8.6,75,8,5.18,14.87
SHARK BAY AIRPORT,06/06/2017,5.2,0.0, ,28.7,6.7,66,13,3.99,14.84
SHARK BAY AIRPORT,07/06/2017,4.6,0.0, ,28.0,10.1,86,12,3.58,14.80
SHARK BAY AIRPORT,08/06/2017,5.8,0.0, ,28.3,9.8,68,11,4.89,14.77
SHARK BAY AIRPORT,09/06/2017,5.7,0.0, ,27.4,9.0,56,10,4.73,14.73
SHARK BAY AIRPORT,10/06/2017,5.3,0.0, ,26.7,6.6,69,13,4.69,13.95
SHARK BAY AIRPORT,11/06/2017,4.9,0.0, ,26.2,5.6,85,14,4.52,14.16
SHARK BAY AIRPORT,12/06/2017,5.0,0.0, ,23.3,15.5,74,21,6.22,12.45
SHARK BAY AIRPORT,13/06/2017,2.3,0.0, ,24.5,11.7,91,61,3.49,8.29
SHARK BAY AIRPORT,14/06/2017,1.4,3.0, ,22.7,13.4,96,68,1.71,5.11
SHARK BAY AIRPORT,15/06/2017,3.3,0.0, ,26.0,12.0,96,46,3.97,14.37
SHARK BAY AIRPORT,16/06/2017,4.0,0.2, ,26.3,13.0,88,38,4.96,14.61
SHARK BAY AIRPORT,17/06/2017,5.0,0.0, ,28.7,13.9,79,22,4.67,14.60
SHARK BAY AIRPORT,18/06/2017,5.0,0.0, ,28.2,11.8,81,22,4.88,14.59
SHARK BAY AIRPORT,19/06/2017,4.8,0.0, ,29.7,11.1,82,19,3.95,14.59
SHARK BAY AIRPORT,20/06/2017,4.9,0.0, ,27.3,12.0,82,22,4.97,14.33
SHARK BAY AIRPORT,21/06/2017,2.3,0.2, ,22.3,11.8,92,53,3.41,8.47
SHARK BAY AIRPORT,22/06/2017,2.7,0.6, ,21.5,11.4,93,41,3.49,12.96
SHARK BAY AIRPORT,23/06/2017,2.7,1.2, ,23.4,7.9,92,49,3.37,13.64
SHARK BAY AIRPORT,24/06/2017,4.1,0.2, ,25.4,9.7,96,23,4.34,14.62
SHARK BAY AIRPORT,25/06/2017,4.2,0.0, ,23.9,10.2,80,35,5.79,14.63
SHARK BAY AIRPORT,26/06/2017,4.0,0.0, ,22.1,8.3,80,28,5.20,14.65
SHARK BAY AIRPORT,27/06/2017,4.4,0.0, ,21.3,9.4,68,25,5.63,14.67
SHARK BAY AIRPORT,28/06/2017,4.6,0.0, ,21.7,10.3,63,22,5.46,14.69
SHARK BAY AIRPORT,29/06/2017,4.5,0.0, ,22.3,10.2,70,22,5.35,14.71
SHARK BAY AIRPORT,30/06/2017,3.2,0.0, ,22.8,4.8,84,23,2.90,14.73
Totals:,,128.2,5.4, ,,,,,, 
