'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHARK BAY AIRPORT Western Australia for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHARK BAY AIRPORT,01/06/2018,3.7,0.0, ,25.3,12.8,93,40,4.47,15.06
SHARK BAY AIRPORT,02/06/2018,4.7,0.0, ,27.5,11.7,86,23,4.53,15.01
SHARK BAY AIRPORT,03/06/2018,3.9,0.0, ,30.2,13.3,83,29,3.01,13.34
SHARK BAY AIRPORT,04/06/2018,2.8,0.4, ,22.7,19.0,87,48,4.60,5.78
SHARK BAY AIRPORT,05/06/2018,3.0,95.6, ,25.8,15.0,100,61,5.84,12.91
SHARK BAY AIRPORT,06/06/2018,2.6,0.6, ,23.4,16.6,93,47,3.17,11.32
SHARK BAY AIRPORT,07/06/2018,3.2,0.0, ,23.5,12.9,88,37,3.51,14.21
SHARK BAY AIRPORT,08/06/2018,2.9,0.4, ,23.0,11.5,93,40,3.08,14.29
SHARK BAY AIRPORT,09/06/2018,2.9,0.0, ,24.0,10.7,94,42,3.33,11.96
SHARK BAY AIRPORT,10/06/2018,3.0,0.0, ,25.1,13.9,98,43,3.64,12.42
SHARK BAY AIRPORT,11/06/2018,2.8,3.4, ,23.6,12.3,97,43,3.11,14.68
SHARK BAY AIRPORT,12/06/2018,3.1,0.2, ,22.6,11.4,89,42,3.88,13.62
SHARK BAY AIRPORT,13/06/2018,3.3,0.0, ,22.4,12.0,90,36,4.21,14.65
SHARK BAY AIRPORT,14/06/2018,3.7,0.0, ,22.2,12.2,82,33,4.69,14.64
SHARK BAY AIRPORT,15/06/2018,4.1,0.0, ,24.1,11.1,79,25,4.46,14.62
SHARK BAY AIRPORT,16/06/2018,4.0,0.0, ,25.6,7.7,85,21,3.72,14.61
SHARK BAY AIRPORT,17/06/2018,3.8,0.0, ,27.5,8.9,90,24,3.19,14.18
SHARK BAY AIRPORT,18/06/2018,1.7,3.0, ,19.4,17.6,100,64,3.79,6.04
SHARK BAY AIRPORT,19/06/2018,3.3,0.4, ,20.1,11.8,83,42,5.38,14.59
SHARK BAY AIRPORT,20/06/2018,3.5,0.2, ,21.8,8.6,90,33,4.54,14.59
SHARK BAY AIRPORT,21/06/2018,4.0,0.0, ,22.6,10.3,82,25,4.78,14.60
SHARK BAY AIRPORT,22/06/2018,4.1,0.0, ,22.4,10.6,83,25,5.00,14.40
SHARK BAY AIRPORT,23/06/2018,4.3,0.0, ,23.2,11.1,79,23,5.04,14.61
SHARK BAY AIRPORT,24/06/2018,4.2,0.0, ,23.2,8.6,81,22,4.68,14.62
SHARK BAY AIRPORT,25/06/2018,3.5,0.0, ,23.0,7.6,86,27,3.77,14.63
SHARK BAY AIRPORT,26/06/2018,3.0,0.0, ,24.0,7.5,90,31,2.76,14.65
SHARK BAY AIRPORT,27/06/2018,3.1,0.0, ,24.9,7.2,93,32,2.87,14.66
SHARK BAY AIRPORT,28/06/2018,2.9,0.0, ,24.0,11.2,87,49,3.35,14.62
SHARK BAY AIRPORT,29/06/2018,3.8,0.0, ,22.1,12.3,77,30,4.66,14.71
SHARK BAY AIRPORT,30/06/2018,3.8,0.0, ,25.5,9.5,85,25,3.60,14.74
Totals:,,102.7,104.2, ,,,,,, 
