'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SHARK BAY AIRPORT Western Australia for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SHARK BAY AIRPORT,01/08/2020,4.7,0.0, ,24.7,13.1,84,34,5.80,16.63
SHARK BAY AIRPORT,02/08/2020,4.2,0.0, ,23.7,12.2,87,41,5.81,17.04
SHARK BAY AIRPORT,03/08/2020,3.1,0.0, ,20.3,11.7,96,47,5.13,13.74
SHARK BAY AIRPORT,04/08/2020,3.1,1.8, ,22.5,13.0,95,56,4.80,15.56
SHARK BAY AIRPORT,05/08/2020,3.6,0.2, ,23.1,9.8,98,47,5.26,16.57
SHARK BAY AIRPORT,06/08/2020, ,0.2, , ,12.1,88,34,5.31,17.46
SHARK BAY AIRPORT,07/08/2020, , , ,24.7, ,83,32,4.54,12.01
SHARK BAY AIRPORT,08/08/2020,5.3,0.0, ,26.7,15.4,86,34,6.63,16.50
SHARK BAY AIRPORT,09/08/2020,2.9,21.0, ,21.4,18.1,98,58,9.01,7.94
SHARK BAY AIRPORT,10/08/2020,3.3,0.6, ,22.5,14.1,95,57,6.26,15.73
SHARK BAY AIRPORT,11/08/2020,3.3,0.2, ,22.4,15.4,93,54,4.49,16.31
SHARK BAY AIRPORT,12/08/2020,2.8,0.4, ,21.6,13.9,98,54,3.15,15.77
SHARK BAY AIRPORT,13/08/2020,3.2,0.2, ,20.9,10.9,96,42,3.47,17.79
SHARK BAY AIRPORT,14/08/2020,3.5,0.0, ,22.4,8.9,97,34,3.09,18.40
SHARK BAY AIRPORT,15/08/2020,3.5,0.0, ,24.6,6.7,98,50,4.77,14.04
SHARK BAY AIRPORT,16/08/2020,3.8,5.0, ,20.6,15.4,97,43,6.37,18.47
SHARK BAY AIRPORT,17/08/2020,3.2,0.2, ,20.5,8.9,90,45,3.75,16.59
SHARK BAY AIRPORT,18/08/2020,3.0,0.0, ,21.8,10.6,98,49,3.48,15.74
SHARK BAY AIRPORT,19/08/2020,3.7,0.0, ,20.6,12.7,83,41,5.03,14.68
SHARK BAY AIRPORT,20/08/2020,4.5,0.0, ,24.1,13.6,69,28,4.18,14.72
SHARK BAY AIRPORT,21/08/2020,2.9,0.0, ,21.6,15.5,79,42,3.19,8.02
SHARK BAY AIRPORT,22/08/2020,4.4,0.0, ,26.2,13.4,87,31,4.07,15.69
SHARK BAY AIRPORT,23/08/2020,4.2,0.0, ,25.0,15.0,89,51,5.24,19.01
SHARK BAY AIRPORT,24/08/2020,4.2,0.0, ,23.2,12.4,93,42,5.03,19.71
SHARK BAY AIRPORT,25/08/2020,4.6,0.0, ,24.9,12.4,92,43,5.95,19.85
SHARK BAY AIRPORT,26/08/2020,5.6,0.0, ,24.9,13.2,85,28,6.50,19.98
SHARK BAY AIRPORT,27/08/2020,5.1,0.0, ,26.6,13.4,93,28,4.79,19.54
SHARK BAY AIRPORT,28/08/2020,3.6,0.0, ,24.7,15.6,99,60,4.70,18.86
SHARK BAY AIRPORT,29/08/2020,4.5,0.2, ,23.6,13.7,96,40,5.73,19.99
SHARK BAY AIRPORT,30/08/2020,5.8,0.0, ,27.2,11.6,81,22,4.89,20.54
SHARK BAY AIRPORT,31/08/2020,4.4,0.0, ,27.0,10.6,98,43,3.81,20.67
Totals:,,114,30, ,,,,,, 
