'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/07/2011,1.9,5.0, ,15.1,7.4,98,54,4.80,12.42
SOUTHERN CROSS AIRFIELD,02/07/2011,1.5,0.0, ,13.8,7.3,96,67,5.12,9.11
SOUTHERN CROSS AIRFIELD,03/07/2011,1.5,0.4, ,12.7,4.1,98,55,4.01,10.31
SOUTHERN CROSS AIRFIELD,04/07/2011,1.5,0.2, ,12.8,-0.6,98,46,2.49,13.54
SOUTHERN CROSS AIRFIELD,05/07/2011,1.4,0.2, ,12.3,1.6,98,51,2.65,10.13
SOUTHERN CROSS AIRFIELD,06/07/2011,1.9,0.0, ,14.2,3.5,98,48,4.34,11.97
SOUTHERN CROSS AIRFIELD,07/07/2011,1.5,0.2, ,13.4,2.4,98,50,2.69,11.10
SOUTHERN CROSS AIRFIELD,08/07/2011,2.0,0.0, ,13.8,4.7,83,45,3.70,11.09
SOUTHERN CROSS AIRFIELD,09/07/2011,2.0,0.0, ,13.5,7.6,89,43,4.20,11.48
SOUTHERN CROSS AIRFIELD,10/07/2011,1.9,0.0, ,13.8,6.2,93,49,4.48,8.06
SOUTHERN CROSS AIRFIELD,11/07/2011,0.7,8.2, ,9.6,7.9,97,87,5.12,5.24
SOUTHERN CROSS AIRFIELD,12/07/2011,1.5,5.6, ,14.8,8.0,97,63,3.50,9.95
SOUTHERN CROSS AIRFIELD,13/07/2011,1.4,0.0, ,15.5,6.6,98,60,2.27,11.14
SOUTHERN CROSS AIRFIELD,14/07/2011,2.4,0.0, ,19.8,9.5,97,44,3.49,13.35
SOUTHERN CROSS AIRFIELD,15/07/2011,2.9,0.0, ,21.3,10.9,98,46,6.13,9.04
SOUTHERN CROSS AIRFIELD,16/07/2011,1.8,7.4, ,15.7,9.3,98,54,3.32,13.08
SOUTHERN CROSS AIRFIELD,17/07/2011,1.8,0.2, ,15.2,4.2,97,50,3.59,10.73
SOUTHERN CROSS AIRFIELD,18/07/2011,1.3,0.0, ,13.2,8.0,97,70,4.49,6.18
SOUTHERN CROSS AIRFIELD,19/07/2011,1.0,0.0, ,12.9,8.0,98,83,2.73,8.67
SOUTHERN CROSS AIRFIELD,20/07/2011,1.4,0.4, ,18.8,4.1,98,46,1.66,2.34
SOUTHERN CROSS AIRFIELD,21/07/2011,2.2,0.0, ,20.3,7.0,97,42,2.40,13.54
SOUTHERN CROSS AIRFIELD,22/07/2011,2.2,0.2, ,18.3,7.9,98,43,3.18,14.01
SOUTHERN CROSS AIRFIELD,23/07/2011,1.8,0.0, ,19.3,4.3,97,51,1.91,14.19
SOUTHERN CROSS AIRFIELD,24/07/2011,2.6,0.0, ,21.1,4.9,97,38,3.34,11.31
SOUTHERN CROSS AIRFIELD,25/07/2011,3.0,0.0, ,23.3,10.1,96,38,4.06,10.44
SOUTHERN CROSS AIRFIELD,26/07/2011,1.3,0.0, ,17.4,8.6,98,63,1.87,6.16
SOUTHERN CROSS AIRFIELD,27/07/2011,2.8,0.6, ,23.4,6.8,98,43,3.36,13.03
SOUTHERN CROSS AIRFIELD,28/07/2011,3.2,0.4, ,19.7,11.3,97,49,8.82,11.27
SOUTHERN CROSS AIRFIELD,29/07/2011,4.3,10.6, ,17.7,10.6,65,33,8.34,13.03
SOUTHERN CROSS AIRFIELD,30/07/2011,3.7,0.2, ,18.8,8.5,65,38,6.24,10.62
SOUTHERN CROSS AIRFIELD,31/07/2011,5.1,0.2, ,20.6,12.2,65,30,9.19,10.94
Totals:,,65.5,40, ,,,,,, 
