'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for May 2013,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 June 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/05/2013,5.3,0.0, ,31.3,17.9,75,21,4.20,12.99
SOUTHERN CROSS AIRFIELD,02/05/2013,2.7,0.6, ,21.9,18.2,84,51,4.78,4.77
SOUTHERN CROSS AIRFIELD,03/05/2013,2.2,0.2, ,20.4,12.4,95,53,2.94,9.87
SOUTHERN CROSS AIRFIELD,04/05/2013,3.7,0.0, ,24.3,13.4,89,42,4.58,16.65
SOUTHERN CROSS AIRFIELD,05/05/2013,4.5,0.0, ,28.3,12.9,93,29,4.26,16.23
SOUTHERN CROSS AIRFIELD,06/05/2013,4.0,0.0, ,29.2,10.2,63,23,2.81,10.86
SOUTHERN CROSS AIRFIELD,07/05/2013,4.5,0.0, ,27.7,14.8,53,27,3.77,10.83
SOUTHERN CROSS AIRFIELD,08/05/2013,3.7,1.0, ,20.8,17.7,91,41,8.61,6.57
SOUTHERN CROSS AIRFIELD,09/05/2013,3.8,6.6, ,19.8,10.4,85,42,7.86,13.59
SOUTHERN CROSS AIRFIELD,10/05/2013,3.1,0.2, ,18.7,10.2,93,40,5.30,14.12
SOUTHERN CROSS AIRFIELD,11/05/2013,3.0,0.0, ,18.9,9.2,91,38,4.38,15.28
SOUTHERN CROSS AIRFIELD,12/05/2013,2.3,0.0, ,18.8,3.6,91,43,2.62,14.07
SOUTHERN CROSS AIRFIELD,13/05/2013,2.6,0.0, ,18.6,6.6,92,42,3.70,15.72
SOUTHERN CROSS AIRFIELD,14/05/2013,2.3,0.0, ,18.3,7.2,90,49,3.45,12.18
SOUTHERN CROSS AIRFIELD,15/05/2013,2.3,0.0, ,20.5,3.2,89,37,1.91,15.66
SOUTHERN CROSS AIRFIELD,16/05/2013,3.5,0.0, ,23.1,3.5,81,24,3.39,15.54
SOUTHERN CROSS AIRFIELD,17/05/2013,3.6,0.2, ,22.1,10.4,70,32,4.06,14.96
SOUTHERN CROSS AIRFIELD,18/05/2013,2.1,0.0, ,20.1,2.9,80,40,1.82,13.48
SOUTHERN CROSS AIRFIELD,19/05/2013,2.5,0.2, ,21.2,8.3,93,42,2.90,14.21
SOUTHERN CROSS AIRFIELD,20/05/2013,2.3,0.0, ,17.9,11.8,87,51,3.84,10.81
SOUTHERN CROSS AIRFIELD,21/05/2013,3.4,1.6, ,19.7,8.8,90,38,6.13,14.83
SOUTHERN CROSS AIRFIELD,22/05/2013,1.8,0.0, ,16.6,3.3,96,49,2.44,11.93
SOUTHERN CROSS AIRFIELD,23/05/2013,2.5,0.0, ,19.6,1.7,93,36,2.83,15.20
SOUTHERN CROSS AIRFIELD,24/05/2013,3.1,0.0, ,19.8,6.0,91,34,4.48,15.00
SOUTHERN CROSS AIRFIELD,25/05/2013,3.4,0.0, ,21.8,3.3,87,29,4.07,14.09
SOUTHERN CROSS AIRFIELD,26/05/2013,3.7,0.0, ,25.0,11.6,59,21,3.32,11.33
SOUTHERN CROSS AIRFIELD,27/05/2013,3.9,0.0, ,26.9,8.6,93,27,4.21,10.59
SOUTHERN CROSS AIRFIELD,28/05/2013,2.2,2.6, ,20.8,12.7,94,45,2.76,12.67
SOUTHERN CROSS AIRFIELD,29/05/2013,1.5,2.4, ,17.4,9.3,94,68,3.30,8.20
SOUTHERN CROSS AIRFIELD,30/05/2013,1.8,2.0, ,16.4,5.4,94,62,5.00,7.72
SOUTHERN CROSS AIRFIELD,31/05/2013,2.1,0.0, ,13.7,4.8,95,48,5.71,13.22
Totals:,,93.4,17.6, ,,,,,, 
