'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/01/2015,10.2,0.0, ,36.6,14.5,75,8,4.66,32.64
SOUTHERN CROSS AIRFIELD,02/01/2015,10.6,0.0, ,36.5,19.3,66,13,6.54,25.45
SOUTHERN CROSS AIRFIELD,03/01/2015,10.2,0.0, ,32.7,16.9,71,14,6.75,32.09
SOUTHERN CROSS AIRFIELD,04/01/2015,10.7,0.0, ,37.5,17.3,58,10,4.85,32.79
SOUTHERN CROSS AIRFIELD,05/01/2015,12.6,0.0, ,40.8,24.7,35,10,5.80,31.67
SOUTHERN CROSS AIRFIELD,06/01/2015,11.6,0.0, ,41.8,22.0,24,7,4.45,31.80
SOUTHERN CROSS AIRFIELD,07/01/2015,10.3,0.0, ,33.5,21.4,62,26,9.24,23.89
SOUTHERN CROSS AIRFIELD,08/01/2015,10.1,0.0, ,30.6,15.6,72,21,9.43,30.96
SOUTHERN CROSS AIRFIELD,09/01/2015,8.7,0.0, ,27.0,12.9,64,26,9.35,29.08
SOUTHERN CROSS AIRFIELD,10/01/2015,8.2,0.0, ,27.5,12.5,76,21,7.10,29.69
SOUTHERN CROSS AIRFIELD,11/01/2015,7.7,0.0, ,28.7,14.0,62,17,4.35,29.31
SOUTHERN CROSS AIRFIELD,12/01/2015,8.8,0.0, ,34.3,14.8,59,8,3.62,31.74
SOUTHERN CROSS AIRFIELD,13/01/2015,10.9,0.0, ,40.5,19.0,42,7,4.47,29.92
SOUTHERN CROSS AIRFIELD,14/01/2015,14.3,0.0, ,42.5,24.6,65,7,7.85,31.17
SOUTHERN CROSS AIRFIELD,15/01/2015,10.2,0.0, ,33.8,18.0,76,18,7.11,31.07
SOUTHERN CROSS AIRFIELD,16/01/2015,9.9,0.0, ,34.4,13.7,79,8,5.11,32.90
SOUTHERN CROSS AIRFIELD,17/01/2015,11.8,0.0, ,38.7,17.7,62,13,6.53,30.49
SOUTHERN CROSS AIRFIELD,18/01/2015,14.6,0.0, ,41.8,23.2,23,5,7.26,30.18
SOUTHERN CROSS AIRFIELD,19/01/2015,11.2,0.0, ,38.4,20.1,26,8,5.11,29.61
SOUTHERN CROSS AIRFIELD,20/01/2015,9.3,0.0, ,42.2,20.9,36,7,2.86,30.50
SOUTHERN CROSS AIRFIELD,21/01/2015,13.2,0.0, ,46.3,25.1,38,6,5.57,26.08
SOUTHERN CROSS AIRFIELD,22/01/2015,5.8,0.0, ,28.0,21.0,66,28,5.65,8.69
SOUTHERN CROSS AIRFIELD,23/01/2015,8.6,0.0, ,33.6,16.1,67,12,4.95,22.96
SOUTHERN CROSS AIRFIELD,24/01/2015,10.4,0.0, ,34.1,16.2,70,8,6.29,30.18
SOUTHERN CROSS AIRFIELD,25/01/2015,9.9,0.0, ,32.7,14.7,70,15,6.62,31.02
SOUTHERN CROSS AIRFIELD,26/01/2015,10.2,0.0, ,34.1,16.0,53,18,6.20,30.98
SOUTHERN CROSS AIRFIELD,27/01/2015,10.9,0.0, ,37.0,20.0,33,12,5.45,28.98
SOUTHERN CROSS AIRFIELD,28/01/2015,11.0,0.0, ,38.2,22.8,27,10,5.30,26.82
SOUTHERN CROSS AIRFIELD,29/01/2015,10.7,0.0, ,39.2,22.1,22,9,4.77,25.85
SOUTHERN CROSS AIRFIELD,30/01/2015,10.0,0.0, ,35.3,24.9,40,14,6.96,13.13
SOUTHERN CROSS AIRFIELD,31/01/2015,7.3,0.0, ,29.4,17.8,65,24,6.52,15.85
Totals:,,319.9,0, ,,,,,, 
