'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SOUTHERN CROSS AIRFIELD Western Australia for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SOUTHERN CROSS AIRFIELD,01/11/2015,5.3,0.0, ,27.8,15.5,78,27,4.43,13.46
SOUTHERN CROSS AIRFIELD,02/11/2015,4.7,0.0, ,22.5,15.8,88,41,5.92,17.37
SOUTHERN CROSS AIRFIELD,03/11/2015,5.9,1.2, ,25.3,10.7,88,25,3.56,27.85
SOUTHERN CROSS AIRFIELD,04/11/2015,6.3,0.0, ,29.9,10.3,77,17,2.37,29.33
SOUTHERN CROSS AIRFIELD,05/11/2015,12.0,0.0, ,37.9,17.7,45,7,6.81,26.73
SOUTHERN CROSS AIRFIELD,06/11/2015,6.9,0.0, ,30.5,16.7,90,22,5.29,20.00
SOUTHERN CROSS AIRFIELD,07/11/2015,4.2,7.6, ,24.3,14.3,91,43,4.16,15.60
SOUTHERN CROSS AIRFIELD,08/11/2015,6.6,0.0, ,29.2,16.1,82,31,4.84,23.87
SOUTHERN CROSS AIRFIELD,09/11/2015,7.5,0.0, ,29.1,13.7,78,32,6.19,28.08
SOUTHERN CROSS AIRFIELD,10/11/2015,7.1,0.0, ,30.6,14.6,77,25,3.78,28.07
SOUTHERN CROSS AIRFIELD,11/11/2015,8.5,0.0, ,35.1,16.6,75,16,3.98,29.03
SOUTHERN CROSS AIRFIELD,12/11/2015, ,0.0, , ,16.2,81,14,5.03,27.26
SOUTHERN CROSS AIRFIELD,13/11/2015, , , ,35.4, ,70,16,4.33,25.73
SOUTHERN CROSS AIRFIELD,14/11/2015,9.9,0.0, ,37.1,20.9,80,13,5.39,28.14
SOUTHERN CROSS AIRFIELD,15/11/2015,10.9,2.0, ,39.2,19.1,68,16,5.76,29.16
SOUTHERN CROSS AIRFIELD,16/11/2015,9.4,0.0, ,37.3,15.6,68,12,4.07,30.71
SOUTHERN CROSS AIRFIELD,17/11/2015,13.4,0.0, ,38.2,18.2,64,6,8.59,29.78
SOUTHERN CROSS AIRFIELD,18/11/2015,4.8,0.0, ,23.3,14.9,73,29,5.61,8.28
SOUTHERN CROSS AIRFIELD,19/11/2015,7.2,0.0, ,25.0,9.5,71,18,5.10,31.70
SOUTHERN CROSS AIRFIELD,20/11/2015,8.7,0.0, ,29.3,11.0,75,13,5.83,31.16
SOUTHERN CROSS AIRFIELD,21/11/2015,8.6,0.0, ,30.6,14.7,53,10,5.12,25.56
SOUTHERN CROSS AIRFIELD,22/11/2015,9.3,0.0, ,34.6,18.1,34,15,5.08,22.79
SOUTHERN CROSS AIRFIELD,23/11/2015,8.5,0.0, ,37.2,18.0,68,15,5.31,14.27
SOUTHERN CROSS AIRFIELD,24/11/2015,8.1,7.4, ,30.2,19.1,78,24,6.09,26.68
SOUTHERN CROSS AIRFIELD,25/11/2015,7.9,0.0, ,28.9,9.9,83,23,5.64,31.60
SOUTHERN CROSS AIRFIELD,26/11/2015,7.7,0.0, ,29.3,11.6,69,25,5.73,25.39
SOUTHERN CROSS AIRFIELD,27/11/2015,9.9,0.0, ,34.7,18.8,53,18,5.76,28.11
SOUTHERN CROSS AIRFIELD,28/11/2015,8.7,0.0, ,34.3,15.5,72,19,4.24,30.44
SOUTHERN CROSS AIRFIELD,29/11/2015,8.4,0.0, ,33.1,15.4,75,23,4.95,27.76
SOUTHERN CROSS AIRFIELD,30/11/2015,8.8,0.0, ,28.8,14.6,69,17,6.33,31.67
Totals:,,225.2,18.2, ,,,,,, 
