'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/11/2011,7.5,0.0, ,32.1,16.2,67,29,4.20,28.01
SWANBOURNE,02/11/2011,6.5,0.0, ,33.6,19.8,85,31,3.70,21.38
SWANBOURNE,03/11/2011,2.3,2.6, ,25.4,20.5,95,66,2.87,7.32
SWANBOURNE,04/11/2011,4.6,6.8, ,24.1,17.4,95,62,5.03,24.19
SWANBOURNE,05/11/2011,3.7,0.0, ,21.6,16.1,92,64,5.13,19.12
SWANBOURNE,06/11/2011,4.7,3.8, ,22.0,16.9,76,55,5.18,21.02
SWANBOURNE,07/11/2011,4.8,0.4, ,22.4,16.1,93,58,8.44,25.41
SWANBOURNE,08/11/2011,5.1,15.4, ,21.0,15.1,89,50,9.07,25.05
SWANBOURNE,09/11/2011,5.0,2.4, ,22.3,12.5,86,44,3.35,27.88
SWANBOURNE,10/11/2011,4.9,0.0, ,23.0,11.7,86,52,2.82,28.32
SWANBOURNE,11/11/2011,5.2,0.0, ,23.3,12.8,91,54,4.79,29.76
SWANBOURNE,12/11/2011,5.6,0.0, ,23.0,13.4,84,43,4.17,30.20
SWANBOURNE,13/11/2011,5.2,0.0, ,22.9,17.5,72,58,4.75,24.92
SWANBOURNE,14/11/2011,4.9,0.0, ,23.9,18.4,86,61,4.53,25.36
SWANBOURNE,15/11/2011,6.0,0.2, ,23.8,11.5,81,40,4.54,31.79
SWANBOURNE,16/11/2011,5.2,0.0, ,22.7,12.5,86,55,3.34,31.54
SWANBOURNE,17/11/2011,4.6,0.0, ,23.9,17.7,95,65,6.81,24.79
SWANBOURNE,18/11/2011,5.6,3.0, ,21.9,14.0,73,49,4.70,29.83
SWANBOURNE,19/11/2011,6.5,0.0, ,24.4,10.9,78,35,5.24,32.15
SWANBOURNE,20/11/2011,7.6,0.0, ,28.4,13.5,78,31,5.70,32.00
SWANBOURNE,21/11/2011,7.1,0.0, ,27.5,14.8,74,34,4.69,31.95
SWANBOURNE,22/11/2011,9.5,0.0, ,33.5,16.7,61,18,5.04,32.80
SWANBOURNE,23/11/2011,9.7,0.0, ,35.5,18.7,59,16,4.38,32.93
SWANBOURNE,24/11/2011,9.2,0.0, ,36.0,21.5,88,15,4.55,30.37
SWANBOURNE,25/11/2011,5.6,0.0, ,26.1,19.9,94,63,4.12,30.10
SWANBOURNE,26/11/2011,5.8,0.0, ,23.7,15.0,83,52,6.13,29.81
SWANBOURNE,27/11/2011,6.1,0.0, ,24.0,14.6,68,43,5.33,27.36
SWANBOURNE,28/11/2011,5.9,0.0, ,22.4,13.6,88,38,5.33,30.24
SWANBOURNE,29/11/2011,6.7,0.6, ,24.3,12.8,89,28,5.39,32.46
SWANBOURNE,30/11/2011,8.5,0.0, ,28.5,12.7,61,23,5.72,33.36
Totals:,,179.6,35.2, ,,,,,, 
