'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/12/2015,7.8,0.0, ,28.1,13.9,72,21,4.81,32.21
SWANBOURNE,02/12/2015,9.1,0.0, ,34.4,16.7,55,19,4.68,28.64
SWANBOURNE,03/12/2015,5.7,0.2, ,24.5,20.7,90,46,4.71,26.95
SWANBOURNE,04/12/2015,5.2,0.0, ,22.9,16.4,83,53,5.71,24.41
SWANBOURNE,05/12/2015,3.9,10.6, ,20.1,12.1,98,51,5.53,18.94
SWANBOURNE,06/12/2015,3.5,6.6, ,22.0,11.6,90,60,6.97,11.94
SWANBOURNE,07/12/2015,5.2,0.6, ,22.6,15.5,91,50,4.85,27.12
SWANBOURNE,08/12/2015,5.6,0.0, ,22.2,12.0,79,50,4.45,32.21
SWANBOURNE,09/12/2015,5.4,0.0, ,23.3,15.2,97,50,4.38,30.21
SWANBOURNE,10/12/2015,6.6,0.0, ,24.2,14.4,72,42,5.66,31.54
SWANBOURNE,11/12/2015,8.7,0.0, ,30.2,16.3,70,20,5.53,31.92
SWANBOURNE,12/12/2015,5.0,0.0, ,24.2,17.4,85,53,5.03,22.52
SWANBOURNE,13/12/2015,5.7,0.0, ,24.0,17.0,89,59,4.40,32.03
SWANBOURNE,14/12/2015,6.0,0.0, ,23.8,15.3,79,52,4.40,32.28
SWANBOURNE,15/12/2015,6.0,0.0, ,25.0,15.1,81,54,4.38,32.24
SWANBOURNE,16/12/2015,6.4,0.0, ,24.5,16.8,77,53,6.46,32.41
SWANBOURNE,17/12/2015,6.2,0.0, ,25.2,17.3,81,54,4.89,31.89
SWANBOURNE,18/12/2015,6.1,0.0, ,24.5,17.3,83,52,5.23,31.30
SWANBOURNE,19/12/2015,6.4,0.0, ,21.5,14.6,80,38,7.27,31.79
SWANBOURNE,20/12/2015,8.5,0.0, ,29.6,15.5,72,19,5.14,32.79
SWANBOURNE,21/12/2015,9.9,0.0, ,33.9,17.9,55,21,5.66,31.80
SWANBOURNE,22/12/2015,8.7,0.0, ,36.4,23.5,86,25,3.83,31.29
SWANBOURNE,23/12/2015,9.6,0.0, ,38.3,22.2,90,22,4.68,31.05
SWANBOURNE,24/12/2015,6.2,0.0, ,23.7,18.3,94,49,7.81,32.37
SWANBOURNE,25/12/2015,7.3,0.0, ,24.6,13.5,67,28,5.34,33.23
SWANBOURNE,26/12/2015,8.5,0.0, ,30.7,13.9,69,23,5.07,32.31
SWANBOURNE,27/12/2015,9.9,0.0, ,36.5,17.9,62,10,4.17,33.15
SWANBOURNE,28/12/2015,9.6,0.0, ,35.9,20.0,56,10,3.92,32.52
SWANBOURNE,29/12/2015,7.0,0.0, ,26.9,23.7,80,27,4.35,27.91
SWANBOURNE,30/12/2015,6.5,0.0, ,28.2,19.9,83,40,4.62,25.99
SWANBOURNE,31/12/2015,9.0,0.0, ,32.2,17.8,69,24,5.83,29.97
Totals:,,215.2,18, ,,,,,, 
