'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/03/2016,4.8,0.0, ,23.7,15.7,98,47,4.39,25.47
SWANBOURNE,02/03/2016,5.2,0.0, ,25.6,15.0,74,47,3.39,25.60
SWANBOURNE,03/03/2016,4.6,0.0, ,24.7,16.7,79,65,4.78,23.04
SWANBOURNE,04/03/2016,5.0,0.0, ,24.5,15.8,84,52,4.95,24.84
SWANBOURNE,05/03/2016,5.5,0.0, ,27.0,16.6,86,41,4.13,24.91
SWANBOURNE,06/03/2016,6.3,0.0, ,29.8,18.2,77,37,4.61,24.27
SWANBOURNE,07/03/2016,7.8,0.0, ,33.2,19.6,70,28,5.48,23.64
SWANBOURNE,08/03/2016,6.7,0.0, ,32.9,20.6,71,29,3.68,24.33
SWANBOURNE,09/03/2016,6.2,0.0, ,33.7,19.0,76,27,2.84,24.31
SWANBOURNE,10/03/2016,4.0,0.0, ,26.2,19.0,98,54,3.71,18.51
SWANBOURNE,11/03/2016,4.8,0.0, ,25.8,18.1,80,47,4.69,19.34
SWANBOURNE,12/03/2016,5.8,0.0, ,29.8,19.8,84,42,4.51,23.03
SWANBOURNE,13/03/2016,8.0,0.0, ,39.6,21.2,81,14,3.89,21.56
SWANBOURNE,14/03/2016,9.7,0.0, ,40.7,26.8,65,13,5.18,22.05
SWANBOURNE,15/03/2016,4.0,0.0, ,27.2,22.3,98,60,3.79,18.55
SWANBOURNE,16/03/2016,5.2,0.0, ,24.2,19.7,83,45,6.91,20.35
SWANBOURNE,17/03/2016,6.2,0.0, ,28.2,15.9,69,23,4.60,20.68
SWANBOURNE,18/03/2016,6.3,0.0, ,29.9,17.1,60,33,4.91,19.51
SWANBOURNE,19/03/2016,3.0,0.0, ,26.1,20.5,86,47,3.74,4.74
SWANBOURNE,20/03/2016,4.7,0.2, ,28.3,18.9,86,51,3.46,21.46
SWANBOURNE,21/03/2016,4.4,0.0, ,29.4,21.2,87,46,3.77,15.28
SWANBOURNE,22/03/2016,3.6,0.0, ,27.0,20.4,75,51,3.70,9.78
SWANBOURNE,23/03/2016,3.6,0.0, ,23.6,19.2,75,57,5.12,10.31
SWANBOURNE,24/03/2016,4.8,0.0, ,27.1,18.7,77,50,5.20,17.07
SWANBOURNE,25/03/2016,5.5,0.0, ,33.6,21.2,99,40,4.54,17.55
SWANBOURNE,26/03/2016,1.1,14.8, ,22.9,19.8,99,92,2.79,4.64
SWANBOURNE,27/03/2016,3.4,11.6, ,23.9,16.6,99,50,4.55,13.56
SWANBOURNE,28/03/2016,4.3,0.0, ,25.5,14.0,89,37,3.12,21.01
SWANBOURNE,29/03/2016,4.8,0.0, ,27.2,14.0,83,35,3.57,21.07
SWANBOURNE,30/03/2016,4.5,0.0, ,27.3,15.0,89,39,3.09,20.98
SWANBOURNE,31/03/2016,3.8,0.0, ,24.0,17.1,84,63,3.91,20.24
Totals:,,157.6,26.6, ,,,,,, 
