'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/09/2016,2.6,3.0, ,15.8,7.2,97,51,3.08,18.49
SWANBOURNE,02/09/2016,2.2,0.0, ,17.5,8.7,98,49,2.15,13.25
SWANBOURNE,03/09/2016,2.7,1.0, ,18.0,8.2,98,54,2.87,18.41
SWANBOURNE,04/09/2016,3.3,0.0, ,20.3,10.3,91,40,3.59,15.62
SWANBOURNE,05/09/2016,2.6,0.0, ,17.7,10.0,98,65,3.61,19.14
SWANBOURNE,06/09/2016,2.7,0.2, ,19.1,10.2,98,61,4.38,16.44
SWANBOURNE,07/09/2016,3.6,9.4, ,17.5,12.8,98,47,10.33,16.43
SWANBOURNE,08/09/2016,3.4,4.6, ,17.2,11.4,82,45,4.97,17.36
SWANBOURNE,09/09/2016,2.2,0.0, ,18.7,10.2,98,58,2.38,12.40
SWANBOURNE,10/09/2016,2.4,1.2, ,18.8,12.1,99,68,2.66,15.92
SWANBOURNE,11/09/2016,3.0,0.0, ,16.6,11.0,85,48,4.96,13.26
SWANBOURNE,12/09/2016,4.4,0.0, ,17.6,9.2,66,37,6.30,19.54
SWANBOURNE,13/09/2016,4.1,0.0, ,17.3,8.6,69,30,4.54,20.15
SWANBOURNE,14/09/2016,3.6,0.0, ,18.8,6.8,82,38,3.62,20.23
SWANBOURNE,15/09/2016,2.9,0.0, ,18.7,6.9,97,52,5.09,13.04
SWANBOURNE,16/09/2016,3.1,10.8, ,16.1,7.7,94,48,4.35,20.33
SWANBOURNE,17/09/2016,3.3,0.0, ,17.9,7.3,82,38,3.18,18.53
SWANBOURNE,18/09/2016,3.2,0.0, ,17.5,6.7,98,45,6.55,12.72
SWANBOURNE,19/09/2016,2.4,15.6, ,15.0,7.3,90,64,4.37,15.48
SWANBOURNE,20/09/2016,3.2,0.0, ,19.1,8.3,97,44,2.48,19.58
SWANBOURNE,21/09/2016,3.2,0.0, ,19.1,8.0,93,56,2.77,21.92
SWANBOURNE,22/09/2016,2.4,0.0, ,18.1,9.8,98,59,4.56,10.48
SWANBOURNE,23/09/2016,3.5,10.0, ,15.6,10.0,82,47,6.49,17.64
SWANBOURNE,24/09/2016,3.0,1.2, ,17.2,7.9,88,51,3.13,18.77
SWANBOURNE,25/09/2016,3.3,22.2, ,16.7,9.7,98,47,4.03,20.53
SWANBOURNE,26/09/2016,2.8,0.0, ,18.0,8.0,94,52,4.11,13.03
SWANBOURNE,27/09/2016,3.5,2.8, ,19.0,13.4,98,53,9.33,14.86
SWANBOURNE,28/09/2016, ,8.0, , ,7.8,76,46,4.46,19.83
SWANBOURNE,29/09/2016, , , ,17.4, ,84,39,3.39,23.20
SWANBOURNE,30/09/2016,3.1,0.0, ,19.1,9.8,98,59,5.87,17.13
Totals:,,85.7,90, ,,,,,, 
