'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWANBOURNE Western Australia for May 2018,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 June 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWANBOURNE,01/05/2018,3.2,0.0, ,20.2,15.4,89,38,4.38,14.31
SWANBOURNE,02/05/2018,3.2,0.0, ,19.3,13.3,88,45,6.12,11.14
SWANBOURNE,03/05/2018,2.9,1.0, ,20.0,11.3,72,42,3.32,12.68
SWANBOURNE,04/05/2018,2.9,0.0, ,21.6,9.0,90,29,2.79,13.31
SWANBOURNE,05/05/2018,5.4,0.0, ,28.9,10.1,75,7,4.09,14.60
SWANBOURNE,06/05/2018,4.0,1.4, ,22.1,17.2,99,26,6.79,9.05
SWANBOURNE,07/05/2018,2.6,0.2, ,20.6,11.4,91,42,2.94,13.60
SWANBOURNE,08/05/2018,2.7,0.0, ,20.8,10.9,96,48,4.14,14.23
SWANBOURNE,09/05/2018,3.4,0.0, ,24.2,12.3,82,34,3.45,13.79
SWANBOURNE,10/05/2018,4.3,0.0, ,24.3,14.9,74,38,5.69,12.71
SWANBOURNE,11/05/2018,5.1,0.0, ,29.2,16.0,62,28,4.57,13.93
SWANBOURNE,12/05/2018,4.2,0.0, ,30.4,18.8,71,25,3.18,13.49
SWANBOURNE,13/05/2018,2.3,0.0, ,23.3,16.6,93,60,2.93,12.08
SWANBOURNE,14/05/2018,3.6,0.0, ,26.2,15.4,93,39,4.43,13.51
SWANBOURNE,15/05/2018,4.6,0.0, ,27.5,14.3,75,27,4.56,13.54
SWANBOURNE,16/05/2018,3.8,0.0, ,26.1,14.1,66,27,3.30,13.06
SWANBOURNE,17/05/2018,3.5,0.0, ,25.3,11.9,68,29,3.24,13.35
SWANBOURNE,18/05/2018,3.5,0.0, ,24.2,12.0,58,29,3.18,13.24
SWANBOURNE,19/05/2018,3.2,0.0, ,24.1,9.3,70,27,2.81,13.16
SWANBOURNE,20/05/2018,3.3,0.0, ,24.1,10.1,65,26,2.91,13.09
SWANBOURNE,21/05/2018,3.6,0.0, ,25.8,11.1,64,27,3.26,13.01
SWANBOURNE,22/05/2018,4.3,0.0, ,27.3,13.4,68,23,4.00,12.93
SWANBOURNE,23/05/2018,5.0,0.0, ,28.1,13.5,43,13,3.89,12.57
SWANBOURNE,24/05/2018,4.7,0.0, ,26.8,14.7,100,22,6.22,8.46
SWANBOURNE,25/05/2018,2.7,41.4, ,19.6,14.1,99,60,11.82,10.00
SWANBOURNE,26/05/2018,2.5,21.6, ,19.6,12.9,98,60,10.28,5.26
SWANBOURNE,27/05/2018,2.6,2.8, ,21.6,15.8,98,60,7.45,10.20
SWANBOURNE,28/05/2018,1.6,1.4, ,18.0,11.9,90,51,2.18,6.67
SWANBOURNE,29/05/2018,1.9,0.6, ,20.4,9.6,98,50,2.45,11.21
SWANBOURNE,30/05/2018,3.3,0.0, ,22.8,8.8,88,25,3.75,11.93
SWANBOURNE,31/05/2018,2.2,0.0, ,19.0,13.2,98,48,4.87,4.67
Totals:,,106.1,70.4, ,,,,,, 
