'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TELFER AERO Western Australia for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TELFER AERO,01/05/2012,6.4,0.0, ,33.8,15.3,47,14,3.56,19.59
TELFER AERO,02/05/2012,8.1,0.0, ,34.0,18.3,53,16,5.80,19.22
TELFER AERO,03/05/2012,7.7,0.0, ,32.8,17.7,49,17,5.52,19.49
TELFER AERO,04/05/2012,6.6,0.0, ,32.5,16.7,46,15,4.05,19.45
TELFER AERO,05/05/2012,5.2,0.0, ,32.7,13.6,47,15,2.61,18.65
TELFER AERO,06/05/2012,5.2,0.0, ,33.7,15.4,44,17,2.52,18.63
TELFER AERO,07/05/2012,5.7,0.0, ,33.8,17.9,44,19,3.11,18.15
TELFER AERO,08/05/2012,5.9,0.0, ,34.0,21.9,64,21,3.52,17.94
TELFER AERO,09/05/2012,7.0,0.0, ,34.2,20.5,43,17,4.40,17.83
TELFER AERO,10/05/2012,7.2,0.0, ,34.9,19.5,44,10,4.30,17.41
TELFER AERO,11/05/2012,8.0,0.0, ,35.0,18.7,41,10,5.04,17.23
TELFER AERO,12/05/2012,7.7,0.0, ,34.4,18.1,35,12,4.84,17.33
TELFER AERO,13/05/2012,7.2,0.0, ,34.3,17.5,33,16,4.56,16.99
TELFER AERO,14/05/2012,6.7,0.0, ,33.3,18.2,36,13,4.07,17.00
TELFER AERO,15/05/2012,6.3,0.0, ,32.8,14.7,42,12,3.80,16.79
TELFER AERO,16/05/2012,6.2,0.0, ,30.8,14.7,36,12,4.00,16.84
TELFER AERO,17/05/2012,5.8,0.0, ,30.3,13.3,29,10,3.48,16.79
TELFER AERO,18/05/2012,6.0,0.0, ,31.0,10.2,43,9,3.75,16.46
TELFER AERO,19/05/2012,6.6,0.0, ,30.9,13.8,35,10,4.42,16.82
TELFER AERO,20/05/2012,7.1,0.0, ,30.7,15.1,43,13,5.33,16.63
TELFER AERO,21/05/2012,6.3,0.0, ,28.7,12.2,42,12,4.70,16.29
TELFER AERO,22/05/2012,6.7,0.0, ,27.6,10.6,42,11,5.58,15.72
TELFER AERO,23/05/2012,7.7,0.0, ,26.9,9.6,37,11,7.39,15.97
TELFER AERO,24/05/2012,6.6,0.0, ,21.7,11.3,42,18,8.53,16.24
TELFER AERO,25/05/2012,6.0,0.0, ,22.6,9.3,47,20,7.24,16.06
TELFER AERO,26/05/2012,5.8,0.0, ,24.3,9.5,54,19,6.21,15.90
TELFER AERO,27/05/2012,5.7,0.0, ,24.9,9.1,55,20,5.77,15.88
TELFER AERO,28/05/2012,5.5,0.0, ,25.9,10.1,57,22,5.27,15.90
TELFER AERO,29/05/2012,5.4,0.0, ,25.0,9.0,59,22,5.39,16.07
TELFER AERO,30/05/2012,5.3,0.0, ,24.2,7.6,57,17,5.22,15.59
TELFER AERO,31/05/2012,5.5,0.0, ,25.1,7.3,48,17,5.00,15.88
Totals:,,199.1,0, ,,,,,, 
